# word | phonetic | pos. | meaning | example | topic
extravagantly | /ɪk'strævəɡəntlɪ/ | adv. | 挥霍无度地 |  | environment
ponderosa | /pɒndə'rəʊzə/ |  | (tree)美国黄松；美国黄松木 |  | general
venison | /'venizn/ | n. | 鹿肉, 野味 |  | general
imminence | /'iminәns/ | n. | 逼近, 危急, 迫近的危险, 急迫；迫切, 危迫 |  | general
serendipitous | /,serәn'dipitәs/ |  | a. 偶然发现的 |  | general
archival | /ɑ: 'kaivәl/ |  | a. 档案的, 档案中的 |  | general
uncannily | /.ʌn'kænili/ | adv. | 奇怪地, 神秘地, 危险地 |  | general
unenthusiastic | /ʌnɪn'θjʊzɪ'æstɪk/ |  | a. 不热心的, 缺乏热情的 |  | general
ostentatiously | /ˌɒsten'teɪʃəslɪ/ | adv. | 铺张地, 招摇地, 炫耀地 |  | general
multicoloured | /.mʌlti'kʌlәd/ |  | a. 多色彩的, 五彩缤纷的 |  | general
leathery | /'leðәri/ |  | a. 皮似的, 皮质的, 皮般吞坚韧的 |  | general
countrywide | /'kʌntriwaid/ |  | a. 全国范围的 |  | general
forefoot | /'fɒ:fut/ | n. | 前脚；前肢(四肢动物), 足前段 |  | general
benignly | /bi'nainli/ | adv. | 善良地, 宽厚地 |  | general
banishment | /'bæniʃmәnt/ | n. | 放逐, 驱逐；驱逐出境, 放逐, 流利 |  | society
wildness | /'waildnis/ | n. | 野生, 野蛮, 粗暴 |  | general
unabashed | /.ʌnә'bæʃt/ |  | a. 不脸红的, 不害羞的, 脸皮厚的 |  | general
tactless | /'tæktlis/ |  | a. 不机智的, 不机敏的 |  | general
recognizably | /ˌrekəɡ'naɪzəblɪ/ | adv. | 可被认识地, 可辨别地 |  | general
portly | /'pɒ:tli/ |  | a. 肥胖的, 魁伟的, 庄重的 |  | general
goldenrod | /'gәuldnrɒd/ | n. | 一种黄花属植物 |  | general
liveliness | /'laivlinis/ | n. | 活泼, 快活, 热闹 |  | general
indiscreet | /.indis'kri:t/ |  | a. 轻率的, 欠慎重的, 不加克制的 |  | general
indelibly |  | adv. | 去不掉, 擦不掉, 洗不掉, 持久 |  | general
impoverishment | /im'pɒvәriʃmәnt/ | n. | 贫穷, 穷困 |  | general
dysentery | /'disәntәri/ | n. | 痢疾；痢疾 |  | general
disinterest | /dis'intrist/ | n. | 无兴趣, 不关心；vt. 使不关心 |  | general
beltway | /'beltwei/ | n. | <美>(环绕城市或某一地区的)环路,环形公路 |  | society
unrecognisable | /ʌnrekəɡ'naɪzəbl/ |  | a. （人或事物）变得难以辨认的, 无法识别 |  | general
unbreakable | /.ʌn'breikәbl/ |  | a. 不会破的, 不易打碎的 |  | general
sinewy | /'sinju:i/ |  | a. 强壮的, 结实的, 多腱的 |  | general
steakhouse | /'steikhaus/ | n. | 牛排餐厅 |  | general
evangelization |  | n. | 福音传道, 基督教化 |  | general
enrollee | /in,rәu'li:/ | n. | 被征入伍者, 入会者, 入学者 |  | education
randomization | /,rændәmai'zeiʃәn; -mi'z-/ |  | 随机性；随机化 |  | general
evidentiary | /,evi'denʃәri/ |  | a. 证据的, 根据证据的 |  | general
amiably | /'eimjәbli/ | adv. | 和蔼可亲地, 亲切地 |  | general
undeclared | /.ʌndi'klєәd/ |  | a. 未申报的, 未宣布的 |  | general
hereabouts |  | adv. | 在这里附近 |  | general
heartbreaking | /'hɑ:tbreikiŋ/ |  | a. 令人悲伤的, 极其累人的, 令人动情的 |  | general
lockdown | /'lɔkdajn/ | n. | <美>(对囚犯的)一级防范禁闭, 一级防范禁 |  | general
discontinuous | /.diskәn'tinjuәs/ |  | a. 不连续的, 断续的, 间断的；中断的, 不连续的, 间断的 |  | general
consummation | /.kɒnsә'meiʃәn/ | n. | 完成, 成就, 圆满成功；完成, 结果, 完美 |  | education
conservatively | /kən'sɜ:vətɪvlɪ/ | adv. | 保存地；保守地 |  | general
cortina |  |  | 丝膜 |  | culture
goaltender | /'^әjl,tendә(r)/ | n. | (=goalkeeper)(足球等运动的)守 |  | general
quarrelsome | /'kwɒrәlsәm/ |  | a. 喜欢吵架的, 好争论的 |  | general
machismo | /mɑ:'tʃi:zmәu/ | n. | 男子气概 |  | general
indecently |  | adv. | 下流, 举止粗鄙, 不体面, 猥亵, (非正 |  | general
backwardness |  | n. | (无比较级)向后, 相反, 倒, 回顾, 倒；精神迟缓 |  | health
upcoming | /'ʌp.kʌmiŋ/ |  | a. 即将来临的, 即将出现的 |  | general
blandly | /'blændli/ | adv. | 温和地, 柔和地 |  | general
raj | /rɑ:dʒ/ | n. | 主权, 统治；统治, 支配, 主权 |  | general
unlisted | /.ʌn'listid/ |  | a. 未编入册的, (证券等)未上市的 |  | general
motivational | /.mәuti'veiʃәnәl/ |  | a. 激发性的；动机说明, 引起动机, 动机的形成 |  | general
gloved | /glʌvd/ |  | a. （手）戴着手套的 |  | general
dynamically |  |  | 动态的 |  | general
bengal | /beŋ'^ɔ:l/ | n. | 孟加拉（位于亚洲） |  | culture
epidemiologic |  |  | a. 流行病学 |  | general
obsolescence | /.ɒbsә'lesәns/ | n. | 荒废, 淘汰, 过时, 退化；废弃 |  | environment
greyish | /'^reiiʃ/ |  | a. 淡灰色的 |  | culture
pert | /pә:t/ |  | a. 直言的, 唐突的, 爱管闲事的, 活跃；计划估评法 |  | general
beadwork | /'bi:dw\\\\:k/ | n. | 珠饰细工, 珠缘 |  | general
mockingly | /'mɒkiŋli/ | adv. | 愚弄地, 取笑地 |  | general
betterment | /'betәmәnt/ | n. | 改进, 改善, (不动产)增值；改良, 改善, 地产增值 |  | general
pepsi | /'pepsi/ | n. | 百事可乐（一种饮料的商标名称） |  | economy
recuse | /ri'kju:z/ |  | 要求撤换 |  | society
lire | /ˈlɪərə/ | n. | （意大利和土耳其的货币单位）里拉( lira |  | economy
emery | /'emәri/ | n. | 金刚砂；金刚砂 |  | general
coeducational | /,kәjedju:'keiʃәnәl/ |  | a. 男女合校的 |  | general
laddie | /'lædi/ | n. | <主苏>少年, 年青人,老弟(表示亲密的称呼 |  | general
bimonthly | /.bai'mʌnθli/ |  | a. 两月一次的, 每月两次的 |  | general
zoological | /.zәuә'lɒdʒikl/ |  | a. 动物学的 |  | general
commercialism | /k'm\\\\:ʃә'liz(ә)m/ | n. | 商业主义, 商业精神, 利润第一主义, 商业；商业主义, 利润第一主义, 商业精神 |  | health
honorably |  | adv. | 值得尊敬地；体面地 |  | general
coronal | /'kɒrәnәl/ | n. | 冠, 花冠, 冠状物；a. 冠的, 花冠的, 头顶的 |  | health
femoral | /'femәrәl/ |  | a. 大腿骨的, 大腿的；股骨的, 股的 |  | general
youngish | /'jʌŋiʃ/ |  | a. 还年轻的, 还幼小的 |  | general
unequalled |  |  | a. 不等同的, 不能比拟的, 无敌的 |  | general
uncoordinated | /'ʌnkәu'ɔ:dineitid/ |  | 不协调 |  | work
tenaciously | /tə'neɪʃəslɪ/ |  | 坚持地 |  | general
fashionably | /'fæʃәnәbli/ | adv. | 时髦地, 按照流行地 |  | general
antiaircraft | /.ænti'єәkrɑ:ft/ |  | a. 防空的 |  | culture
tidiness | /'taidinis/ | n. | 整齐, 整洁 |  | general
shockingly |  | adv. | 令人震惊地, 极糟地, 极度地, 极厉害地 |  | general
ritually |  | adv. | 按照仪式地 |  | general
praiseworthy | /'preizwә:ði/ |  | a. 值得称赞的, 令人钦佩的, 可钦佩的 |  | general
phlegm | /flem/ | n. | 痰, 粘液, 粘液质, 迟钝, 冷淡, 沉着；粘液(旧时四体液学说的四液之一), 粘痰 |  | general
minimally |  | adv. | 最低限度地；最低程度地 |  | general
industrially |  | adv. | 企业（工业）地 |  | work
ecclesiology | /i.kli:zi'ɒlәdʒi/ | n. | 教会学, 教会建筑学 |  | culture
fatalistic | /.feitә'listik/ |  | a. 宿命论的 |  | general
inbound | /'in'baund/ |  | a. 归本国的, 入境的；不装订 |  | general
crazily | /'kreizili/ | adv. | 发狂地, 疯子似地, 摇摇晃晃地 |  | general
apolitical | /.eipә'litikl/ |  | a. 不关心政治的 |  | general
gynecology | /.gaini'kɒlәdʒi/ | n. | 妇科医学；妇科学 |  | health
undying | /.ʌn'daiiŋ/ |  | a. 不死的, 不灭的, 不朽的 |  | general
streaky | /'stri:ki/ |  | a. 有条纹的, 有斑点的, 容易变的 |  | general
liftoff | /'lɪftˌɒf/ | n. | （火箭发射时）起飞, 启动 |  | general
fabled | /'feibld/ |  | a. 寓言(或传说、神话)中的, 虚构的 |  | general
diffidence | /'difidәns/ | n. | 无自信, 畏缩, 羞怯 |  | general
tendinitis | /,tendi'naitis/ |  | 腱炎 |  | general
debauchery | /di'bɒ:tʃәri/ | n. | 放荡, 堕落 |  | general
speculatively |  | adv. | 思考地, 思索地；投机地 |  | general
separable | /'sepәrәbl/ |  | a. 可分离的, 可分的；可分开的 |  | general
prettily | /'pritili/ | adv. | 悦人地 |  | general
motherly | /'mʌðәli/ |  | a. 母亲的 |  | general
kitsch | /kitʃ/ | n. | 粗劣作品；迎合低级趣味的作品 |  | health
inflammable | /in'flæmәbl/ |  | a. 易燃的, 易怒的；易燃的 |  | general
inapplicable | /in'æpәlikәbl/ |  | a. 不适用的；不适用的 |  | general
hedonistic | /.hi:dә'nistik/ |  | a. 快乐主义者的, 快乐论的, 快乐主义的 |  | general
fearfully | /'fiәfuli/ | adv. | 颇, 可怕地, 非常地 |  | general
eroticism | /i'rɒtisizm/ | n. | 性爱倾向, 性欲亢进；性欲, 色情 |  | general
airily | /'єәrili/ | adv. | 轻盈地, 快活地 |  | general
lakeshore | /'leikʃɔ:(r)/ | n. | 湖岸 |  | general
unrelieved | /.ʌnri'li:vd/ |  | a. 未减轻的, 未受救济的 |  | general
unproblematic | /ˌʌnˌprɒbləˈmætɪk/ |  | a. 不成问题的, 没有疑问的 |  | general
titanium | /tai'teiniәm/ | n. | 钛；钛Ti |  | culture
southward | /'sauθwәd/ | n. | 朝南的方向(或地点、地区)；a. 在南方的, 往南方的 |  | general
quizzical | /'kwizikәl/ |  | a. 戏弄的, 探询的, 古怪的 |  | general
procreation | /.prәukri'eiʃәn/ | n. | 生产, 生殖；生殖, 生育 |  | work
norse | /nɔ:s/ |  | a. 挪威人的；挪威的 |  | culture
glumly | /'glʌmli/ | adv. | 忧郁地, 闷闷不乐地；阴郁地 |  | general
zee | /zi:/ | n. | （美）英语字母Z和z；Z形物 |  | general
chiffon | /'ʃifɔn/ | n. | 雪纺绸, 薄绸, 女子服装装饰品；a. 用薄绸制成的, 象薄绸般透明的, 因加 |  | general
artful | /'ɑ:tful/ |  | a. 巧妙的, 狡猾的 |  | general
pinkie | /'piŋki/ | n. | 小手指, 尖尾渔船, 廉价红葡萄酒, 观点激；平克顿私家侦探公司的侦探, 便衣侦探 |  | economy
inshore | /'in'ʃɒ:/ |  | a. 近海岸的, 向陆的；adv. 近海岸, 向陆地 |  | general
headgear | /'hedgiә/ | n. | 头饰, 马首挽具, 井架；头网, 连轮装置 |  | culture
dais | /'deiis/ | n. | 台, 讲台 |  | general
signage | /ˈsaɪnɪdʒ/ | n. | 标记；标识系统 |  | technology
baronial | /bә'rәunjәl/ |  | a. 男爵的, 适于男爵身份的, 宏大的 |  | general
melton | /'meltn/ | n. | 麦尔登呢 |  | general
clarendon | /'klærәndәn/ | n. | 笔画较粗而字体略长的一种铅字；a. 笔画较粗而字体略长的一种铅字的 |  | general
zombie | /'zɔmbi/ | n. | 蛇神, 起死回生的魔力, 僵尸, 回魂尸；僵尸 |  | general
racquetball | /'rækitbɔ:l/ | n. | 短网拍墙球,手球式墙球(比赛规则和场地都与有 |  | general
golem | /'^әulem/ | n. | 机器人 |  | culture
godly | /'gɒdli/ |  | a. 敬神的, 虔诚的, 神的 |  | general
disobedient | /.disә'bi:djәnt/ |  | a. 不服从的, 不孝的, 违背的 |  | general
demagoguery | /'demәgɒgәri/ | n. | 煽动, 煽动行为, 散布谣言 |  | general
licensure | /'laisnʃuә/ | n. | 发给许可证；发给执照, 特许, 许可 |  | general
unconfirmed | /'ʌnkәn'fә:md/ |  | a. 未最后认可的, 未最后确定的, 未确证；未确证的, 未认可的 |  | general
concealer |  |  | 包庇者, 隐藏者 |  | general
streetwise | /ˈstri:twaɪz/ | n. | 在现代化大城市的生存能力 |  | environment
grounder | /'graundә/ | n. | 滚球, 创立者, 创业者 |  | general
militarism | /'militәrizәm/ | n. | 军国主义, 尚武精神, 好战精神 |  | health
watergate | /'wɔ:tәɡeit. 'wɔ-/ | n. | 水门, 水闸；水门事件 |  | general
unanticipated |  |  | 非先行的 |  | general
posthumously |  | adv. | 父死后出生, 遗腹, 著作者死后出版, 身后 |  | general
kayaker |  | n. | （用帆布或塑料做的类似因纽特人独木舟的）小划 |  | general
physiologic |  |  | a. 生理学的, 生理的；生理学的, 生理的 |  | work
sinkhole | /'siŋkhәul/ | n. | 阴沟口, 污水坑；缩孔 |  | general
ideation | /,aidi'eiʃәn/ |  | 观念作用, 思想作用 |  | general
scala |  |  | 阶 |  | technology
tipsy | /'tipsi/ |  | a. 喝醉的, 倾斜的 |  | general
peaceable | /'pi:sәbl/ |  | a. 和平的, 太平的, 温顺的, 温和的 |  | general
invisibly | /in'vizәbli/ | adv. | 看不见地, 看不出地 |  | general
fitfully |  | adv. | 断断续续地；发作地 |  | general
homeroom | /'hәjmru:m/ | n. | 学生接受指导的教室 |  | education
ceaselessly | /'si:slisli/ | adv. | 不停地, 不断地 |  | general
unknowable | /.ʌn'nәuәbl/ |  | a. 不能知道的, 不可知的 |  | general
seawall |  | n. | 海塘；防波堤 |  | general
theatrically | /θɪ'ætrɪklɪ/ | adv. | 戏剧化地 |  | general
woozy | /'wu:zi/ |  | a. 头昏眼花的, 虚弱的 |  | general
physiologically |  | adv. | 生理学方面 |  | general
monosyllabic | /.mɒnәusi'læbik/ |  | a. 单音节的 |  | general
downy | /'dauni/ |  | a. 绒毛的, 柔和的, 有草丘陵地的 |  | general
bulbous | /'bʌlbәs/ |  | a. 球茎的, 球茎状的, 由球茎生长的；球状的, 球的 |  | general
authoritatively | /ɒ:'θɒritәtivli/ | adv. | 命令式地, 官方地, 可信地 |  | general
burro | /'burәu/ | n. | 小驴 |  | general
wetness | /'wetnis/ | n. | 湿润, 下雨；水蒸气湿度 |  | general
unfathomable | /.ʌn'fæðәmәbl/ |  | a. 莫测高深的, 深不可测的, 无底的 |  | general
girlish | /'gә:liʃ/ |  | a. 少女的, 少女似的, 适于女子的 |  | general
digestible | /di'dʒestәbl/ |  | a. 可消化的, 易消化的, 可摘要的；可消化的 |  | general
beneficent | /bi'nefisәnt/ |  | a. 仁慈的, 慈善的, 善行的 |  | general
underhand | /'ʌndәhænd/ |  | a. 秘密的, 低手的, 偷偷摸摸的；卑鄙的, 秘密的, 欺诈的 |  | general
unconstrained | /.ʌnkәn'streind/ |  | a. 不受约束的, 不勉强的, 自在的；不拘束的, 不勉强的, 自由的 |  | general
sameness | /'seimnis/ | n. | 相同, 同样, 千篇一律 |  | general
yellowfin | /'jelәjfin/ |  | tuna黄鳍金枪鱼(亦作yellowfin) |  | general
endangerment | /ɪn'deɪndʒəmənt/ | n. | 危害；受到危害 |  | general
quantitatively |  | adv. | 量, 数量上, 定量 |  | general
threepence | /'θripәns/ | n. | 三便士银币, 三便士 |  | general
spatially |  |  | 空间地 |  | general
seasonally |  | adv. | 季节性地；周期性地 |  | general
rundown | /'rʌndaun/ | n. | 裁减, 梗概, 夹杀出局 |  | society
philosophic | /,filә'sɔfik/ |  | a. 哲学家的, 哲学的, 镇静的, 逆来顺 |  | general
landowning | /'lænd,әjniŋ/ |  | a. 拥有土地的, 有关土地所有权的；n. 作为地主 |  | general
pedophilia | /.pi:dәu'filiә/ | n. | 恋童癖；爱童癖 |  | general
soulless | /'sәullis/ |  | a. 没有精神的, 没有灵魂的, 泄气的 |  | health
pullback | /'pulbæk/ | n. | 拉回, 障碍, 阻扰 |  | general
sesame | /'sesәmi/ | n. | 芝麻；芝麻, 脂麻, 胡麻 |  | general
midwinter | /'mid'wintә/ | n. | 仲冬, 冬至 |  | general
goodly | /'^udli/ |  | a. 漂亮的, 颇大的, 不错的, 好的 |  | general
cordially | /'kɒ:djәli/ | adv. | 诚恳地, 诚挚地, 诚实地 |  | culture
bougainvillea | /bu:^әn'viliә/ | n. | 叶子花属 |  | health
watercress | /'wɔ:tәkres/ | n. | 水田芥, 西洋菜 |  | general
plaice | /pleis/ | n. | 欧鲽, 拟庸鲽 |  | general
comptroller | /kәn'trәulә/ | n. | 审计官；主计, 会计师, 审计 |  | economy
afterlife | /'ɑ:ftәlaif/ | n. | 来世, 下半生 |  | general
phyllo | /'fi:lәj,'fai-/ | n. | (制酥点用的)擀成极薄层的生面 |  | general
alberta |  | n. | 亚伯达（加拿大西部的一个省） |  | general
