# word | phonetic | pos. | meaning | example | topic
applause | /ә'plɒ:z/ | n. | 鼓掌, 喝彩, 赞许 |  | general
tolerant | /'tɒlәrәnt/ |  | a. 宽容的, 容忍的, (对冷、热)能耐的；能耐受的 |  | environment
adamant | /'ædәmәnt/ | n. | 坚硬的东西；a. 非常坚硬的, 坚强的, 固执的 |  | general
irresponsible | /.iri'spɔnsәbl/ |  | a. 不负责任的；不可靠的 |  | general
worthless | /'wә:θlis/ |  | a. 无价值的, 无益的, 无足轻重的；无价值的, 无用的 |  | general
futile | /'fju:tail/ |  | a. 无用的, 琐细的, 不重要的 |  | general
dismal | /'dizmәl/ |  | a. 阴沉的, 凄凉的, 令人忧郁的；n. 低落的情绪, 沼泽 |  | general
sulfur | /'sʌlfә/ | n. | 硫, 硫磺；vt. 用硫磺处理 |  | general
poisonous | /'pɒizәnәs/ |  | a. 有毒的, 恶毒的, 讨厌的；有毒的 |  | general
excessively | /ik'sesivli/ | adv. | 过多, 极度, 过度, 过分 |  | general
unavoidable | /.ʌnә'vɒidәbl/ |  | a. 不可避免的, 不得已的, 不能作废的；难免的 |  | general
pessimistic | /.pesi'mistik/ |  | a. 悲观的, 厌世的, 悲观主义的 |  | general
troublesome | /'trʌblsәm/ |  | a. 麻烦的, 令人讨厌的 |  | general
devoid | /di'vɒid/ |  | a. 全无的, 缺乏的 |  | general
meager | /'mi:gә/ |  | a. 质量差的, 贫乏的, 不毛的, 瘦的 |  | general
courageous | /kә'reidʒәs/ |  | a. 勇敢的, 大胆的, 有胆量的 |  | general
akin | /ә'kin/ |  | a. 同类的, 同族的, 同源的 |  | general
stature | /'stætʃә/ | n. | 身材, 身高, 高度；身材, 身高 |  | general
insistent | /in'sistәnt/ |  | a. 坚持的, 迫切的 |  | general
improper | /im'prɒpә/ |  | a. 不合适的, 错误的, 不成体统的, 不；不适当的, 不合适的, 不正确的 |  | society
lest | /lest/ | conj. | 以免, 唯恐, 免得 |  | general
endlessly | /'endlisli/ | adv. | 不断地, 无穷尽地 |  | general
vigor | /'vigә/ | n. | 精力, 活力 |  | general
plentiful | /'plentiful/ |  | a. 许多的, 丰富的, 丰饶的 |  | general
conclusive | /kәn'klu:siv/ |  | a. 决定性的, 确定性的, 最后的；决定性的, 不容置疑的, 确实的 |  | general
incomprehensible | /in.kɒmpri'hensәbl/ |  | a. 不能理解的, 费解的, 无限的 |  | general
fruitful | /'fru:tful/ |  | a. 结果实的, 多实的, 产量多的 |  | general
unjust | /.ʌn'dʒʌst/ |  | a. 不公平的；不公正的人 |  | general
graceful | /'greisful/ |  | a. 优美的 |  | general
triangular | /trai'æŋgjulә/ |  | a. 三角形的, 三人间的；三角的, 三角形的 |  | general
moderately | /'mɒdәrәtli/ | adv. | 适当地, 适度地, 中庸地 |  | general
overtime | /'әuvәtaim/ | n. | 超时, 加班, 延长时间；a. 超时的, 加班的 |  | general
disruptive | /dis'rʌptiv/ |  | a. 分裂的, 破坏(性)的；击穿的, 中断的 |  | general
niche | /nitʃ/ | n. | 壁龛；vt. 放入壁龛, 安顿 |  | environment
indignation | /.indig'neiʃәn/ | n. | 愤怒, 愤慨, 义愤 |  | general
humane | /hju:'mein/ |  | a. 有人情的, 人道的, 仁慈的 |  | general
foreseeable | /'fɒ:'si:әbl/ |  | a. 可预知的, 能预测的；可预见的, 可预料的 |  | general
symbolism | /'simbәlizm/ | n. | 象征主义, 符号论；象征主义 |  | economy
securely | /si'kjuәli/ | adv. | 安全地；安心地 |  | general
decidedly | /di'saididli/ | adv. | 决定了, 坚决, 明显, 显而易见, 显然 |  | general
unbearable | /.ʌn'bєәrәbl/ |  | a. 无法忍受的, 承受不住的 |  | general
involuntary | /in'vɒlәntәri/ |  | a. 自然而然的, 无意识的, 不知不觉的；不随意的 |  | environment
hideous | /'hidiәs/ |  | a. 丑恶的, 可憎的, 令人沮丧的 |  | general
infancy | /'infәnsi/ | n. | 幼年, 初期, 幼儿期；婴儿期(一足岁以内) |  | general
provocative | /prә'vɒkәtiv/ |  | a. 激发感情的, 挑拨的, 刺激的；n. 刺激物, 挑拨物, 兴奋剂 |  | general
sterile | /'sterail/ |  | a. 不毛的, 不孕的, 无菌的, 贫瘠的；无菌的, 消毒的 |  | general
affluent | /'æfluәnt/ |  | a. 丰富的, 富裕的；n. 支流, 富人 |  | economy
supremacy | /sju'premәsi/ | n. | 至高无上, 霸权地位, 优势, 至上；至高权力, 无上权力, 霸权 |  | general
nontraditional | /.nɔntrә'diʃәnәl/ |  | a. 不符合传统的, 非传统的 |  | culture
rugged | /'rʌgid/ |  | a. 高低不平的, 崎岖的, 粗糙的 |  | general
paradoxically |  | adv. | 反论, 荒谬, 自相矛盾, 似非而可能是 |  | general
treacherous | /'tretʃәrәs/ |  | a. 不可信任的, 危险的, 背叛的, 不可；奸诈的, 背叛的, 背信弃义的 |  | general
adherence | /әd'hiәrәns/ | n. | 依附, 固执, 坚持；粘合 |  | culture
benevolent | /bi'nevәlәnt/ |  | a. 善意的, 慈善的 |  | general
airborne | /'єәbɒ:n/ |  | a. 升空的, 空运的, 空中传播的, 空降 |  | general
heavenly | /'hevnli/ |  | a. 天上的, 神圣的, 天国似的 |  | general
arthritis | /ɑ:'θraitis/ | n. | 关节炎；关节炎 |  | general
therein | /.ðєәr'in/ | adv. | 在其中, 在那里, 在那一点上 |  | general
pervasive | /pә'veisiv/ |  | a. 普遍的, 流行的, 到处蔓延的, 到处 |  | general
advantageous | /.ædvәn'teidʒәs/ |  | a. 有利的, 有益的 |  | culture
synonymous | /si'nɒnimәs/ |  | a. 同义词的, 同义的 |  | general
exodus | /'eksәdәs/ | n. | 大批的离去；退出, 大批离去, 成一外出 |  | environment
routinely |  | adv. | 日常, 乏味, 常规, 例行 |  | general
formative | /'fɒ:mәtiv/ |  | a. 有助于形成的, 造型的, 形成的；n. 构词要素 |  | culture
innate | /i'neit/ |  | a. 先天的, 天生的；先天的, 生来的 |  | general
festive | /'festiv/ |  | a. 庆祝的, 喜庆的, 欢乐的 |  | general
mastery | /'mɑ:stәri/ | n. | 征服, 统治权, 优势, 精通, 掌握；统治权, 控制权, 征服 |  | general
pious | /'paiәs/ |  | a. 虔诚的, 敬神的, 尽责的, 可嘉的 |  | general
conversational | /.kɒnvә'seiʃәnl/ |  | a. 会话的, 对话的, 健谈的；会话式的 |  | culture
adversely |  | adv. | 不利, 有害, 相反, 逆, 敌对, 逆向 |  | general
affordable |  |  | 普及型 |  | economy
prehistoric | /'pri:his'tɔrik/ |  | a. 历史以前的, 史前的 |  | culture
angular | /'æŋgjulә/ |  | a. 有角的, 消瘦的, 有尖角的, 生硬的；角的, 角形的 |  | general
spinal | /'spainl/ |  | a. 针的, 尖刺的, 尖刺状突起的, 脊骨；棘折 |  | general
indecent | /in'di:sәnt/ |  | a. 下流的, 不礼貌的；猥亵的 |  | society
cubic | /'kju:bik/ |  | a. 立方体的, 立方的；立方的, 立方体的 |  | general
awkwardly |  | adv. | 笨拙地；无技巧地 |  | general
individualism | /.indi'vidʒuәlizm/ | n. | 个人主义, 个人特征；个人主义 |  | economy
climatic | /klai'mætik/ |  | a. 气候的 |  | environment
tenderness | /'tendәnis/ | n. | 柔软, 亲切, 柔和, 敏感, 易触痛；触痛 |  | general
continuum | /kәn'tinjuәm/ | n. | 连续统一体, 连续统, 闭联集；连续区 |  | culture
tuberculosis | /tju,bә:kju'lәusis/ | n. | 肺结核；顿挫性结核 |  | culture
motionless | /'mәuʃәnlis/ |  | a. 不动的, 静止的；不动的, 静止的 |  | general
arable | /'ærәbl/ |  | a. 适于耕种的, 可耕的 |  | general
nutritional | /nju: 'triʃәnәl/ |  | a. 营养的, 滋养的；营养的 |  | health
potassium | /pә'tæsiәm/ | n. | 钾；钾K |  | general
caliber | /'kælibә/ | n. | 口径, 才干, 水准；管径, 口径 |  | general
viral | /'vairәl/ |  | a. 病毒的, 病毒引起的；病毒的 |  | general
nonfiction | /nɒn'fikʃәn/ | n. | (非小说的)写实文学 |  | culture
metabolic | /.metә'bɒlik/ |  | a. 变化的, 变形的, 新陈代谢的；代谢的 |  | general
fervor | /'fә:vә/ | n. | 热情, 热心, 炽热 |  | general
receptive | /ri'septiv/ |  | a. 能接纳的；接受的, 感受的 |  | general
inconvenient | /.nkәn'vi:njәnt/ |  | a. 不便的, 有困难的 |  | general
inaccessible | /.inæk'sesәbl/ |  | a. 难得到的, 难接近的, 难达成的 |  | general
biotech | /'baɪəʊtek/ | n. | 生物技术 |  | technology
zeal | /zi:l/ | n. | 热心, 热衷, 热诚 |  | general
yearly | /'jiәli/ |  | a. 每年的, 一年一度的；adv. 一年一次, 每年 |  | general
impartial | /im'pɑ:ʃәl/ |  | a. 公平的, 不偏不倚的；公正无私的, 不偏袒的, 公平的 |  | general
ambivalent | /æm'bivәlәnt/ |  | a. 矛盾的, 模棱两可的；矛盾情绪的 |  | education
wasteful | /'weistful/ |  | a. 浪费的, 不经济的 |  | environment
unbroken | /'ʌn'brәukәn/ |  | a. 未破损的, 未被征服的, 未打垮的；未被阻断的, 未破损的, 完好的 |  | general
strikingly |  | adv. | 显著地, 惊人地, 引人注目地 |  | general
leisurely | /'li:ʒәli/ |  | a. 悠闲的, 从容的；adv. 从容地, 悠闲地 |  | general
tremendously | /trə'mendəslɪ/ | adv. | 极大地；极端地 |  | general
enterprising | /'entәpraiziŋ/ |  | a. 有魄力的, 有进取心的, 有事业心的 |  | general
impeccable | /im'pekәbl/ |  | a. 无懈可击的, 勿容置疑的, 无瑕疵的 |  | general
habitual | /hә'hitʃuәl/ |  | a. 习惯的, 惯常的, 平常的；习惯的, 以习惯为常业的, 惯常的 |  | general
emphatic | /im'fætik/ |  | a. 语调强的, 着重的, 强调了的 |  | general
apprehensive | /.æpri'hensiv/ |  | a. 惴惴不安的, 敏悟的, 知晓的 |  | health
superficially |  | adv. | 表面, 表面性, 浅层, 不深, 表皮, ( |  | general
undisturbed | /.ʌndi'stә:bd/ |  | a. 未被扰乱的, 安静的, 镇定的 |  | society
perceptive | /pә'septiv/ |  | a. 知觉的, 有知觉力的, 感知的；知觉的 |  | general
miraculous | /mi'rækjulәs/ |  | a. 奇迹的, 不可思议的 |  | general
harmonious | /hɑ:'mәuniәs/ |  | a. 和睦的, 调和的, 和谐的, 协调的 |  | culture
malicious | /mә'liʃәs/ |  | a. 怀恶意的, 恶毒的 |  | general
discernible | /di's\\\\:nәbl,-'z\\\\:-/ |  | a. 看得清的, 可看出的, 可辨别的, 辨；可识别的 |  | general
inconceivable | /.inkәn'si:vәbl/ |  | a. 不能想象的, 想不到的, 难信的 |  | general
squarely | /'skwєәli/ | adv. | 干脆地, 正好, 直角地 |  | general
liter | /'li:tә/ | n. | 公升；升 |  | general
victorious | /vik'tɔ:riәs/ |  | a. 胜利的, 得胜的, 战胜的 |  | general
infamous | /'infәmәs/ |  | a. 无耻的, 不名誉的, 声名狼藉的 |  | general
affectionate | /ә'fekʃәnәt/ |  | a. 深情的, 充满情爱的 |  | general
strife | /straif/ | n. | 争吵, 竞争, 冲突 |  | general
amenable | /ә'mi:nәbl/ |  | a. 服从的, 会接纳的, 有义务的；服从的, 有责任的, 有服从义务的 |  | general
breathtaking | /'breθ.teikiŋ/ |  | a. 惊人的, 惊险的 |  | general
vibrant | /'vaibrәnt/ |  | a. 振动的, 战栗的, 响亮的, 活跃的 |  | general
timid | /'timid/ |  | a. 胆小的, 羞怯的 |  | general
humility | /hju:'militi/ | n. | 谦逊, 谦虚, 谦卑 |  | general
exhaustive | /ig'zɒ:stiv/ |  | a. 消耗的, 枯竭的, 彻底的, 详尽的 |  | general
exemplary | /ig'zemplәri/ |  | a. 可仿效的, 可做模范的, 惩戒性的；惩罚性的, 警戒性的, 示范的 |  | general
cleanliness | /'klenlinis/ | n. | 清洁, 干净 |  | general
bluntly | /'blʌntli/ | adv. | 坦率地, 率直地 |  | general
stainless | /'steinlis/ |  | a. 无瑕疵的, 不锈的；不绣的, 污染的 |  | environment
arid | /'ærid/ |  | a. 干燥的, 不毛的 |  | general
resentful | /ri'zentful/ |  | a. 岔恨的, 易怨恨的, 不满的, 显然不 |  | general
intellectually |  | adv. | 智力上；知性上 |  | general
enigmatic | /.enig'mætik/ |  | a. 费解的, 谜一般的, 高深莫测的 |  | general
conventionally | /kәn'venʃәnәli/ | adv. | 照惯例, 照常套, 照老例 |  | general
courteous | /'kә:tjәs/ |  | a. 彬彬有礼, 谦恭的 |  | general
watchful | /'wɒtʃful/ |  | a. 注意的, 警戒的, 警醒的, (时间) |  | general
uniformly | /'ju:nifɔ:mli/ | adv. | 一样, 一致, 相同, 一直不变, 一贯；均匀地 |  | general
devious | /'di:viәs/ |  | a. 偏僻的, 迂回的 |  | education
underwater | /'ʌndә'wɒ:tә/ |  | a. 在水中的；adv. 在水下 |  | general
obtainable | /әb'teinәbl. ɔb-/ |  | a. 能得到的 |  | general
dissimilar | /di'similә/ |  | a. 不同的, 相异的 |  | general
northwards | /'nɔ:θwәdz/ | adv. | 向北方 |  | general
irreversible | /,iri'vә:sәbl,-sib-/ |  | a. 不可逆的, 不可改变的, 不能倒置的；不可逆的 |  | general
instructive | /in'strʌktiv/ |  | a. 有益的, 增进知识的 |  | general
amiable | /'eimjәbl/ |  | a. 亲切的, 和蔼可亲的；亲和的, 和蔼可亲的 |  | general
commonsense | /,kɔmәn'sens/ |  | a. 有常识的, 一望而知的, 明明白白的 |  | general
cyberspace |  |  | 空间, 网控空间 |  | technology
mechanically | /mi'kænikәli/ | adv. | 机械, 用机械, 机械学, 物理, 力学 |  | technology
deficient | /di'fiʃәnt/ |  | a. 不足的, 不充分的, 有缺陷的 |  | general
abortive | /ә'bɒ:tiv/ |  | a. 流产的, 堕胎的, 失败的；流产的 |  | general
symmetrical | /si'metrikl/ |  | a. 对称的, 匀称的；对称的, 均称的 |  | culture
rudimentary | /ru:di'mentәri/ |  | a. 基本的, 起码的, 初步的, 发展不完；原基的, 未成熟的 |  | general
inexpensive | /.inik'spensiv/ |  | a. 便宜的, 不贵重的 |  | economy
ancestral | /æn'sestrәl/ |  | a. 祖先的, 祖传的；祖先的, 祖传的 |  | general
folklore | /'fәuklɒ:/ | n. | 民俗学, 民间风俗, 民间传说 |  | culture
fraudulent | /'frɒ:djulәnt/ |  | a. 欺诈的, 不正的, 不诚实的；欺诈的, 欺骗的, 骗取的 |  | general
repressive | /ri'presiv/ |  | a. 压抑的, 抑制的, 镇压的 |  | general
momentary | /'mәumәntәri/ |  | a. 瞬间的, 刹那间的 |  | general
hydraulic | /hai'drɒ:lik/ |  | a. 与水有关的, 水力的, 水压的；水力的 |  | general
ordinarily | /'ɒ:dinәrili/ | adv. | 通常, 普通, 一般地 |  | general
clamor | /'klæmә/ | n. | 喧闹, 叫嚷, 大声的要求；v. 喧嚷, 大声地要求 |  | general
predatory | /'predәtәri/ |  | a. 掠夺成性的, 捕食生物的, 掠夺的；捕食的 |  | general
watery | /'wɒ:tәri/ |  | a. 水的, 湿的, 平淡的, 稀薄的, 水 |  | general
milky | /'milki/ |  | a. 乳状的, 乳白色的, 柔和的 |  | general
anesthesia | /.ænis'θi:ziә/ | n. | 麻醉, 麻木；麻醉 |  | general
assertive | /ә'sә:tiv/ |  | a. 武断的, 过分自信的；断言的 |  | general
noteworthy | /'nәutwә:ði/ |  | a. 值得注目的, 显著的 |  | general
measurable | /'meʒәrәbl/ |  | a. 可测量的, 不久的, 重要的 |  | general
genetically |  | adv. | 创始, 遗传学, 生殖, 基因, 遗传, 发 |  | general
microscopic | /maikrә'skɔpik/ |  | a. 显微镜的, 用显微镜可见的, 微观的；微观的 |  | general
manually | /'mænjuәli/ | adv. | 用手 |  | general
unfavorable | /.ʌn'feivәrәbl/ |  | a. 不宜的, 不顺利的, 反对的；不利的, 有害的, 不吉祥的 |  | general
physiology | /.fizi'ɒlәdʒi/ | n. | 生理学, 生理机能；生理学 |  | work
fragrant | /'freigrәnt/ |  | a. 芬香的, 馥郁的, 愉快的 |  | general
ethic | /'eθik/ | n. | 道德规范, 伦理 |  | society
paradoxical | /.pærә'dɒksikl/ |  | a. 似非而是的, 矛盾的, 诡论的；奇异的, 矛盾的, 逆理的, 反常的 |  | general
diligence | /'dilidʒәns/ | n. | 勤奋 |  | general
collusion | /kә'lu:ʃәn/ | n. | 共谋, 勾结；勾结, 串通, 串同舞弊 |  | general
scenic | /'si:nik/ |  | a. 风景好的, 戏剧性的, 舞台的, 布景；n. 风光影片, 风景照片 |  | general
experimentally | /ik.speri'mentli/ | adv. | 实验式地, 在实验上 |  | health
composure | /kәm'pәuʒә/ | n. | 镇静, 沉着 |  | general
intentional | /in'tenʃәnәl/ |  | a. 故意的, 与目的有关的；故意的, 有意的 |  | general
cohesive | /kәu'hi:siv/ |  | a. 黏合在一起的；内聚的 |  | general
healthful | /'helθful/ |  | a. 有益健康的, 使人健康的, 卫生的；有益健康的, 健康的, 卫生的 |  | health
anomalous | /ә'nɒmәlәs/ |  | a. 不规则的, 反常的；异常的, 反常的 |  | general
astronomical | /.æstrә'nɒmikl/ |  | a. 天文学的, 庞大的 |  | culture
dimly | /'dimli/ | adv. | 微暗, 朦胧 |  | general
genetics | /dʒi'netiks/ | n. | 遗传学；遗传学 |  | work
pocketbook | /'pɒkitbuk/ | n. | 笔记本, 钱袋, 皮夹, 经济来源 |  | economy
millimeter | /'milimi:tә/ | n. | 毫米；毫米 |  | general
nomadic | /nәu'mædik/ |  | a. 游牧的, 游牧生活的, 流浪的；游动的, 无定的, 游离的 |  | general
detectable | /di'tektәbl/ |  | a. 可察觉的, 易发现的；可检测的 |  | general
patriarchal | /.peitri'ɑ:kәl/ |  | a. 家长的, 族长的, 由族长统治的；家长的, 家长制的, 主教的 |  | society
crystalline | /'kristәlain/ |  | a. 透明的；水晶般的 |  | general
materialism | /mә'tiәriәlizm/ | n. | 唯物主义 |  | general
heterogeneous | /.hetәrәu'dʒi:njәs/ |  | a. 异种的, 异质的, 由不同成分形成的；不均匀的, 多相的, 异质的 |  | general
nonverbal | /nɔn'vә:bәl/ |  | a. 不用语言的；不用动词的 |  | culture
congenital | /kәn'dʒenitәl/ |  | a. 天生的, 先天的；先天的 |  | general
interpersonal | /.intә'pә:sәnәl/ |  | a. 人与人之间的, 人际(关系)的；人与人之间的, 需要与他人接触的 |  | general
auspice | /'ɒ:spis/ | n. | 吉兆, 占卜, 赞助 |  | general
primal | /'praiml/ |  | a. 主要的, 最初的, 原始的 |  | general
corrosion | /kә'rәuʒәn/ | n. | 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈；腐蚀 |  | general
perceptual | /pә'septʃuәl/ |  | a. 知觉的, 有知觉的 |  | general
adaptive | /ә'dæptiv/ |  | a. 适应的, 能适应的 |  | general
quartz | /kwɒ:ts/ | n. | 石英；石英 |  | culture
extracurricular | /.ekstrәkә'rikjulә/ |  | a. 课外的, 业余的 |  | education
contiguous | /kәn'tigjuәs/ |  | a. 邻近的, 接近的；接触的 |  | general
industrialization | /in,dʌstriәlai'zeiʃn/ | n. | 工业化, 产业化；工业化 |  | economy
melodic | /mә'lɒdik/ |  | a. 有旋律的, 旋律美妙的 |  | general
mammalian | /mæ'meiljәn/ | n. | 哺乳动物；a. 哺乳动物的 |  | general
jeweler | /'dʒu:әlә(r)/ | n. | 宝石商, 宝石匠, 珠宝商 |  | economy
intentionally |  | adv. | 故意地, 有意地 |  | general
fruitless | /'fru:tlis/ |  | a. 不结果的, 不长果实的, 无子的 |  | general
astute | /ә'stju:t/ |  | a. 敏锐的, 狡猾的 |  | general
fanciful | /'fænsiful/ |  | a. 奇怪的, 稀奇的, 想像的 |  | general
tenuous | /'tenjuәs/ |  | a. 稀薄的, 微细的, 纤细的, 脆弱的；细薄的, 纤细的 |  | general
