# word | phonetic | pos. | meaning | example | topic
hopelessly |  | adv. | 绝望地, 无可奈何地 |  | general
crucially | /ˈkru:ʃɪəlɪ/ | adv. | 至关重要地, 关键地 |  | general
covent | /'kɔvәnt/ | n. | 女修道院 |  | general
unitary | /'ju:nitәri/ |  | a. 单位的, 单一的, 归一的, 整体的；幺正 |  | society
pornography | /pɔ:'nɔ^rәfi/ | n. | 色情描写, 黄色书刊, 色情画, 色情照片；色情画, 色情文学, 黄色读物 |  | culture
helplessly |  | adv. | 无能为力地；无助地 |  | general
correspondingly |  | adv. | 相应地, 相对地 |  | general
supervisory | /.sju:pә'vaizәri/ |  | a. 管理的, 监督的, 管理人的；监督的, 管理的 |  | work
zucchini | /zu:'ki:ni/ | n. | 绿皮密生西葫芦 |  | general
awfully | /'ɒ:fuli/ | adv. | 恶劣地, 非常地, 极端地 |  | general
entrepreneurial | /ˌɒntrəprə'nɜ:rɪəl/ |  | a. 创业的, 具有企业精神的；企业性质的 |  | health
strasbourg | /'stræsb\\\\:^, strɑ:z'bu:r/ | n. | 斯特拉斯堡（法国东北部城市） |  | society
coolly | /'ku:li/ | adv. | 沉着, 自若 |  | general
thickly |  | adv. | 厚地；浓地 |  | culture
symptomatic | /.simptә'mætik/ |  | a. 作为征候的, 症状的, 根据征候的；症状的 |  | health
preseason | /'pri:'si:zn/ |  | a. 活跃季节前的,旺季前的 |  | general
outstretched | /.aut'stretʃt/ |  | a. 伸开的, 扩张的, 延伸的 |  | general
imperialism | /im'piәriәlizm/ | n. | 帝国主义, 帝制；帝国主义 |  | society
reactive | /ri'æktiv/ |  | a. 反动的, 反应的；反应的 |  | culture
flatly | /'flætli/ | adv. | 枯燥无味地, 完全地, 直截了当地, 毅然地 |  | general
cornish | /'kɔ:niʃ/ |  | a. 康沃尔人的；康沃尔郡的 |  | culture
diarrhea | /,daiә'riә/ | n. | 腹泻；腹泻 |  | health
cannabis | /'kænәbis/ | n. | 大麻；大麻 |  | health
biographical | /baiәu'græfikәl/ |  | a. 传记的 |  | general
flanders | /'flɑ:ndәz/ | n. | 佛兰德斯（中世纪欧洲一伯爵领地, 包括现比利 |  | culture
taxable | /'tæksәbl/ |  | a. 可征税的, 应征税的；可征税的, 应纳税的 |  | general
reasonableness |  |  | 合理性 |  | economy
fragmentation | /.frægmәn'teiʃәn/ | n. | 分裂, 破碎；在IP层将打包文件切成适当大小的程序 |  | technology
deregulation | /di:.regju'leiʃәn/ | n. | 撤消(价格等的)管制规定, 解除控制 |  | health
blackness | /'blæknis/ | n. | 黑, 黑色, 邪恶；黑度 |  | general
inflationary | /in'fleiʃәnәri/ |  | a. 通货膨胀的, 通货膨胀倾向的 |  | general
disarmament | /dis'ɑ:mәmәnt/ | n. | 裁军；裁军, 解除军备 |  | general
shortstop | /'ʃɒ:tstɒp/ | n. | 游击手, 停显液 |  | general
intently | /in'tentli/ | adv. | 一心一意地, 心无旁物地, 专心地 |  | general
parsley | /'pɑ:sli/ | n. | 皱叶欧芹, 荷兰芹；绉叶石蛇床 |  | general
textual | /'tekstʃuәl/ |  | a. 文本的, 原文的；原文的, 本文的, 文字上的 |  | general
unionism | /'ju:njәnizm/ | n. | 工会主义, 联合主义, 联邦主义 |  | work
cholera | /'kɒlәrә/ | n. | 霍乱；霍乱 |  | general
semantics | /si'mæntiks/ | n. | 语义学；语义论 |  | culture
ammonia | /ә'mәunjә/ | n. | 氨水, 阿摩尼亚；氨 |  | general
anthropological | /.ænθrәpә'lɒdʒikl/ |  | a. 人类学的, 人类学上的 |  | general
contextual | /kɒn'tekstjuәl/ |  | a. 上下文的, 前后关系的 |  | general
maud | /mɒ:d/ | n. | 灰格子呢披衣, 灰格子呢旅行毯 |  | general
intravenous | /.intrә'vi:nәs/ |  | a. 静脉内的；静脉内的 |  | general
morbidity | /mɒ:'biditi/ | n. | 病态, 发病, 罹病率；成病, 发病, 发病率 |  | health
drily | /'draili/ | adv. | 干燥地, 不加渲染地, 冷冰冰地, 枯燥地 |  | general
symmetric | /si'metrik/ |  | a. 对称的, 均匀的, 匀称的；对称的 |  | culture
blah | /blɑ:/ | n. | 废话 |  | general
phonological |  |  | a. 音位学的, 音韵学的 |  | general
fetal | /'fi:tәl/ |  | a. 胎儿的, 胎的；胎的, 胎儿的 |  | general
epithelial | /.epi'θi:liәl/ |  | a. 上皮的；上皮的 |  | general
histological |  |  | 组织学的 |  | work
rectal | /'rektl/ |  | a. 直肠的；直肠的 |  | general
paige |  | n. | 佩奇（姓名） |  | general
biliary | /'biljәri/ |  | a. 胆汁的, 输送胆汁的, 由于肝功能障碍；胆汁的, 胆的 |  | general
unattractive | /.ʌnә'træktiv/ |  | a. 无吸引力的, 无魅力的, 乏味的, 不 |  | general
emphatically | /im'fætikәli/ | adv. | 强调地, 着重地 |  | general
insecure | /.insi'kjuә/ |  | a. 不安全的, 不牢靠的, 不坚固的, 不 |  | general
keenly | /'ki:nli/ | adv. | 锐利地, 敏捷地, 激烈地 |  | general
reputable | /'repjutәbl/ |  | a. 受好评的, 有声望的, 规范的；声誉好的, 可尊敬的 |  | general
noticeably |  | adv. | 显而易见, 值得注意, 重要, 显著 |  | general
rigidly |  | adv. | 严格地；坚硬地 |  | general
modestly |  | adv. | 适当地；谨慎地 |  | general
artificially | /.ɑ:ti'fiʃәli/ | adv. | 人工地, 人为地, 不自然地 |  | environment
unreal | /'ʌn'ri(:)әl/ |  | a. 假的, 虚构的, 不真实的, 幻想的 |  | general
steeply | /'sti:pli/ | adv. | 险峻地 |  | general
gladly | /'glædli/ | adv. | 高兴地, 乐意地, 欢喜地 |  | general
nervousness |  | n. | 神经, 神经元, 易激动, 紧张不安, 神经；神经过敏 |  | general
aggressively |  | adv. | (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为 |  | general
dismissive | /dis'misiv/ |  | a. 轻视的 |  | general
convincingly |  | adv. | 有说服力, 使人信服, 令人信服 |  | general
unwittingly |  | adv. | 不知情地；不知不觉地 |  | general
prematurely | /'premətʃə(r)lɪ/ | adv. | 过早地, 贸然地 |  | general
mysteriously | /mɪ'stɪərɪəslɪ/ | adv. | 神秘地；不可思议地 |  | general
insensitive | /in'sensitiv/ |  | a. 对...没有感觉的, 感觉迟钝的；感觉迟钝的 |  | health
impractical | /im'præktikәl/ |  | a. 不切实际的, 不能实行的, 不现实的 |  | general
decisively |  | adv. | 果断地；决然地 |  | general
uncontrolled | /.ʌnkәn'trәuld/ |  | a. 不受抑制的, 不受控制的, 自由的 |  | general
imperfect | /im'pә:fikt/ |  | a. 不完美的, 不完整的, 减弱的, 未完；n. 未完成体 |  | general
infrequent | /in'fri:kwәnt/ |  | a. 稀少的, 珍贵的, 罕见的 |  | general
undoubted | /.ʌn'dautid/ |  | a. 无疑的, 确实的；无疑的, 确实的 |  | general
indistinguishable | /.indis'tiŋgwiʃәbl/ |  | a. 不能辨别的, 不能区别的 |  | general
hesitant | /'hezitәnt/ |  | a. 迟疑的, 踌躇的, 犹豫不定的 |  | general
objectively | /әb'dʒektivli,ɔb-/ | adv. | 客观地 |  | general
macho | /'mɑ:tʃәu/ |  | 结节型皮肤利什曼病 |  | general
inwards | /'inwәdz/ | adv. | 在内部, 向中心, 向内, 内里；进口税 |  | general
secretarial | /.sekrә'tєәriәl/ |  | a. 秘书的, 书记的 |  | general
knowingly | /'nәjiŋli/ | adv. | 会意地, 心照不宣地, 故意地, 有意地；心照不宣地, 故意地, 有意地 |  | general
incorrectly |  | adv. | 错误地；不适当地 |  | general
immoral | /i'mɒrәl/ |  | a. 不道德的, 邪恶的, 放荡的；不道德的, 道德败坏的, 邪恶的 |  | general
tranquillity | /træŋ'kwɪlətɪ/ |  | 心神稳定 |  | society
exploratory | /iks'plɔ:rәtәri/ |  | a. 探究, 探查, 探察(伤处), 探险；探察的 |  | general
strategically | /strә'ti:dʒikәli/ | adv. | 在战略上, 颇策略地 |  | general
skilfully |  | adv. | 熟练地（等于skillfully） |  | general
prominently | /'prɔminәntli/ | adv. | 显著地 |  | general
predictably |  | adv. | 可预言地 |  | general
persistently | /pə'sɪstəntlɪ/ | adv. | 坚持地；固执地 |  | general
peculiarly | /pi'kju:liәli/ | adv. | 特别, 尤其, 奇怪地 |  | general
legitimately |  | adv. | 正当地；合理地 |  | society
unexplained |  |  | 未经说明的, 未经解释的 |  | general
cynicism | /'sinisizm/ | n. | 犬儒主义 |  | general
barbed | /bɑ:bd/ |  | a. 有倒刺的 |  | general
rightful | /'raitful/ |  | a. 合法的, 正直的, 恰当的；正当的, 合法的, 依法有求权的 |  | general
discreetly | /dɪ'skri:tlɪ/ | adv. | 谨慎地, 小心地 |  | general
vitally | /'vaitli/ | adv. | 与生命有关地, 致命地, 紧要地 |  | general
unfairly |  | adv. | 不正当地；不公平地 |  | general
unequivocal | /.ʌni'kwivәkl/ |  | a. 不含糊的, 不模棱两可的, 明确的；不含混的, 明白的, 直率的 |  | general
psychologically | /,psaikә'lɔdʒikәli/ | adv. | 心理上, 从心理学角度 |  | health
nostalgic | /nɒs'tældʒik/ |  | a. 乡愁的, 怀旧的；怀乡病的 |  | general
cleverly |  | adv. | 聪明地, 全然, 完全, 巧妙地 |  | general
relentlessly |  | adv. | 不仁慈, 严酷, 无情, 坚韧, 不懈, 不 |  | general
unhelpful | /'ʌn'helpful/ |  | a. 不起帮助作用的, 无用的, 无益的 |  | general
respectability | /rispektә'bilәti/ | n. | 可敬, 有社会地位, 高尚, 体面, 习俗 |  | society
uncompromising | /.ʌn'kɒmprәmaiziŋ/ |  | a. 不让步的, 不妥协的, 坚定的；坚定的, 不受协的, 不能通融的 |  | general
sympathetically | /.simpә'θetikli/ | adv. | 怜悯地, 同情地 |  | general
densely | /'densli/ | adv. | 浓密地, 浓厚地 |  | general
unhappiness |  | n. | 苦恼；忧愁 |  | general
resolutely |  | adv. | 坚决地；毅然地 |  | general
pleasurable | /'pleʒәrәbl/ |  | a. 快乐的, 愉快的, 舒适的, 心情舒畅 |  | general
unspecified | /'ʌn'spesifaid/ |  | a. 未特别指出的, 未特别提到的 |  | general
apathy | /'æpәθi/ | n. | 无感情, 无兴趣, 冷漠；无情, 淡漠 |  | general
unresolved | /'ʌnri'zɔlvd/ |  | a. 无决断力的, 不果断的, 无决心的；非分辩的 |  | culture
informally |  | adv. | 非正式地；不拘礼节地 |  | general
busily | /'bizili/ | adv. | 忙碌地 |  | general
bravely | /'breivli/ | adv. | 勇敢地 |  | general
anymore | /'eni'mɔ:/ | adv. | 再也不, 不再 |  | general
investigative | /in'vestigeitiv/ |  | a. 审查的, 调查的, 好研究的；调查的, 审查的, 受调查研究的 |  | general
famed | /feimd/ |  | a. 著名的, 闻名的 |  | general
emotive | /i'mәutiv/ |  | a. 使感动的, 动感情的, 感情的；情绪的, 动感情的 |  | general
ipod |  | n. | 苹果公司音乐播放器 |  | economy
timeless | /'taimlis/ |  | a. 无时间限制的, 不受时间影响的, 永恒 |  | general
brutally |  | adv. | 残忍地, 蛮横地 |  | general
purposeful | /'pә:pәsful/ |  | a. 有目的的；有意图的, 有目的的, 故意的 |  | general
matchup | /'mætʃ,ʌp/ | n. | 火柴, 比赛, 竞赛, 匹配, (足球, 捧；v. 相配, 相称, 比赛, 相比, 匹配 |  | general
restroom | /'restru:m/ | n. | 洗手间；休息室 |  | general
horribly | /'hɒrәbli/ | adv. | 可怕地, 非常地 |  | general
adulthood | /ә'dʌlthud/ | n. | 成年；成人期 |  | general
usable | /'ju:zәbl/ |  | a. 可用的, 方便使用的, 能用的 |  | general
thence | /ðens/ | adv. | 从那时起, 从那时以后, 从那里起, 由此 |  | general
unwillingness |  | n. | 不情愿；不愿意 |  | general
polythene | /'pɔli,θi:n/ | n. | 聚乙烯；聚乙烯 |  | general
lovingly | /'lʌviŋli/ | adv. | 钟爱地, 亲切地 |  | general
idiosyncratic | /.idiәsiŋ'krætik/ |  | a. 特质的, 异质的, 特殊的；特应性的, 特异体质的 |  | general
topical | /'tɒpikl/ |  | a. 论题的, 题目的, 时事问题的, 局部；局部的 |  | culture
downstream | /'daun'stri:m/ | adv. | 下游地；a. 下游的 |  | general
massively |  | adv. | 大而重, 厚实, 粗大, 强有力, 结实；大规模地 |  | general
acculturation | /ә.kʌltʃә'reiʃәn/ | n. | 文化互渗, 文化适应 |  | society
miraculously |  | adv. | 超自然, 非凡, 不可思议, 令人惊叹, 象 |  | environment
fearsome | /'fiәsәm/ |  | a. 吓人的, 可怕的, 害怕的 |  | general
overtly | /'әuvә:tly. әu'vә:tly/ | adv. | 明显地；公开地, 公然地 |  | general
greatness | /'greitnis/ | n. | 大, 巨大, 广大 |  | general
adrenalin | /ә'drenәlin/ | n. | 肾上腺素；肾上腺素 |  | economy
unmarked | /.ʌn'mɑ:kt/ |  | a. 未被注意的, 无记号的, 无标志的 |  | general
smartly | /'smɑ:ti/ | adv. | 潇洒地, 火辣辣地, 刺痛地 |  | general
aback | /ә'bæk/ | adv. | 向后, 朝后, 突然, 船顶风地 |  | general
giftedness | /ɡɪf'tɪdnəs/ |  | 假资优, 天才, 资赋优异 |  | general
attractiveness |  |  | 吸引性, 有利可图 |  | general
whereupon | /,(h)weәrә'pɔn/ | conj. | 因此, 于是 |  | general
reliably | /ri'laiәbli/ | adv. | 可靠地, 可信赖地 |  | general
conceivably | /kәn'si:vәbli/ | adv. | 想得到地, 想象上, 以为 |  | general
recognizable | /'rekәgnaizәbl/ |  | a. 可认识的, 可承认的, 可识别的；可被认出的, 可辩认的, 可被承认的 |  | general
tiredness | /'taiәdnis/ | n. | 疲劳, 疲倦；疲惫, 疲倦 |  | health
intrinsically |  |  | 本质的 |  | general
bullpen | /'bjlpen/ | n. | <美>牛栏,<口>大房间(尤指候审犯人用的) |  | society
unfavourable |  |  | a. 不适宜的, 不适应的, 不顺利的, 不 |  | general
geographically |  |  | 自通地 |  | general
nonstick |  |  | a. 锅底不粘的 |  | culture
horizontally |  |  | 水平置中 |  | general
disgraceful | /dis'greisful/ |  | a. 可耻的, 不名誉的 |  | general
miserably | /'mizәrәbli/ | adv. | 非常不幸地, 可悲地, 贫困地 |  | society
counterterrorism | /'kaʊntəˌterərɪzəm/ | n. | 以恐怖反恐怖主义, 报复性恐怖主义 |  | general
lifeless | /'laiflis/ |  | a. 无生命的, 无趣味的, 死气沉沉的 |  | general
unambiguous | /.ʌnæm'bigjuәs/ |  | a. 不含糊的, 明确的；清晰的, 明白的, 不模糊的 |  | general
unreasonably | /.ʌn'ri:znәbli/ | adv. | 不合理地 |  | general
externally |  | adv. | 在外部, 外表上, 从外面, 在外面, 从外 |  | general
punitive | /'pju:nitiv/ |  | a. 刑罚的, 惩罚性的；刑罚的, 惩罚性的, 结予惩处的 |  | general
skeletal | /'skelәtәl/ |  | a. 骨骼的, 框架的；骨胳的 |  | general
thorpe | /θɔ:p/ | n. | 村庄；小乡镇（等于thorp） |  | general
der |  | abbr. | 区分编码规则（Distinguished E |  | general
solemnly |  | adv. | 庄严地；严肃地 |  | general
readable | /'ri:dәbl/ |  | a. 值得一读的, 易读的, 读起来津津有味；可读的 |  | general
innocently |  | adv. | 纯洁地；无罪地 |  | society
contentment | /kәn'tentmәnt/ | n. | 满足, 使人满意的事物, 满意 |  | general
acceptability | /әk.septә'biliti/ | n. | 可接受, 合意, 可忍受 |  | general
gravely | /'greivli/ | adv. | 重大地, 严肃地, 庄重地 |  | general
homelessness |  | n. | 无家可归 |  | general
cruelly | /'kru:әli/ | adv. | 残忍地, 残酷地, 极 |  | general
campground | /'kæmpɡrәund/ | n. | 露营场所；野营地 |  | general
blindly | /'blaindli/ | adv. | 轻率地, 盲目地 |  | general
unauthorised | /ʌn'ɔ:θəraizd/ |  | a. 无权的（等于unauthorized） |  | general
midwife | /'midwaif/ | n. | 助产士, 接生婆；助产士 |  | general
upstream | /'ʌp'stri:m/ | adv. | 向上游, 逆流地；a. 向上游的, 逆流而上的 |  | general
savagely |  | adv. | 野蛮地；残忍地 |  | general
dissemination | /di.semi'neiʃә/ | n. | 散播, 传播, 普及；散布, 播散 |  | general
silvery | /'silvәri/ |  | a. 像银的, 银色的, 银铃一般的 |  | general
goodman | /'gudmәn/ | n. | 家长, 丈夫, 父亲 |  | culture
inactive | /in'æktiv/ |  | a. 不活动的, 停止的, 怠惰的, 闲置的；非活动的 |  | culture
aesthetics | /i:s'θetiks/ | n. | 美学 |  | culture
riley | /'raili/ |  | a. 生气的 |  | general
oats |  | n. | 燕麦, 燕麦属植物, 燕麦粥, 麦片粥 |  | general
forthwith | /'fɒ:θ'wiθ/ | adv. | 立刻, 不犹豫地, 不延迟地；必须立即执行的命令 |  | general
expiry | /ik'spairi/ | n. | 终结, 满期, 呼气, 断气；满期, 到期 |  | culture
earnestly |  | adv. | 诚挚地；认真地 |  | general
sweetly | /'swi:tli/ | adv. | 甜美地, 惬意地, 讨人喜欢地 |  | general
triumphantly | /traɪ'ʌmfəntlɪ/ | adv. | 耀武扬威地, 得意扬扬地；胜利 |  | general
spaghetti | /spә'geti/ | n. | 意大利面条 |  | general
exasperation | /ig.zæspә'reiʃәn/ | n. | 恼怒, 恼怒的原因 |  | general
holistic | /hәj'listik/ |  | 完整的, 整体的；机能整体性的 |  | culture
asbestos | /æs'bestɒs/ | n. | 石棉；石棉 |  | culture
lyrical | /'lirikәl/ |  | a. 抒情诗调的, 有抒情味的, 感情丰富的 |  | general
incest | /'insest/ | n. | 近亲相奸, 乱伦；近亲通婚 |  | education
preferential | /.prefә'renʃәl/ |  | a. 优先的, (关税等)优惠的；特惠的 |  | culture
excitedly | /ik'saitidli/ | adv. | 兴奋地 |  | general
nonproliferation | /'nɔnprәu,lifә'reiʃәn/ | n. | 防扩散；不扩散, 防扩散 |  | general
horticultural | /.hɒ:ti'kʌltʃәrәl/ |  | a. 园艺的 |  | general
medicinal | /me'disinәl/ |  | a. 药用的, 药的, 有益的；药用的, 医药的, 医治的 |  | general
defiantly |  | adv. | 对抗地；挑战地 |  | general
darkly | /'dɑ:kli/ | adv. | 暗, 黑, 呈黑 |  | general
ruefully |  | adv. | 可怜地；悲伤地 |  | general
clarence | /'klærәns/ | n. | 克拉伦斯马车(一种四轮马车) |  | general
chassis | /'ʃæsi/ | n. | 底盘；底盘 |  | technology
idly | /'aidli/ | adv. | 懒惰地, 空闲地 |  | general
enforceable | /in'fɔ: sәbl/ |  | a. 可实施的, 可强行的 |  | general
marquis | /'mɑ:kwis/ | n. | 侯爵 |  | general
hayward | /'heiwәd/ | n. | 看管市镇的家畜围篱管理员 |  | work
oftentimes | /'ɒ:fntaimz/ | adv. | 时常地 |  | general
chaplin | /'tʃæplin/ | n. | 卓别林（喜剧演员） |  | culture
wryly | /raɪlɪ/ | adv. | （面部表情）做鬼脸地, 苦笑地, 嘲讽地 |  | general
inwardly | /'inwәdli/ | adv. | 在内部, 向中心, 向内, 内里, 在心灵深；向内的, 向内里 |  | general
sexism | /'seksizm/ | n. | 性别歧视, 歧视女性 |  | general
radicalism | /'rædikәlizm/ | n. | 激进主义 |  | society
boyle | /bɔil/ | n. | 波义耳（17世纪英国物理学家、化学家） |  | general
langley | /'læŋli/ |  | 兰勒(太阳辐射或织物、塑料耐晒牢度试验的能通 |  | general
lombard | /'lɔmbәd, 'lʌmbәd/ | n. | 银行家, 当铺, 银行, 放款者 |  | economy
becker |  | n. | 贝克尔（美国经济学家） |  | economy
wholemeal | /ˈhəʊlmi:l/ | n. | 全麦面粉 |  | general
nissan |  | n. | 尼桑（日产汽车名） |  | general
familial | /fә'miljәl/ |  | a. 家族的, 家庭的；家族的, 全家的 |  | general
clinically |  | adv. | 临床, 临诊, 冷静, 不偏不倚, 分析 |  | general
bony | /'bәuni/ |  | a. 如骨的, 多骨的, 瘦骨嶙峋的 |  | health
amen | /.ɑ:'men/ |  | interj. 阿门 |  | general
beryl | /'beril/ | n. | 绿玉, 绿宝石；绿柱石 |  | general
haulage | /'hɒ:lidʒ/ | n. | 拖曳, 运费, 牵引量；公路运输, 拖运费 |  | general
warily | /'wєәrili/ | adv. | 谨慎地, 留心地, 小心地 |  | general
choral | /'kɒ:rәl/ |  | a. 合唱队的 |  | general
cornmeal | /'kɒ:nmi:l/ | n. | 玉蜀黍粉, 玉米片, 麦片 |  | general
wellness | /'welnis/ | n. | 健康 |  | health
scallions | /ˈskæljənz/ | n. | 青葱( scallion的名词复数 )；冬葱 |  | general
matrimonial | /.mætri'mәunjәl/ |  | a. 与婚姻有关的, 婚礼的；婚姻的, 婚礼的 |  | general
jobless | /'dʒɔblis/ |  | a. 失职的, 无职业的；失业的 |  | work
karate | /kә'rɑ:ti/ | n. | 空手道 |  | culture
amish | /'ɑ:miʃ/ | n. | 孟诺教派；孟诺教派之教徒 |  | culture
ascot | /'æskәt/ | n. | 领巾状领带；（大写）英国阿斯科特赛马会 |  | health
hurst | /hә:st/ | n. | 小丘, 小树林, 沙洲 |  | general
midweek | /'mid.wi:k/ | n. | 周中, 星期三；a. 周中的, 星期三的 |  | general
catalytic | /.kætә'litik/ |  | a. 催化的；催化的 |  | general
hereby | /hiә'bai/ | adv. | 因此, 据此 |  | general
cervical | /'sә:vikәl/ |  | a. 颈的, 子宫颈的；颈的 |  | general
industrialisation | /ɪndʌstrɪəlaɪzeɪ'ʃən/ | n. | 工业化 |  | economy
episcopal | /i'piskәpәl/ |  | a. 主教的, 主教制度的, 英国国教的 |  | society
frankenstein | /'fræŋkәnstain/ | n. | 自己所创造而无法控制的事物, 人形的怪物 |  | general
normative | /'nɒ:mәtiv/ |  | a. 合乎规范的, 标准的, 规范的；标准的, 规范的, 合乎规范的 |  | general
chemotherapy | /.kemәu'θerәpi/ | n. | 化学疗法；化学疗法 |  | health
checkbook | /'tʃekbuk/ | n. | 支票簿 |  | general
nonpartisan |  |  | a. 超党派的, 不支持任何党派的, 不受任 |  | culture
subsidence | /sәb'saidәns/ | n. | 沉淀, 下沉, 陷没 |  | health
orchestral | /ɒ:'kestrәl/ |  | a. 管弦乐队的 |  | general
brownie | /'brauni/ | n. | 界仁巧克力饼 |  | general
muhammad |  | n. | 穆罕默德 |  | general
vaginal | /vә'dʒainl/ |  | a. 鞘的, 似叶鞘的, 阴道的；鞘的 |  | general
reunification | /,ri:ju:nifi'keiʃәn,ri:,ju:-/ | n. | 使重新统一, 使重新团结 |  | general
uncertainly |  | adv. | 没把握地；犹豫地 |  | general
psychoanalytic | /'psaikәj,ænә'litik/ |  | a. 精神分析的；精神分析的 |  | health
cobalt | /'kәubɒ:lt/ | n. | 钴, 钴类颜料；钴Co |  | health
morphological | /,mɔ:fә'lɔdʒikәl/ |  | a. 形态的, 形态学的, 词法的；词法的 |  | culture
recoverable | /ri'kʌvәrәbl/ |  | a. 可回复的, 可痊愈的, 可收回的；可收回的, 可补偿的 |  | general
yorks |  | n. | 约克斯集团 |  | general
incontinence | /in'kɒntinәns/ | n. | 无节制, 荒淫, 失禁；失禁, 无节制 |  | general
syphilis | /'sifilis/ | n. | 梅毒；梅毒 |  | health
kendall | /'kendl/ |  | 肯德尔 |  | general
gaza | /'^ɑ:zә/ | n. | 加沙（地中海岸港市） |  | general
chen |  | n. | 陈 |  | general
blankly | /'blæŋkli/ | adv. | 茫然地, 毫无表情地 |  | general
kitty | /'kiti/ | n. | 小猫, 全部赌注 |  | general
decentralization | /di:,sentrәlai'zeiʃәn/ | n. | 分散, 权力分散, 权力下放；分散化, 分权化, 疏散 |  | economy
eradication | /i,rædi'keiʃәn/ | n. | 连根拔除, 歼灭, 消灭, 根除, 使断根；根除, 扑灭, 消灭 |  | general
goldberg | /'^әjldb\\\\:^/ | n. | 犹太老板（尤指在黑人聚居区开店或雇用黑人的） |  | culture
computational | /.kɒmpju'teiʃәnәl/ |  | a. 计算的 |  | technology
lima | /'li:mә/ | n. | 利马（秘鲁首都） |  | economy
cyclic | /'saiklik/ |  | a. 周期的, 轮转的, 循环的, 轮列的；循环的, 周期的 |  | culture
