# word | phonetic | pos. | meaning | example | topic
complacent | /kәm'pleisnt/ |  | a. 满足的, 自满的, 得意的 |  | general
justifiable | /'dʒʌstifaiәbl/ |  | a. 可辩解的, 可证明的, 有理的；正当的, 不可非议的, 可办明的 |  | general
spurious | /'spjuriәs/ |  | a. 假造的, 伪造的, 欺骗的；假的, 伪的 |  | general
unqualified | /.ʌn'kwɒlifaid/ |  | a. 不合格的, 无资格的, 不胜任的；无条件的, 不合格的, 无资格的 |  | general
bogus | /'bәugәs/ |  | a. 假的, 伪造的；伪的, 伪造的 |  | general
secretive | /si'kri:tiv/ |  | a. 秘密的, 偷偷摸摸的, 分泌的, 促进 |  | general
poignant | /'pɒinәnt/ |  | a. 辛酸的, 尖锐的, 剧烈的 |  | general
euphoria | /ju:'fɒ:riә/ | n. | 兴奋, 陶醉, 陶醉感；精神愉快, 欣快 |  | health
mischievous | /'mistʃivәs/ |  | a. 淘气的, 有害的, 恶作剧的, 胡搅的 |  | general
austere | /ɒ'stiә/ |  | a. 严峻的, 禁欲的, 简朴的 |  | general
suggestive | /sә'dʒestiv/ |  | a. 提示性的, 影射的, 暗示的；暗示的 |  | general
ornate | /ɒ:'neit/ |  | a. 装饰的, 华丽的 |  | work
inexplicable | /in'eksplikәbl/ |  | a. 不能说明的, 不能解释的, 费解的 |  | general
abusive | /ә'bju:siv/ |  | a. 恶言谩骂的, 被滥用的, 腐败的, 虐 |  | general
disparate | /'dispәrәt/ |  | a. 根本不同的, 全异的, 不相干的；n. 无法相比的东西(或人) |  | health
earthly | /'ә:θli/ |  | a. 地球的, 俗世的, 可能的 |  | culture
sensual | /'senʃuәl/ |  | a. 肉欲的, 感觉的, 感觉论的 |  | general
eerie | /'iәri/ |  | a. 怪诞的, 可怕的, 奇异的, 令人迷惑 |  | general
inaugural | /i'nɒ:gjurәl/ |  | a. 就任的, 开幕的；n. 就职演讲 |  | economy
cutlery | /'kʌtlәri/ | n. | 刀剑制造业, 刃具制造业, 刀剑, 刃具 |  | general
insignia | /in'signiә/ | n. | 勋章, 徽章；勋章, 徽章, 荣誉 |  | general
distraught | /dis'trɒ:t/ |  | a. 烦恼的, 心烦意乱的, 发狂的 |  | general
grievous | /'gri:vәs/ |  | a. 痛苦的, 严重的, 充满悲伤的；极大的, 严重的, 惨无人道的 |  | general
commencement | /kә'mensmәnt/ | n. | 开始, 毕业典礼；开始, 毕业典礼 |  | education
discriminatory | /di'skriminәtәri; (?@) -tɔ:ri/ |  | a. 有辨识力的, 有差别的 |  | culture
prognosis | /prɒg'nәusis/ | n. | 预测, 预后；预后 |  | education
discursive | /dis'kә:siv/ |  | a. 离题的, 东拉西扯的 |  | culture
candor | /'kændә/ | n. | 坦白, 直率 |  | general
laity | /'leiәti/ | n. | 俗人, 外行；外行 |  | society
anorexia | /.ænә'reksiә/ | n. | 食欲缺乏, 厌食；食欲缺乏, 厌食 |  | general
interdisciplinary | /,intә(:)'disiplinәri/ |  | 学科间的 |  | education
vascular | /'væskjulә/ |  | a. 血管的, 维管的；血管的, 脉管的 |  | general
gastritis | /gæs'tritis/ | n. | 胃炎；胃炎 |  | general
brunt | /brʌnt/ | n. | 主要冲力, 冲击 |  | general
scathing | /'skeiðiŋ/ |  | a. 伤害的, 损伤的, 严厉的 |  | general
rife | /raif/ |  | a. 流行的, 盛传的, 充满的 |  | general
strident | /'straidnt/ |  | a. 刺耳的, 吱吱尖叫的, 尖锐的, 刺眼；喘鸣性的 |  | general
unfounded | /'ʌn'faundid/ |  | a. 没有事实根据的, 没有理由的, 虚幻的；无根据的, 无稽的, 没有理的 |  | general
frivolous | /'frivәlәs/ |  | a. 轻佻的, 妄动的, 琐碎的；轻薄的, 轻浮的, 无意义的 |  | general
lukewarm | /'lu:kwɒ:m/ |  | a. 微温的, 不热的, 不热情的；微温的 |  | general
compassionate | /kәm'pæʃәnit/ |  | a. 慈悲的, 富于同情心的, 照顾性的；vt. 怜悯, 同情 |  | general
indebted | /in'detid/ |  | a. 负债的, 受惠的；负债的, 法律上有义务偿还的 |  | society
entirety | /in'taiәti/ | n. | 全部, 整体；共有制, 整体, 全部 |  | general
resilient | /ri'ziliәnt/ |  | a. 弹回的, 有弹力的；回弹的, 回能的 |  | general
unscathed | /.ʌn'skeiðd/ |  | a. 没有受伤的, 未受损伤的 |  | general
illusory | /i'lju:sәri/ |  | a. 产生幻觉的, 幻影的, 错觉的；因错觉产生的, 虚幻的 |  | general
grandiose | /'grændiәus/ |  | a. 宏伟的, 壮丽的, 夸张的；夸大的 |  | general
onus | /'әunәs/ | n. | 负担, 责任, 义务, 过失, 耻辱；责任, 义务, 负担 |  | general
onerous | /'ɒnәrәs/ |  | a. 繁重的, 负有法律责任的；负有义务的, 艰巨的, 繁重的 |  | society
impenetrable | /im'penitrәbl/ |  | a. 不能通过的, 不可理喻的, 费解的 |  | general
willful | /'wilful/ |  | a. 任性的, 故意的, 有意的 |  | general
intractable | /in'træktәbl/ |  | a. 不听话的, 倔强的, 棘手的；顽固的, 难治的 |  | work
innocuous | /i'nɒkjuәs/ |  | a. 无害的, 无伤大雅的；无害的, 良性的 |  | health
ineffectual | /.ini'fektʃuәl/ |  | a. 无效的, 无益的 |  | general
abreast | /ә'brest/ | adv. | 并肩地, 并列地 |  | culture
stealth | /stelθ/ | n. | 秘密行动, 秘密, 鬼祟；秘密行动, 鬼祟 |  | general
belated | /bi'leitid/ |  | a. 迟来的；过了期的, 落后了的 |  | general
coy | /kɒi/ |  | a. 腼腆的, 怕羞的, 羞怯的 |  | general
astray | /ә'strei/ | adv. | 迷途地, 入歧途地；误入歧途地, 离开正道地 |  | general
evocative | /i'vɒkәtiv/ |  | a. 唤出...的, 唤起...的 |  | general
unwarranted | /.ʌn'wɒrәntid/ |  | a. 未获保证的, 无保证的, 未经授权的 |  | general
grueling | /'^ruәliŋ/ |  | a. 折磨人的, 使人精疲力尽的；n. 痛打, 惩罚 |  | general
sordid | /'sɒ:did/ |  | a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的；污色的 |  | general
inexorable | /in'eksәrәbl/ |  | a. 无情的, 冷酷的 |  | general
interminable | /in'tә:minәbl/ |  | a. 无限的, 冗长的 |  | general
erstwhile | /'ә:stwail/ | adv. | 以前, 往昔地；a. 以前的, 往昔的 |  | general
unjustified |  |  | 未经调整的, 未对齐的 |  | general
plethora | /'pleθәrә/ | n. | 过多, 过剩, 多血症；多血 |  | general
squalid | /'skwɒlid/ |  | a. 污秽的, 肮脏的, 悲惨的, 可怜的 |  | general
penultimate | /pi'nʌltimit/ |  | a. 倒数第二的 |  | general
unmoved | /.ʌn'mu:vd/ |  | a. 没有动过的, 不动摇的, 坚决的, 冷 |  | general
copious | /'kәupiәs/ |  | a. 很多的, 丰富的, 内容丰富的 |  | education
espionage | /.espiә'nɑ:ʒ/ | n. | 间谍活动；间谍活动, 刺探, 间谍 |  | general
seminal | /'seminl/ |  | a. 精液的, 种子的, 生殖的；种子的 |  | general
veritable | /'veritәbl/ |  | a. 名副其实的, 真实的, 确实的, 真的 |  | general
circumstantial | /.sә:kәm'stænʃәl/ |  | a. 依照情况的 |  | culture
prophetic | /prә'fetik/ |  | a. 预言的, 先知的, 预示的 |  | general
lurid | /'luәrid/ |  | a. 火烧似的, 苍白的, 华丽的, 可怕的 |  | general
mayhem | /'meihem/ | n. | 蓄意的破坏, 故意的伤害罪；伤残, 残废 |  | society
unproductive | /.ʌnprә'dʌktiv/ |  | a. 不生产的, 无出产的, 不毛的；非生意性的, 浪费的 |  | work
senile | /'si:nail/ |  | a. 高龄的, 衰老的, 老年期的；老年的 |  | health
populace | /'pɒpjulәs/ | n. | 平民, 大众, 人口 |  | society
permanence | /'pә:mәnәns/ | n. | 永久, 持久, 固定性；永久性, 持久性 |  | general
insatiable | /in'seiʃjәbl/ |  | a. 不知足的, 贪求无厌的；不能满足的, 不饱的 |  | general
malaise | /mæ'leiz/ | n. | 不舒服；不适, 欠爽 |  | general
interchangeable | /.intә'tʃeindʒәbl/ |  | a. 可互换的；可互换的 |  | general
impasse | /'impɑ:s/ | n. | 难局, 僵局, 死路, 死胡同 |  | general
ascendancy | /ә'sendәnsi/ | n. | 优势, 支配地位 |  | general
anatomical | /.ænә'tɒmikl/ |  | a. 解剖的, 解剖学的, 构造上的；解剖学的 |  | work
banal | /bә'nɑ:l/ |  | a. 平凡的, 陈腐的 |  | general
omelet | /'ɔmlit, -let/ | n. | 煎蛋卷, 煎蛋饼, 炒蛋 |  | general
indeterminate | /.indi'tә:minәt/ |  | a. 不明确的, 不确定的, 含混的；不明确的, 无定期的, 不确定的 |  | general
implausible | /im'plɒ:zәbl/ |  | a. 难以置信的, 不象真实的 |  | general
demented | /di'mentid/ |  | a. 发狂的, 精神错乱的；痴呆的 |  | health
pernicious | /pә'niʃәs/ |  | a. 有害的, 致命的, 恶劣的, 险恶的；恶性的 |  | general
monolithic | /.mɒnәu'liθik/ |  | a. 独石的, 完全统一的, 整体的；整体(铸,烧结)的 |  | general
mirth | /mә:θ/ | n. | 欢笑, 欢乐, 愉快 |  | general
putative | /'pju:tәtiv/ |  | a. 推定的, 被公认的；被公认的, 推定的, 假定的 |  | general
furor | /'fjuәrɒ:/ | n. | 喧闹, 激怒, 感动, 狂热；狂乱, 狂暴, 狂怒 |  | general
panoramic | /.pænә'ræmik/ |  | a. 全景的 |  | general
macabre | /mә'kɑ:brә/ |  | a. 以死亡为主题的, 可怕的 |  | general
tattered | /'tætәd/ |  | a. 破烂的, 褴褛的 |  | general
guru | /'guru:/ | n. | 古鲁(印度教导师)；柯拉子 |  | education
gingerly | /'dʒindʒәli/ | adv. | 小心翼翼地, 慎重地；a. 慎重的, 谨慎的 |  | general
cougar | /'ku:gә/ | n. | 美洲狮 |  | general
responsiveness |  | n. | 强烈的反应；响应能力 |  | general
puberty | /'pju:bәti/ | n. | 青春期, 春情发动期；青春期(12-17岁) |  | general
assertiveness | /ə'sə:tivnis/ | n. | 魄力, 自信 |  | general
compliant | /kәm'plaiәnt/ |  | a. 顺从的, 屈从的；适用于, 配合...使用 |  | general
amorphous | /ә'mɒ:fәs/ |  | a. 无定形的, 无组织的；非晶形的 |  | work
vanilla | /vә'nilә/ | n. | 香草, 香子兰 |  | general
spectral | /'spektrәl/ |  | a. 光谱的, 鬼怪的, 幻觉的；光谱的 |  | general
existential | /.egzis'tenʃәl/ |  | a. 有关存在的 |  | general
homogeneity | /.hɒmәdʒe'ni:iti/ | n. | 同种, 同质, 齐性；同种性, 纯一性, 同质性, 均匀性 |  | general
furtive | /'fә:tiv/ |  | a. 秘密的, 隐密的, 偷偷摸摸的 |  | general
flak | /flæk/ | n. | 高射炮, 对空炮火, 广告, 宣传 |  | economy
lackluster |  |  | a. 没有光泽的, 无生气的, 平凡的；n. 无光泽, 无生气, 暗淡 |  | general
sodden | /'sɒdn/ |  | a. 浑身湿透的, 饱含的, (因沉湎于酒而；vt. 拿水浸, 使变呆 |  | general
pecuniary | /pi'kju:njәri/ |  | a. 金钱的, 金钱方面的, 课罚款的；金钱的, 应罚款的 |  | general
neolithic | /.ni:әu'liθik/ |  | a. 新石器时代的 |  | general
centralization | /.sentrәlai'zeiʃәn/ | n. | 集中, 中央集权化；集中式 |  | general
actuarial | /.æktju'єәriәl/ |  | a. 保险计算员的, 保险计算的；保险公司计算员的, 保险统计 |  | economy
canonical | /kә'nɔnikәl/ |  | a. 依教规的, 被认为圣典的, 权威的；正则的 |  | society
anterior | /æn'tiәriә/ |  | a. 前面的, 先前的；前的 |  | general
anemic | /ә'ni:mik/ |  | a. 贫血的, 患贫血症的, 无活力的；贫血的 |  | general
peptic | /'peptik/ |  | a. 有助消化的, 胃液素的, 胃蛋白酶的；n. 健胃剂, 促进消化物质 |  | general
esophagus | /i:'sɒfәgәs/ | n. | 食道；食管 |  | general
hypocritical | /.hipә'kritikl/ |  | a. 伪善的, 伪善者的 |  | general
unobtrusive | /.ʌnәb'tru:siv/ |  | a. 不唐突的, 不引人注目的, 谦虚的 |  | general
resourceful | /ri'sɒ:sful/ |  | a. 资源丰富的, 策略的, 机智的；资源丰富的, 善于遂机应变的, 足智多谋的 |  | general
untoward | /ʌn'tәuәd/ |  | a. 事与愿违的, 麻烦的, 困难的, 不幸 |  | society
prosaic | /prәu'zeiik/ |  | a. 散文的, 散文体的, 平凡的 |  | general
exhilaration | /ig.zilә'reiʃәn/ | n. | 令人高兴, 愉快 |  | general
sadistic | /sæ'distik/ |  | a. 虐待狂的, 残酷成性的 |  | general
voluminous | /vә'lju:minәs/ |  | a. 卷数多的, 大部头的, 著书多的, 长 |  | general
exuberance | /ig'zju:bәrәns/ | n. | 茂盛, 茂盛的生长物, 丰富 |  | general
anachronistic | /ә.nækrә'nistik/ |  | a. 时代错误的 |  | general
preposterous | /pri:'pɒstәrәs/ |  | a. 反常的, 乖戾的, 荒谬的, 首末倒置 |  | general
imprecise | /.impri'saiz/ |  | a. 不严密的, 不精确的, 不明确的 |  | general
tantamount | /'tæntәmaunt/ |  | a. 同等的, 相等的, 相当于...的；相等的, 相当的, 同等的 |  | general
dexterity | /dek'steriti/ | n. | 灵巧, 机敏 |  | general
atrocious | /ә'trәuʃәs/ |  | a. 残暴的, 凶恶的 |  | general
serviceable | /'sә:visәbl/ |  | a. 有用的, 耐用的；能操作的 |  | work
vindictive | /vin'diktiv/ |  | a. 有报仇心的, 怀恨的, 惩罚的；报复的, 有报仇心的, 复仇的 |  | general
riotous | /'raiәtәs/ |  | a. 引起骚扰的, 暴乱的, 放荡的 |  | general
cognizant | /'kɒgnizәnt/ |  | a. 察知的, 认识到的, 有认识能力的；审理的, 审理权的, 有权审理的 |  | general
despondent | /di'spɒndәnt/ |  | a. 丧气的, 失望的, 没有精神的 |  | health
indecisive | /.indi'saisiv/ |  | a. 非决定性的, 犹豫不决的, 不明确的 |  | general
resplendent | /ri'splendәnt/ |  | a. 辉煌的, 灿烂的 |  | general
palpable | /'pælpәbl/ |  | a. 可感知的, 明显的, 触摸得到的；可触知的 |  | general
irate | /'aireit/ |  | a. 发怒的, 生气的 |  | general
garish | /'gєәriʃ/ |  | a. 穿着花哨的, 炫耀的, 过分装饰的 |  | general
charade | /ʃә'rɑ:d/ | n. | 字谜游戏 |  | general
summarily | /'sʌmәrili/ | adv. | 概要地, 概略地, 立刻 |  | general
altruistic | /.æltru'istik/ |  | a. 利他的, 无私心的 |  | society
sanguine | /'sæŋgwin/ |  | a. 血红色的, 满怀希望的, 乐观的；n. 血红色, 红粉笔 |  | general
commensurate | /kә'menʃәrit/ |  | a. 同量的, 同等的, 相称的 |  | general
unsound | /.ʌn'saund/ |  | a. 不健全的, 有病的, 腐烂的, 谬误的；不健康的, 不健全的, 有病的 |  | health
unassuming | /'ʌnә'sju:miŋ/ |  | a. 谦逊的, 不装腔作势的 |  | general
stupendous | /stju:'pendәs/ |  | a. 惊人的, 巨大的 |  | general
paltry | /'pɒ:ltri/ |  | a. 不足取的, 琐碎的, 可鄙的 |  | general
boisterous | /'bɒistәrәs/ |  | a. 猛烈的, 喧闹的, 狂暴的 |  | general
virulent | /'virjulәnt/ |  | a. 剧毒的, 致命的, 刻毒的, 恶毒的；有毒力的, 毒性的 |  | health
unremitting | /.ʌnri'mitiŋ/ |  | a. 不懈的, 不断的, 坚忍的, 持续的；不间断的, 持续的 |  | general
ruthlessness |  | n. | 无情；冷酷 |  | culture
gusto | /'gʌstәu/ | n. | 爱好, 嗜好, 由衷的高兴 |  | general
wont | /wɒnt/ | n. | 习惯；a. 惯常的, 易于...的 |  | general
insubstantial | /.insәb'stænʃәl/ |  | a. 脆弱的, 无实体的, 非实质的 |  | general
infirm | /in'fә:m/ |  | a. 弱的, 虚弱的, 柔弱的；衰弱的 |  | general
flagrant | /'fleigrәnt/ |  | a. 极端明显的, 不能容忍的, 恶名昭著的；公然的, 罪恶昭彰的, 现行的 |  | general
aegis | /'i:dʒis/ | n. | 羊皮盾, 保护, 庇护, 赞助, 支持；庇护, 保护 |  | culture
parlance | /'pɑ:lәns/ | n. | 说法, 说话的方式方法, 用语；说法, 用语, 发言 |  | culture
precocious | /pri'kәuʃәs/ |  | a. 早熟的, 像大人的；早熟的 |  | health
derogatory | /di'rɒgәtәri/ |  | a. 贬损的；毁损的, 减损的 |  | general
perfunctory | /pә'fʌŋktәri/ |  | a. 敷衍的, 随随便便的, 得过且过的 |  | general
panache | /pә'næʃ/ | n. | 羽饰, 夸示, 假威风, 炫耀 |  | general
impregnable | /im'pregnәbl/ |  | a. 无法攻取的, 坚强不屈的, 驳不倒的 |  | general
draconian | /drә'kәjniәn/ |  | a. 严厉的, 残酷的 |  | society
berserk | /bә'sә:k/ |  | a. 狂暴的, 疯的；adv. 狂暴地, 疯地 |  | general
nonsensical | /nɒn'sensikl/ |  | a. 无意义的, 荒谬的 |  | general
awry | /ә'rai/ |  | a. 歪的, 错误的；adv. 歪斜地, 错地 |  | education
nascent | /'næsnt/ |  | a. 发生中的, 开始存在的, 初期的；初发的, 初生的 |  | general
equanimity | /.i:kwә'nimiti/ | n. | 平静, 镇定, 沉着 |  | general
diffident | /'difidәnt/ |  | a. 无自信的, 谦虚谨慎的, 羞怯的 |  | general
vermin | /'vә:min/ | n. | 害虫, 歹徒；虫, 体外寄生虫(如蚤、臭虫、蚤等) |  | general
trivia | /'triviә/ | n. | 琐事 |  | education
opulent | /'ɒpjulәnt/ |  | a. 富裕的, 豪华的, 奢侈的, 丰富的 |  | general
odious | /'әudiәs/ |  | a. 可憎的, 可厌的, 丑恶的 |  | general
diabolical | /daiә'bɒlikl/ |  | a. 恶魔的 |  | general
