# word | phonetic | pos. | meaning | example | topic
heartache | /'hɑ:teik/ | n. | 心痛, 悲叹 |  | general
liposuction | /ˈlɪpəʊsʌkʃn/ |  | 脂肪抽吸 |  | general
cheapness | /'tʃi:pnis/ | n. | 廉价 |  | general
bespectacled | /bi'spektәkld/ |  | a. 戴眼镜的 |  | general
yellowish | /'jelәuiʃ/ |  | a. 淡黄的, 微黄的 |  | culture
unfocused | /.ʌn'fәukәst/ |  | a. 不聚成焦点的 |  | general
uncritically | /ʌnˈkrɪtɪklɪ/ | adv. | 不加批评地, 不加鉴别地 |  | general
headless | /'hedlis/ |  | a. 无头的, 无领导者的, 无知的 |  | general
unceremoniously | /ˌʌnˌserəˈməʊniəsli/ | adv. | 无礼地, 粗鲁地, 唐突地 |  | general
melatonin | /,melә'tәunin/ |  | 褪黑激素；N-乙酰-5-甲氧基色胺 |  | general
lacy | /'leisi/ |  | a. 丝带的, 花边的, 花边状的 |  | general
memorization | /.memә'rizeiʃәn/ | n. | 凭记忆, 暗记 |  | general
potluck | /'pɒtlʌk/ | n. | 家常便饭 |  | general
hideously | /'hɪdɪəslɪ/ | adv. | 可怕地, 非常讨厌地 |  | general
unhurt | /'ʌn'hә:t/ |  | a. 没有受害的, 没有负伤的 |  | general
maliciously |  | adv. | 有敌意地, 恶意地 |  | general
rollback | /'rәulbæk/ | n. | 回降, 卷回, 推回去；滚返 |  | economy
inconspicuous | /.inkәn'spikjuәs/ |  | a. 不显眼的, 不引人注意的 |  | general
ecologically |  | adv. | 从生态学的观点看 |  | environment
backhoe | /'bækhәj/ | n. | (有伸缩挖掘装置的)锄耕机 |  | culture
scotia | /'skәuʃә/ | n. | 凹形边饰 |  | culture
heartbroken | /'hɑ:tbrәukәn/ |  | a. 心碎的 |  | general
arsenic | /'ɑ:sәnik/ | n. | 砷, 砒霜；砷As |  | general
majorca | /mә'dʒɔ:kә, -'jɔ:-/ | n. | 马略卡岛（位于西班牙东部） |  | general
illiteracy | /i'litәrәsi/ | n. | 文盲, 无知 |  | general
marvelously | /'mɑ:vləslɪ/ | adv. | 令人惊讶地, 不可思议地, 妙极地 |  | general
rightfully |  | adv. | 正当地；正直地 |  | general
candour | /'kændә/ | n. | 坦率, 正直, 公正, 爽直, 白色, 光明 |  | general
statin | /'stætɪn/ | n. | 斯达汀（药物名）；抑制素 |  | health
uncut | /'ʌn'kʌt/ |  | a. 未割的, 未修剪的, 未切的, 边未切 |  | general
subcontinent | /sʌb'kɒntinәnt/ | n. | 次大陆 |  | culture
pathetically | /pә'θetikli/ | adv. | 悲哀地, 哀伤地, 感伤地 |  | general
painlessly |  | adv. | 无痛苦地, 不费力地 |  | general
ludicrously | /'lu:dɪkrəslɪ/ | adv. | 滑稽地, 荒唐地 |  | general
jokingly | /'dʒәukiŋli/ | adv. | 开玩笑地, 打趣地 |  | general
bivariate | /bai'væriit/ |  | 二元变量 |  | general
impressionistic | /im.preʃә'nistik/ |  | a. 印象主义的, 印象派的, 仅凭印象的 |  | general
infielder | /'infi:ldә/ | n. | (棒球)内野手 |  | general
cookware | /'kjkweә(r)/ | n. | <美>烹饪用具,炊具 |  | general
blustery | /'blʌstәri/ |  | a. (天气)恶劣的, 狂风暴雨的, 风大的 |  | general
aimless | /'eimlis/ |  | a. 无目的的, 没有目标的 |  | work
checkerboard | /'tʃekәbɔ:d/ | n. | 棋盘, 方格图案；vt. 在...上面纵横交错地排列/分布 |  | general
untested | /ʌn'testid/ |  | a. 未经试验的, 未经考验的 |  | general
unrecognized | /.ʌn'rekәgnaizd/ |  | a. 未被认出的, 未被认定的, 未被承认的 |  | general
unlit | /'ʌn'lit/ |  | a. 未点燃的, 无灯光的 |  | general
hourglass | /'auәglæs/ | n. | 时漏, 砂漏, 水漏；n. 沙漏标 |  | general
underprivileged | /'ʌndә'privilidʒd/ |  | a. 贫困的, 下层社会的, 被剥夺了正当权；被剥夺基本社会权利的, 穷的 |  | society
cochlear | /'kɒkliә/ |  | a. 耳蜗的；耳蜗的 |  | general
butternut | /'bʌtәnʌt/ | n. | 灰胡桃；灰胡桃(Juglans cenerea) |  | general
seaboard | /'si:bɒ:d/ | n. | 海岸, 沿海地带；a. 海边的 |  | general
outrageously | /aʊt'reɪdʒəslɪ/ | adv. | 凶残地；肆无忌惮地 |  | general
lateness | /'leitnis/ | n. | 迟, 晚 |  | general
ironical | /ai'rɒnikl/ |  | a. 讽刺的, 用反语的 |  | general
firepower | /'faiәpauә/ | n. | 火力 |  | general
errant | /'erәnt/ |  | a. 周游的, 离开正道的, 不定的 |  | education
persimmon | /pә'simәn/ | n. | 柿子(树)；柿 |  | general
eponymous | /i'pɒnimәs/ |  | a. 齐名的 |  | general
calmness | /'kɑ:mnis/ | n. | 平静, 镇静, 冷静 |  | general
shapeless | /'ʃeiplis/ |  | a. 无形状的, 不定形的, 破相的, 不象 |  | general
sans | /sә/ |  | 没有, 无 |  | general
mitigation | /.miti'geiʃәn/ | n. | 缓和, 减轻；减, 减轻, 缓和 |  | culture
smorgasbord | /'smɔ:^әsbɔ:d/ | n. | 瑞典式自助餐 |  | culture
chronologically | /ˌkrɒnə'lɒdʒɪklɪ/ | adv. | 按时间的前后顺序排列地 |  | general
holdover | /'hәuldәuvә/ | n. | 延期, 剩余物, 任期届满后仍占据同样地位的；缓缴税款 |  | general
repentance | /ri'pentәns/ | n. | 后悔, 悔改；悔改, 悔悟, 后悔 |  | general
slaw | /slɒ:/ | n. | 酸卷心菜丝 |  | general
backboard | /'bækbɒ:d/ | n. | 后挡板, 背板, 脊骨矫正板, 篮板 |  | general
eschatological | /.eskәtә'lɒdʒikәl/ |  | a. 末世学的, 末世论的 |  | general
feebly | /'fi:bli/ | adv. | 柔弱地, 无力地, 微弱地 |  | general
definable | /di'fainәbl/ |  | a. 可解说的, 可下定义的, 可解释的 |  | general
taillight | /'teillait/ | n. | 尾灯 |  | general
soya | /'sɔiә/ |  | 大豆 |  | general
hemoglobin | /.hi:mәu'glәubin/ | n. | 血色素；血红蛋白 |  | general
eczema | /'eksimә/ | n. | 湿疹；湿疹 |  | culture
mont |  | n. | 蒙特, 蒙脱石 |  | general
telecommuting |  |  | 远程交换, 电信工作方式 |  | economy
punishable | /'pʌniʃәbl/ |  | a. 该罚的, 可罚的；该罚的, 可受惩处的 |  | general
pensionable | /'penʃәnәbl/ |  | a. 有资格领退休金等的, 可领退休金等的；有资格领退休金的, 有资格领抚恤金的 |  | general
hearted | /'hɑ:tid/ |  | a. 有...心(肠)的 |  | culture
xvi |  | num. | 罗马数字 16 |  | technology
tastefully |  | adv. | 高雅地；雅致地 |  | general
atypical | /.ei'tipikl/ |  | a. 非典型的；非典型的, 不标准的 |  | general
wacko | /'wækәj/ |  | a. 古怪的, 发疯的 |  | general
uncluttered | /ˌʌnˈklʌtəd/ |  | a. 整齐的, 整洁的 |  | general
regionally | /'ri:dʒәnәli/ | adv. | 在地区范围内, 地区性地 |  | general
optimistically |  | adv. | 乐观地；乐天地 |  | general
loyally | /'lɒiәli/ | adv. | 忠诚地, 忠义地, 诚实地 |  | general
joyfully |  | adv. | 高兴地, 喜悦地 |  | general
forgetfulness |  |  | 忽视 |  | general
comradeship | /'kɔmreidʃip/ | n. | 同志关系, 友谊, 伙伴情谊 |  | general
uncontroversial |  |  | a. 非争论性的；不会引起争论的 |  | general
unaccountable | /.ʌnә'kauntәbl/ |  | a. 无法解释的, 无责任的；难以申辩的, 不可解释的, 无关系的 |  | general
technologically | /teknә'lɔdʒikәli/ | adv. | 技术上地；科技地 |  | technology
remorseless | /ri'mɒ:slis/ |  | a. 无怜悯之心的, 冷酷的, 不知自责的 |  | general
longish | /'lɒŋiʃ/ |  | a. 稍长的, 略长的 |  | general
licorice | /'likәris/ | n. | 甘草；甘草 |  | general
unkindly | /ʌn'kaindli/ | adv. | 不仁慈地, 不和善地, 不体谅地, 不客气地 |  | general
stabilisation | /ˌsteɪbɪlaɪ'zeɪʃən/ |  | 稳定 |  | general
navigational |  |  | 导航的；船舶的 |  | general
mechanisation | /,mekәnai'zeiʃən; -ni'z-/ |  | 机械化 |  | technology
indigestible | /.indi'dʒestәbl/ |  | a. 不消化的, 难消化的, 难理解的；不消化的 |  | general
lakefront | /'leikfrʌnt/ | n. | 湖边平地, 湖边, 湖畔 |  | general
condescension | /.kɒndi'senʃәn/ | n. | 屈尊, 傲慢态度 |  | general
proportionally | /prə'pɔ:ʃənlɪ/ |  | 按比例地, 相配合地, 适当地 |  | general
leaded | /'ledid/ |  | a. 加铅的 |  | general
immaturity |  | n. | 发育未全, 发育未完全, 不成熟, 未成熟；未成年, 未成熟, 未成熟行为 |  | general
knockoff | /'nɒkɔ:f/ | n. | 名牌仿制品；冒牌服装 |  | general
unlicensed | /.ʌn'laisnst/ |  | a. 没有执照的, 未经当局许可的；未经当局许可的, 无执照的, 无节制的 |  | general
neatness | /'ni:tnis/ | n. | 整洁, 干净 |  | culture
infertility | /.infә'tiliti/ | n. | 不肥沃, 不毛；不育症, 不孕症 |  | general
unbearably | /ʌn'beərəblɪ/ | adv. | 不能忍受地, 无法容忍地；慌 |  | general
valerian | /vә'liәriәn/ | n. | 缬草；缬草属植物 |  | general
thereupon | /,ðeәrә'pɔn/ | adv. | 在其上, 关于那, 因此, 由此, 随即；于是, 因此, 遂即 |  | culture
sizable | /'saizәbl/ |  | a. 相当大的, 大小相当的 |  | general
metastatic |  |  | a. 转移性的, 变态的, 变形的, 由转移；转移的, 迁徒的 |  | general
unauthorized | /.ʌn'ɒ:θәraizd/ |  | a. 未经许可的；无权的, 未经授权的, 未经许可的 |  | general
skeptically | /'skeptɪkəlɪ/ | adv. | 怀疑地 |  | general
laterally |  | adv. | 旁边地 |  | general
humankind | /'hju:mәnkaind/ | n. | 人类 |  | culture
adoptive | /ә'dɒptiv/ |  | a. 有收养关系的, 采用的；收养的, 采用的 |  | general
untainted | /'ʌn'teintid/ |  | a. 没有污点的, 清白无瑕的 |  | general
unrewarding | /ˌʌnrɪˈwɔ:dɪŋ/ |  | a. 无报酬的, 不值得做的 |  | general
smallness | /'smɒ:lnis/ | n. | 小, 贫乏, 小气 |  | general
nigh | /nai/ |  | a. 在附近的；adv. 在附近地 |  | general
euphemistically | /ˌju:fə'mɪstɪklɪ/ | adv. | 委婉的 |  | general
confusingly |  | adv. | confuse的变形 |  | general
candidly | /'kændidli/ | adv. | 率直地, 坦白地 |  | general
brutish | /'bru:tiʃ/ |  | a. 畜生般的, 愚钝的, 粗野的, 残忍的 |  | general
rhetorically | /rɪ'tɒrɪklɪ/ | adv. | 在修辞学上, 讲究修辞地 |  | general
overland | /'әuvәlænd/ |  | a. 经由陆路的, 经过陆地的；adv. 经由陆路地 |  | general
kindergartner |  | n. | 幼儿园教师, 幼儿园里的小孩 |  | education
striper | /'straipә/ |  | (戴有臂章的)现役军人或海军军官 |  | general
disconcertingly | /,diskən'sə:tiŋli/ | adv. | 使人窘迫地；令人仓皇失措地 |  | general
backfield | /'bækfiːld/ | n. | 后卫；守卫区 |  | general
wherewithal | /'hwєәwiðɒ:l/ | n. | 必要的资金；必要的方法, 必要物 |  | economy
uneasiness | /.ʌn'i:zinis/ | n. | 不舒适, 不安, 局促 |  | general
vestibular | /ves'ti:bjulә/ |  | a. 门厅的, 前庭的；前庭的 |  | general
biweekly | /bai'wi:kli/ | n. | 双周刊；a. 两周一次的, 每周二次的 |  | general
lanky | /'læŋki/ |  | a. 瘦长的 |  | general
irreplaceable | /.iri'pleisәbl/ |  | a. 不能调换的, 不能代替的；不能恢复原状的, 不能替代的, 无法弥补的 |  | general
applesauce | /.æpl'sɒ:s/ | n. | 苹果沙司, 胡说 |  | general
deathly | /'deθli/ |  | a. 死一般的；adv. 像死一样地 |  | general
cloudless | /'klaudlis/ |  | a. 晴朗的, 无云的 |  | general
analytically |  |  | 分析上 |  | general
toothless | /'tu:θlis/ |  | a. 无齿的；无牙的 |  | general
tactically | /'tæktɪklɪ/ | adv. | 在战术上 |  | general
sheepish | /'ʃi:piʃ/ |  | a. 懦弱的, 羞怯的 |  | general
slingshot | /'sliŋʃɒt/ | n. | 弹弓 |  | general
mocha | /'mәukә/ | n. | 穆哈上等咖啡；a. 用咖啡调味的 |  | general
luckless | /'lʌklis/ |  | a. 不幸的, 坏运气的 |  | general
incongruously | /ɪn'kɒŋɡrʊəslɪ/ | adv. | 不调和地 |  | general
feathery | /'feðәri/ |  | a. 生有羽毛的, 柔软如羽毛的 |  | general
disdainful | /dis'deinful/ |  | a. 轻蔑的, 倨傲的 |  | general
confrontational | /ˌkɒnfrʌnˈteɪʃnl/ |  | a. 挑衅的；对抗的 |  | general
nanometer | /'neinә,mi:tә/ |  | 纳米, 毫微米；(nm,旧用mμ)纳米 |  | general
fibrous | /'faibrәs/ |  | a. 纤维的, 纤维性的；纤维性 |  | general
extremism | /ik'stri:mizm/ | n. | 极端倾向, 极端论, 过激主义 |  | society
wholeness | /'hәulnis/ | n. | 全体, 一切, 完全 |  | health
hombre | /'ɔmbә/ | n. | 男人；家伙 |  | general
logistical | /lə'dʒɪstɪkl/ |  | a. 逻辑的；后勤方面的 |  | general
laryngeal | /lә'rindʒiәl/ |  | a. 喉头的, 喉头治疗用的；n. 喉部, 喉音 |  | health
hemp | /hemp/ | n. | 大麻烟卷, 大麻, 麻类植物；大麻 |  | general
barroom | /'bɑ:ru:m/ | n. | 酒吧间 |  | general
broccoli | /'brɒkәli/ | n. | 花椰菜 |  | general
herein | /.hiәr'in/ | adv. | 在此处, 如此 |  | general
fizz | /fiz/ | v. | 嘶嘶响, 显示兴奋；n. 嘶嘶声, 兴奋, 活力 |  | general
angst | /æŋst/ | n. | 焦虑, 疑惧；恐怖 |  | general
pubic | /'pju:bik/ |  | a. 阴部的, 耻骨的；耻骨的 |  | general
preventable | /pri'ventәb(ә)l/ |  | a. 可防止的, 可阻止的, 可预防的 |  | general
scoreless | /'skɒ:lis/ |  | a. 没得分的 |  | general
darby | /'dɑ:bi/ | n. | 钞票, 手铐 |  | general
argyle | /ɑ:'^ail,'ɑ:-/ | n. | (织品中的)多色菱形花纹, 多色菱形图案的袜；a. (织品中)有多色菱形图案的 |  | culture
edema | /i(:)'di:mә/ | n. | 水肿, 浮肿；水肿 |  | general
triumphal | /trai'ʌmfәl/ |  | a. 胜利的, 凯旋的 |  | general
participatory | /pɑ:'tisipeitәri/ |  | a. 吸引参与的, 供人分享的 |  | culture
unreported | /,ʌnri'pɔ:tid/ |  | 未告发的, 未揭发的, 未引起的 |  | general
valueless | /'væljulis/ |  | a. 无价值的, 不值钱的；无价值的 |  | general
unwavering | /.ʌn'weivәriŋ/ |  | a. 不动摇的, 坚定的 |  | general
quintessential | /.kwinti'senʃәl/ |  | a. 精萃的, 精髓的, 典范的 |  | general
concisely | /kən'saɪslɪ/ | adv. | 简明地 |  | general
yesteryear | /'jestәjiә(r)/ | n. | 去年, 不久以前；adv. 过去不久的岁月 |  | general
unreliability |  | n. | 不可靠, 不可信赖；不安全 |  | general
dishonor | /dis'ɒnә/ | n. | 不名誉；vt. 玷辱, 使蒙羞 |  | general
umpteen | /.ʌmp'ti:n/ |  | a. 无数的 |  | general
subservience | /sәb's\\\\:viәns/ | n. | 辅助性, 从属性, 有帮助, 有用, 奉承 |  | general
remorselessly | /rɪ'mɔ:sləslɪ/ | adv. | 冷酷地, 无悔意地 |  | general
nightmarish | /'nait,meәriʃ/ |  | a. 梦魇似的, 可怕的, 经常使人恐惧的 |  | general
lugubrious | /lu:'gju:briәs/ |  | a. 忧郁的, 悲惨的, 悲哀的 |  | general
jittery | /'dʒitәri/ |  | a. 极度紧张不安的 |  | general
flexibly | /'fleksәbli/ | adv. | 易曲地, 柔软地 |  | general
definitively | /dɪ'fɪnətɪvlɪ/ | adv. | 决定性地, 最后地 |  | general
controversially | /,kɔntrə'və:ʃəli/ | adv. | 颇有争议地；引起争议地 |  | general
unprofessional | /'ʌnprә'feʃәnl/ |  | a. 违反行业习惯的, 违反行业道德的, 不 |  | work
unheeded | /.ʌn'hi:did/ |  | a. 未被注意的, 被忽视的 |  | general
summertime | /'sʌmәtaim/ | n. | 全盛时期, 夏季 |  | general
nudity | /'nju:diti/ | n. | 裸露, 裸露物, 裸体像 |  | general
nauseous | /'nɒ:ʃiәs/ |  | a. 令人作呕的, 厌恶的；恶心的, 致恶心的 |  | general
mortally | /'mɔ:t(ә)li/ | adv. | 致命地, (非正式)极, 非常 |  | general
inordinately |  | adv. | 紊乱地, 不规则地, 无限制地, 过分地 |  | general
improbably | /im'prɒbәbli/ | adv. | 未必会地, 不象真实地 |  | general
honourably | /'ɒnərəblɪ/ | adv. | 可尊敬地, 光荣地, 体面地 |  | general
disingenuous | /.disin'dʒenjuәs/ |  | a. 不老实的, 不诚实的, 狡猾的 |  | general
devilish | /'devliʃ/ |  | a. 魔鬼似的, 该咒骂的, 可恶的, 邪恶；adv. (非正式)非常, 过分地, 极 |  | general
boggy | /'bɒgi/ |  | a. 似沼泽的 |  | general
administratively |  | adv. | 管理地；行政地 |  | work
xiii |  | num. | 罗马数字 13 |  | technology
undated | /.ʌn'deitid/ |  | a. 未标日期的 |  | general
smugly |  | adv. | 沾沾自喜地；自鸣得意地 |  | general
numbness | /'nʌmnis/ | n. | 麻木, 麻痹；麻木 |  | health
pepperoni | /ˌpepəˈrəʊni/ | n. | 意大利辣香肠 |  | general
gutsy | /'^ʌtsi/ |  | a. 有勇气的, 有力量的 |  | general
criminally |  |  | 刑法上, 犯罪上 |  | society
bloodstained | /'blʌdsteind/ |  | a. 血污的, 犯杀人罪的；犯杀人罪的, 血腥的, 有血痕的 |  | general
obstinately | /'ɒbstɪnətlɪ/ | adv. | 顽固地, 固执地 |  | general
nothingness | /'nʌθiŋnis/ | n. | 无, 微不足道, 无价值, 不存在, 虚无 |  | general
linguistically | /liŋ'gwistikəli/ | adv. | 语言学方面 |  | culture
faraway | /'fɑ:rәwei/ |  | a. 遥远的, 恍惚的, 出神的 |  | health
disrepair | /.disri'pєә/ | n. | 失修, 破损；失修 |  | general
contentedly |  | adv. | 满足地；安心地 |  | general
academia | /.ækә'di:miә/ | n. | 学术界, 学术生涯 |  | education
identically |  | adv. | 同一, 同样；永恒地 |  | general
beastly | /'bi:stli/ |  | a. 野兽的, 残忍的, 令人厌憎的 |  | general
teak | /ti:k/ | n. | 柚木；柚木 |  | general
opportunistic | /.ɒpәtju:'nistik/ |  | a. 机会主义的, 投机取巧的 |  | culture
inadvertent | /.inәd'vә:tәnt/ |  | a. 漫不经心的, 非故意的 |  | general
saffron | /'sæfrәn/ | n. | 藏红花, 藏红花柱头, 藏红花色；a. 藏红花色的 |  | general
numeracy | /'njumәrәsi/ | n. | 识数,计算能力 |  | general
hellish | /'heliʃ/ |  | a. 地狱的, 凶恶的, 令人毛骨悚然的 |  | general
grist | /grist/ | n. | 谷物, 面粉, 碎麦芽, 大量 |  | general
opportunism | /.ɒpә'tju:nizm/ | n. | 机会主义 |  | general
sleepover | /ˈsli:pəʊvə(r)/ | n. | 就是孩子到别的小朋友家过夜。 |  | culture
sur | /s\\\\:(r)/ |  | 根据 |  | general
equatorial | /.ekwә'tɒ:riәl/ |  | a. 近赤道的, 赤道的；中纬线的 |  | culture
suffocation | /.sʌfә'keiʃәn/ | n. | 窒息；窒息 |  | general
punctuality | /.pʌŋktʃu'æliti/ | n. | 严守时间, 正确 |  | general
marconi | /mɑ:'kәuni/ | n. | 马可尼式无线电报；vi. 打无线电报 |  | technology
ibuprofen | /,aibjj'prәjfin/ |  | 布洛芬；异丁苯丙酸 |  | economy
doctrinal | /'dɒktrinәl/ |  | a. 教义的, 教诲的, 学说的 |  | general
topmost | /'tɒpmәust/ |  | a. 最高的, 顶端的 |  | general
anise | /'ænis/ | n. | 茴芹；茴香 |  | general
puritanical | /,pjuәri'tænikәl/ |  | a. 清教徒的, 清教主义的, 宗教上极端拘 |  | culture
productively |  | adv. | 有结果地；有成果地 |  | general
poignantly | /'pɔignəntli/ | adv. | 深刻地；辛辣地 |  | general
irretrievably | /ˌɪrɪ'tri:vəblɪ/ | adv. | 不能挽回地, 不能补救地 |  | general
untrammelled |  |  | a. 不受限制的, 自由自在的, 不受妨碍的 |  | general
memorably | /'memәrәbli/ | adv. | 留在记忆中地, 显著地, 明确地 |  | general
healthily | /'helθili/ | adv. | 健康地 |  | health
dullness | /'dʌlnis/ |  | 迟钝, 浊音 |  | general
agreeably | /ә'griәbli/ | adv. | 令人愉快地 |  | general
lockup | /'lɒkʌp/ | n. | 关门时间, 拘留所 |  | society
unsupervised |  |  | 无监督的 |  | general
treacle | /'tri:kl/ | n. | 糖蜜, 过分甜蜜的声调；糖浆 |  | health
stoutly | /'stautli/ | adv. | 刚强地, 坚决地 |  | general
