# word | phonetic | pos. | meaning | example | topic
histologic |  |  | a. 组织学 |  | work
dishonorable |  |  | a. 不名誉的, 无耻的, 耻辱的, 不光彩 |  | general
rateable | /'reitәbl/ |  | a. 可估价的, 可评论的, 按比例的, ( |  | general
quinoa | /ki'nәuә/ |  | 奎奴亚藜(产于安第斯山脉地区, 印第安人种植 |  | general
redeemable | /ri'di:mәbl/ |  | a. 可赎回的, 可挽救的, 可偿还的；可赎回的, 可换成现款的 |  | general
ragtag | /'rægtæg/ | n. | 群氓, 贱民, 乌合之众 |  | general
searchable |  |  | 可检索的 |  | general
arcadia | /ɑ:'keidiә/ | n. | 世外桃源；阿卡狄亚（古希腊一山区, 人情淳朴, 生活愉 |  | culture
derisive | /di'raisiv/ |  | a. 嘲笑的, 可笑的 |  | general
kafka |  | n. | 卡夫卡（奥地利小说家） |  | general
unicef | /'ju:nisef/ | abbr. | 联合国儿童基金会（等于United Nati |  | education
nero | /'niәrәu/ | n. | 尼禄（古罗马暴君） |  | culture
fructose | /'frʌktәus/ | n. | 果糖；果糖 |  | general
capricorn | /'kæprikɔ:n/ | n. | 摩羯宫；摩羯座（等于Capricornus） |  | general
distributive | /di'stribjutiv/ |  | a. 分发的, 分配的, 分布的；n. 分配词 |  | general
jonah | /'dʒәunә/ | n. | 约拿(<<圣经>>中的先知), <<约拿书> |  | general
erica | /'erikә/ | n. | 欧石南属植物 |  | general
wrongfully | /'rɔŋfjli/ | adv. | 不正当地, 不妥地 |  | general
washable | /'wɔʃәbl/ |  | a. 可洗的, 耐洗的 |  | general
sedation | /si'deiʃәn/ | n. | 镇静；镇静 |  | health
internationalism | /.intә'næʃәnәlizm/ | n. | 国际主义, 国际性；国际主义 |  | general
crosswalk | /'krɒswɒ:k/ | n. | 行人穿越道 |  | general
decaf | /'di:kæf/ | n. | 脱咖啡因咖啡, 无咖啡因咖啡 |  | general
stickiness | /'stikinis/ | n. | 粘性, 胶粘 |  | general
generative | /'dʒenәrәtiv/ |  | a. 生殖的, 生产的, 有生殖力的；生殖的, 发生的 |  | work
tinny | /'tini/ |  | a. 锡的, 含锡的, 像锡的 |  | general
ponderously | /'pɔndərəsli/ | adv. | 笨重地；生硬地 |  | general
airless | /'єәlis/ |  | a. 无空气的, 不通风的；无气, 无气式 |  | general
nurturance | /'nә:tʃәrәns/ | n. | 养育, 养成, 培育 |  | general
unemotional | /'ʌni'mәuʃәnl/ |  | a. 不易动感情的, 缺乏感情的, 冷漠的 |  | general
ladylike | /'leidilaik/ |  | a. 娴淑的, 如淑女的, 高雅的 |  | general
conceited | /kәn'si:tid/ |  | a. 自负的, 逞能的, 狂想的 |  | general
cheerily |  | adv. | 高兴地, 爽快地, 活泼地 |  | general
blinders |  | n. | 马眼罩 |  | general
pileup | /'pailʌp/ | n. | 多车相撞, 堆积；堆起 |  | general
adorable | /ә'dɒ:rәbl/ |  | a. 可崇拜的, 值得敬慕的, 可爱的 |  | general
rubin |  |  | 品红, 复红 |  | general
reassertion | /.ri:ә'sә:ʃәn/ | n. | 再主张 |  | general
perceptibly | /pә'septibli/ | adv. | 可知觉, 看得见, 显然地 |  | general
masochism | /'mæzәkizm/ | n. | 被虐待狂, 受虐狂；受虐狂 |  | general
impulsively |  | adv. | 有推动力地 |  | general
fretful | /'fretful/ |  | a. 烦燥的, 焦噪的, 起波纹的 |  | general
footloose | /'futlu:s/ |  | a. 自由自在的, 能做所要做的, 不受束缚 |  | general
flatness | /'flætnis/ | n. | 平坦, 平滑；平直度 |  | general
heartthrob | /'hɑ:tθrɔb/ | n. | 心脏的跳动, 热情, 柔情, (美)(非正式 |  | general
waterworks | /'wɒtәwә:ks/ | n. | 供水系统, 自来水厂, 喷泉, 眼泪 |  | technology
ecliptic | /i'kliptik/ | n. | 黄道；a. 黄道的, 食的 |  | culture
reducible | /ri'dju:sәbl/ |  | a. 可缩小的, 可降低的；可复位的, 可还原的 |  | general
olden | /әuldn/ |  | a. 古时的, 从前的；vt. 使衰老 |  | general
nonrenewable | /ˌnɒnrɪ'nju:əb/ |  | a. 不可再生的；不可更新的 |  | environment
joinery | /'dʒɔinәri/ | n. | 细木工技术, 细木工活, 细木工行业 |  | technology
whitefish | /'hwaitfiʃ/ | n. | 白鲑, 白鲸 |  | economy
frilled |  |  | a. 有饰边的 |  | general
expeditionary | /.ekspi'diʃәnәri/ |  | a. 远征的, 考察的, 探险的 |  | general
ashen | /'æʃәn/ |  | a. 由灰烬构成的, 灰色的, 苍白的；灰的, 似灰的 |  | health
unsmiling | /ʌn'smailiŋ/ |  | a. 不笑的, 面无笑容的, 严肃的 |  | general
suchlike | /'sʌtʃlaik/ | pron. | 这一类的人；a. 那样的, 类似的, 同样的, 这样的 |  | general
pigmentation | /.pigmәn'teiʃәn/ | n. | 染色, 着色, 色素沉着, 天然颜色；色素沉着, 着色 |  | general
aqueous | /'eikwiәs/ |  | a. 水的, 似水的, 水成的；水的 |  | general
libra | /'laibrә/ | n. | 磅, 天秤座；磅 |  | general
esq |  | abbr. | 环境征候问卷（Environmental S；先生（esquire, 信内尊称） |  | environment
spammer | /'spæmә/ | n. | 垃圾邮件制作者 |  | environment
southbound | /'sajθbajnd/ |  | a. 向南行的, 向南行驶的 |  | general
pragmatically | /præg'mætikəli/ | adv. | 讲究实效地；实用主义地 |  | general
dryly | /'draili/ | adv. | 冷淡地, 枯躁无味地 |  | general
auburn | /'ɒ:bәn/ | n. | 赤褐色；a. 赤褐色的 |  | general
streambed | /'stri:mbed/ | n. | 河床 |  | general
maxillary | /'mæksilәri/ |  | a. 颌的, 上颌骨的；n. 上颌骨 |  | general
sectarianism | /sek'tεәriәnizәm/ | n. | 宗派主义；教派意识 |  | culture
polypropylene | /.pɒli'prәupili:n/ | n. | 聚丙烯；聚丙烯 |  | general
midwifery | /'midwaifәri/ | n. | 助产术, 产科学；助产学, 产科学 |  | general
gim |  | abbr. | Glass Insulation Mater |  | general
gasworks | /'gæswә:ks/ | n. | 煤气厂 |  | work
haiku | /'haiku:/ | n. | haiku (Jap) 俳句 |  | general
despairingly | /dɪ'speərɪŋlɪ/ | adv. | 绝望地, 自暴自弃地 |  | general
whitish | /'hwaitiʃ/ |  | a. 发白的, 带白色的 |  | general
misogyny | /mai'sɒdʒini/ | n. | 厌恶女人；厌女症, 厌恶女人 |  | general
realty | /'ri:lti/ | n. | 不动产, 房地产；不动产, 房地产 |  | general
wonk | /wɔŋk/ |  | 书呆子, 死用功的学生 |  | education
determinate | /di'tә:minit/ |  | a. 确定的, 坚决的, 决定的；决定性的, 限定性的, 有限的 |  | general
hijab | /hɪˈdʒɑ:b/ | n. | 穆斯林妇女戴的面纱或头巾 |  | society
constructional | /kәn'strʌkʃәnl/ |  | a. 建造的, 构造的, 解释的 |  | general
lumberyard | /'lʌmbәjɑ:d/ | n. | 木材堆置场, 木场 |  | work
sectoral | /'sektərə/ |  | a. 扇形的 |  | general
oedema | /i:'di:mә/ | n. | 水肿, 浮肿；水肿 |  | general
diphtheria | /dif'θiәriә/ | n. | 白喉；白喉 |  | general
tiffany | /'tifәni/ | n. | 丝纱罗 |  | culture
surgically |  | adv. | 如外科手术般地 |  | health
headroom | /'hedru:m/ | n. | 净空, 车身内部高度 |  | general
apostolic | /,æpәs'tɔlik/ |  | a. 使徒的 |  | education
rho | /rәu/ | n. | 希腊字母的第17字 |  | general
domingo | /dәj'mi:ŋ^әj/ | n. | 多明戈（高音演唱家） |  | general
illegitimacy | /.ili'dʒitimәsi/ | n. | 不法, 私生, 不规则性, 不合逻辑；私生, 违法 |  | society
cadmium | /'kædmiәm/ | n. | 镉；镉Cd |  | general
taro | /'tɑ:rәu/ | n. | 芋头；芋根(含淀粉可供食用) |  | health
tabular | /'tæbjulә/ |  | a. 制成表的, 扁平的, 表格式的, 平坦；板状的 |  | general
rotational | /rәu'teiʃәnәl/ |  | a. 转动的, 轮流的 |  | general
classicism | /'klæsisizm/ | n. | 古典主义, 古典风格, 古典崇拜, 古典知识 |  | culture
nearsighted | /niә'saitid/ |  | a. 近视的, 浅见的；近视的 |  | general
experiential | /ik.spiәri'enʃәl/ |  | a. 经验的, 根据经验的, 经验上的 |  | general
depopulation |  |  | 人口下降 |  | society
negligently | /'neglidʒəntli/ | adv. | 疏忽地；粗心大意地 |  | general
exercisable | /'eksәsaizәbl/ |  | a. 可实行的, 可运用的, 可操作的 |  | general
attitudinal | /,æti'tju:dinәl/ |  | a. 态度的, 根据(或表示)个人态度的 |  | general
tetanus | /'tetәnәs/ | n. | 破伤风；破伤风 |  | general
rosewood | /'rәuzwud/ | n. | 红木 |  | technology
pavlov | /'pɑ:vlɔf/ | n. | 巴甫洛夫（苏联生理学家和实验心理学家, 全名 |  | health
birdlike | /'bɜ:dlaɪk/ |  | 似鸟的, 敏捷轻快的 |  | general
differentially | /,difə'renʃəli/ | adv. | 区别地 |  | general
gnarly | /'nɑ:li/ |  | a. 多瘤的, 粗糙的 |  | general
wretchedly | /'retʃɪdlɪ/ | adv. | 可怜地, 鄙劣地, 差劲地 |  | general
sunup | /'sʌnʌp/ | n. | 日出 |  | general
faithless | /'feiθlis/ |  | a. 无信的, 不忠实的 |  | general
drunkenly |  | adv. | 酒醉地, 常喝醉地 |  | general
tad | /tæd/ | n. | (美)(非正式)男孩, 小孩子, 少量 |  | general
ocher | /'әjkә(r)/ | n. | 黄土, 赭土 |  | culture
dreamily | /'dri:mili/ | adv. | 爱梦想地, 梦似地, 朦胧地 |  | general
humvee | /'hʌmvi:/ | n. | 悍马（一种军用吉普车） |  | general
audibly | /'ɒ:dәbli/ | adv. | 可听见地 |  | general
docent | /'dәusәnt/ | n. | 讲师, 讲解员 |  | education
guiltily | /'^iltili/ | adv. | 罪地, 有罪地 |  | general
divisible | /di'vizәbl/ |  | a. 可分的, 可分割的, 除得尽的；可分的, 可分割的 |  | general
demurely | /dɪ'mjʊrli/ | adv. | 装成端庄地, 认真地 |  | general
conversationally | /ˌkɒnvə'seɪʃənlɪ/ | adv. | 会话地 |  | general
untitled | /.ʌn'taitld/ |  | a. 无称号的, 无标题的, 无合法权利的 |  | society
tartly | /'tɑ:tli/ | adv. | 辛辣地, 刻薄地 |  | culture
italia | /i'tɑ:ljɑ:/ | n. | 意大利 |  | general
ceramist | /'serәmist/ | n. | 陶瓷技师, 陶瓷制造者 |  | general
emeritus | /i'meritәs/ |  | a. 名誉退休的, 退休后保留头衔的 |  | general
chrysalis | /'krisәlis/ | n. | 蛹, 茧, 形成阶段；蛾蛹, 蛹 |  | general
kinesiology | /ki.ni:si'ɒlәdʒi/ | n. | 运动机能学；运动学 |  | general
masa | /'mɑ:sә/ | n. | 湿润粉糊 |  | culture
suet | /'su:it/ | n. | 牛脂, 羊脂, 板油；兽脂, 牛羊脂 |  | general
staphylococcus | /.stæfilәu'kɒkәs/ | n. | 葡萄球菌；葡萄球菌属 |  | general
narcissistic | /,nɑ:si'sistik/ |  | a. 自我陶醉的, 自恋的；自爱欲的 |  | general
idolatry | /ai'dɒlәtri/ | n. | 偶像崇拜, 邪神崇拜, 盲目崇拜 |  | culture
genealogical | /.dʒi:niә'lɒdʒikl/ |  | a. 宗谱的, 家系的, 系谱的 |  | general
diagnostics | /,daiә^'nɔstiks/ | n. | 诊断学, 症候, 症状；诊断学 |  | health
complacently | /kəm'pleɪsntlɪ/ | adv. | 满足地, 自满地；扬扬 |  | general
woodcock | /'wudkɒk/ | n. | 丘鹬 |  | general
elijah | /i'laidʒә/ | n. | 以利亚（希伯来先知） |  | general
rotisserie | /rәu'tisәri:/ | n. | 烤肉店, 烤肉铺, 轮转烤肉器 |  | general
swordfish | /'sɒ:dfiʃ/ | n. | 箭鱼 |  | general
nonjudgmental | /nɒndʒʌdʒ'mentl/ |  | a. 不按个人道德标准进行评定的, 不偏不倚 |  | general
integrative | /'intigreitiv/ |  | a. 综合的, 一体化的 |  | general
roadless | /'rәjdlis/ |  | a. 无路的 |  | general
gabled | /'geibld/ |  | a. 有山形墙的, 人字板制作的 |  | general
shimmery | /'ʃimәri/ |  | a. 微微发亮的 |  | general
palermo | /pә'lә:mәu/ | n. | 巴勒莫（西西里首府） |  | general
dior |  | n. | 迪奥（法国奢侈品牌） |  | general
yon | /jɔn/ |  | a. 那边的, 远处的；adv. 在那边, 在远处 |  | general
sarcophagus | /sɑ:'kɒfәgәs/ | n. | 石棺 |  | general
biomedical | /,baiәu'medikәl/ |  | a. 生物医学 |  | general
poe | /'pәji/ | abbr. | 载货港（port of embarkatio；进口港（port of entry） |  | general
nashville | /'næʃvil/ | n. | 那什维尔（美国田纳西州首府） |  | culture
linseed | /'linsi:d/ | n. | 亚麻籽；亚麻子 |  | general
vellum | /'velәm/ | n. | 上等皮纸, 皮纸文书, 牛皮纸；a. 牛皮纸的 |  | general
monogamous | /mɒ'nɒgәmәs/ |  | a. 一夫一妻制的 |  | general
fennel | /'fenәl/ | n. | 茴香；茴香 |  | general
unfavorably | /ʌn'feɪvərəblɪ/ | adv. | 不利地；不适宜地 |  | general
therefrom | /.ðєә'frɒm/ | adv. | 从那里, 从此 |  | general
denominational | /dinɔmi'neiʃәn(ә)l/ |  | a. 宗派的, 教派的 |  | culture
asexual | /ei'sekjuәl/ |  | a. 无性的, 无性生殖的；无性的 |  | general
funerary | /'fju:nәrәri/ |  | a. 葬礼的, 埋葬的 |  | general
manganese | /'mæŋ^әni:z/ | n. | 锰；锰 |  | general
maleness | /meɪlnəs/ |  | 男性, 雄性 |  | general
appendicitis | /ә.pendi'saitis/ | n. | 阑尾炎；阑尾炎 |  | general
bottomland | /'bɔtәmlænd/ | n. | 洼地 |  | general
modeler | /'mɑdlɚ/ |  | 模型作者, 造型者, 模型工 |  | general
acropolis | /ә'krɒpәlis/ | n. | 古希腊的卫城 |  | general
bennet | /'benit/ | n. | 水杨梅, 花梗 |  | general
nippon | /ni'pɔn, 'nip-/ | n. | 日本（等于Japan） |  | technology
frith | /friθ/ | n. | (狭窄的)海湾, 河口 |  | environment
pacifism | /'pæsifizm/ | n. | 和平主义, 反战论, 不抵抗主义；和平主义, 非战主义, 不抵抗主义者 |  | general
commercialisation | /kəˌmɜ:ʃəlaɪ'zeɪʃən/ | n. | 商业化 |  | economy
pocketknife | /'pɒkitnaif/ | n. | 随身小折刀 |  | general
homesickness |  | n. | 乡愁 |  | general
peabody | /'pi:bɔdi/ | n. | 白喉带鹀；皮博迪（美国马萨诸塞州一城市名） |  | society
wordless | /'wә:dlis/ |  | a. 沉默的, 无言的 |  | general
ninja | /'nindʒә/ | n. | （受过偷窃技术专门训练被雇作间谍或刺客的）日 |  | technology
convulsive | /kәn'vʌlsiv/ |  | a. 摇撼的, 抽搐的, 骚动的；惊厥的 |  | general
vegetative | /'vedʒitәtiv/ |  | a. 植物的, 蔬菜的, 生长的, 无性繁殖；植物性的 |  | general
ringside |  |  | a. 紧靠比赛场的；n. 比赛场的外围, 比赛场的前缘 |  | general
resignedly | /ri'zaindli/ | adv. | 听从地, 服从地 |  | general
talus | /'teilәs/ | n. | 距骨, 踝, 斜面；距骨 |  | general
fatherly | /'fɑ:ðәli/ |  | a. 父亲的, 如父亲的, 慈爱的 |  | general
brushy | /'brʌʃi/ |  | a. 如毛刷的, 毛茸茸的, 矮林多的 |  | general
esplanade | /.esplә'neid/ | n. | 平坦空地, 广场 |  | general
bloodshot | /'blʌdʃɒt/ |  | a. 充血的 |  | general
typhoid | /'taifɔid/ |  | a. 伤寒的；n. 伤寒 |  | general
quizzically | /'kwɪzɪklɪ/ | adv. | 疑问地, 戏弄地 |  | general
pathologic | /,pæθә'lɔdʒik/ |  | a. 病理学的, 由疾病引起的, (非正式)；病理的 |  | health
proprietorial | /-'tɔ:riәl/ |  | a. 所有的, 所有权的 |  | general
patriarchy | /'peitriɑ:ki/ | n. | 家长统治, 父权制, 男性政体；家长制, 父权制, 父系社会 |  | society
nimbus | /'nimbәs/ | n. | 幻云, 雨云, 光轮 |  | general
luxuriously |  | adv. | 豪华地；奢侈地 |  | general
unthinkingly | /ʌn'θiŋkiŋli/ | adv. | 不假思索地；轻率地 |  | general
lumpectomy | /ˌlʌmˈpektəmi/ | n. | 乳房肿瘤切除术 |  | general
uneconomical | /'ʌn,i:kә'nɔmikәl/ |  | a. 不经济的, 浪费的 |  | environment
randomness |  |  | 随机性 |  | general
promissory | /'prɒmisәri/ |  | a. 约定的, 约好的, 约定支付的；约定支付的 |  | general
paganism | /'peigәnizm/ | n. | 异教徒, 异教信仰, 偶像崇拜 |  | culture
logarithmic | /.lɒ:gә'riðmik/ |  | a. 对数的；对数 |  | general
imperiously |  | adv. | 专制地；妄自尊大地 |  | general
kitchener | /'kitʃinә/ | n. | 厨师 |  | general
macadamia | /,mækә'deimiә/ | n. | 〈植〉澳大利亚坚果 |  | general
septum | /'septәm/ | n. | 隔膜；隔膜 |  | culture
fraudulently | /'frɔ:djələntlɪ/ | adv. | 欺骗地 |  | general
yeshiva | /jә'ʃi:vә/ | n. | 犹太高等学校,犹太初等(或中学)学校 |  | education
bookie | /'buki/ | n. | 登记赌注者 |  | general
anon | /ә'nɒn/ | adv. | 不久以后, 立刻, 以后 |  | general
benthic | /'benθik/ |  | 海底的, 海底生物的 |  | general
precancerous | /pri:'kænsәrәs/ |  | a. 癌症前期的 |  | general
carpal | /'kɑ:pәl/ |  | a. 腕的；n. 腕骨 |  | general
homebuilder | /'həʊm,bɪldə/ | n. | 住宅设计家；住宅建筑公司 |  | economy
penmanship | /'penmәnʃip/ | n. | 书法, 笔法, 笔迹, 文体 |  | general
puritanism | /'pjuәritәnizm/ | n. | 清教, 清教主义 |  | culture
collards | /'kɒlɑːd/ | n. | 羽衣甘蓝 |  | general
councilor | /'kaunsilә/ | n. | 地方议会成员, 议会委员, 顾问, 评议员 |  | general
clydesdale | /'klaidzdeil/ | n. | 强健的挽马；a. 强健的挽马的 |  | general
yonder | /'jɒndә/ |  | a. 那边的；adv. 在那边 |  | general
nitric | /'naitrik/ |  | a. 氮的, 含氮的, 硝石的 |  | general
naturalism | /'nætʃәrәlizm/ | n. | 自然主义, 本能行动 |  | environment
soreness | /'sɒ:nis/ | n. | 痛苦, 悲伤, 愤慨 |  | health
doric | /'dɔrik/ |  | a. 乡土音重的；多利斯型的 |  | culture
gametophyte | /gә'mi:tәfait/ | n. | 配子体；配子体 |  | general
amortization | /ә,mɔ:ti'zeiʃәn/ |  | 分期付款；缓冲作用 |  | economy
stabilization | /.steibilai'zeiʃәn/ | n. | 安定, 稳定, 平抑, 安定化, 稳定化；稳定, 安定 |  | general
rearmament | /.ri:'ɑ:mәmәnt/ | n. | 重整军备, 改良装备 |  | general
teachable | /'ti:tʃәbl/ |  | a. 可教的, 听教训的 |  | general
immunological |  |  | a. 免疫学的 |  | health
germination | /.dʒә:mi'neiʃәn/ | n. | 发芽, 萌芽, 发育；出芽, 生芽, 发芽 |  | general
dinette | /dai'net/ | n. | 小吃饭间 |  | general
roebuck | /'rәubʌk/ | n. | 雄狍 |  | general
wantage | /'wɔntidʒ/ | n. | 缺少, 缺少量 |  | general
ladybug | /'leidibʌg/ | n. | 瓢虫 |  | general
televangelist | /ˌtelɪˈvændʒəlɪst/ | n. | 电视传道者 |  | general
faraday | /'færәdi/ | n. | 法拉第 |  | general
verisimilitude | /.verisi'militju:d/ | n. | 好像真实, 似真, 逼真；貌似真实, 逼真, 貌似真实的事物 |  | general
hydrochloric | /.haidrәu'klɔrik/ |  | a. 氯化氢的, 盐酸的 |  | general
hertz | /'hә:ts/ | n. | 赫, 赫兹；赫兹 |  | culture
beautification | /.bju:tifi'keiʃәn/ | n. | 美化 |  | general
missy | /'misi/ | n. | 少女, 姑娘, 小姐 |  | general
lobsterman | /'lɔbstәmәn/ | n. | 捕龙虾的渔夫 |  | work
nightlife |  | n. | 夜生活 |  | general
unswerving | /.ʌn'swә:viŋ/ |  | a. 不歪的, 不走歪的, 不编离的, 始终 |  | general
henceforward | /hents'fɔ:wәd/ | adv. | 从今以后, 今后 |  | general
sleepily | /'sli:pili/ | adv. | 想睡地, 困倦地 |  | general
humorously |  | adv. | 滑稽地；幽默地 |  | general
sedately | /sɪ'deɪtlɪ/ | adv. | 镇静地, 安详地 |  | general
engagingly | /ɪn'ɡeɪdʒɪŋlɪ/ | adv. | 有吸引力地；动人地, 吸引人地 |  | general
disapprovingly | /.disә'pru:viŋli/ | adv. | 不以为然地, 不赞成地, 非难地 |  | general
whist | /hwist/ |  | interj. 嘘, 肃静；a. 无声的, 安静的 |  | culture
clothespin | /'klәjðzpin/ | n. | 晒衣绳上夹衣服之夹子 |  | general
timidly | /'tɪmɪdlɪ/ | adv. | 胆小地, 羞怯地 |  | general
bleary | /'bliәri/ |  | a. 眼睛模糊的, 朦胧的 |  | general
antithetical | /.ænti'θetik.-kәl/ |  | a. 对立的, 正相反的 |  | general
peyote | /pei'әjti/ |  | 拍约他, 仙人球膏(制自墨西哥仙人球的麻醉剂 |  | general
tilbury | /'tilbәri/ | n. | 轻便双轮马车 |  | general
republicanism | /ri'pʌblikәnizm/ | n. | 共和主义 |  | society
morphologically |  | adv. | 形态, 形态学, 词法 |  | general
shakeout | /'ʃeik,aut/ | n. | 轻度经济衰退,股票市场震动 |  | economy
impersonality | /im.pә:sә'næliti/ | n. | 非人格性, 客观；与个人无关, 客观, 无人格 |  | general
hippie | /'hipi:/ | n. | 嬉皮士 |  | culture
acidly | /'æsidli/ | adv. | 尖刻地, 敏锐地 |  | culture
whiny | /'waini, 'hwaini/ |  | a. 好发牢骚的, 嘀咕不停的,烦躁的 |  | general
teary | /'tiәri/ |  | a. 哭泣的 |  | general
homebound | /'hәjmbajnd/ |  | a. 回家(乡)的, 回本国的 |  | health
bleakly |  | adv. | 风吹雨打地；荒凉地 |  | general
endometrial |  |  | 子宫内膜的 |  | general
adventuresome | /әd'ventʃәsәm/ |  | a. 冒险性的 |  | general
preferentially | /,prefə'renʃəli/ |  | 优先地 |  | general
northbound | /'nɒ:θbaund/ |  | a. 北行的 |  | general
nearside | /'niәsaid/ | n. | 近的一边, 左边；a. 左侧的 |  | general
causally |  | adv. | 有原因地 |  | general
forthrightly | /'fɔ:θraitli/ | adv. | 直率地；言行坦诚地 |  | general
dispositional |  |  | 意向的 |  | general
archeology | /ɑ:ki'ɔlәdʒi/ | n. | 考古学 |  | culture
knightly | /'naitli/ |  | a. 骑士的, 勇敢的, 侠义的 |  | general
immunology | /.imju'nɒlәdʒi/ | n. | 免疫学；免疫学 |  | health
greaseproof | /'gri:spru:f/ |  | a. 不透油的, 耐脂的 |  | general
democratisation |  |  | 民主化 |  | general
showstopper | /'ʃәu.stɒpә/ | n. | 被热烈掌声打断的表演 |  | general
atrial |  |  | a. 门廊, 心房；房的, 前房的 |  | culture
repayable | /ri'peiәbl/ |  | a. 可偿还的, 该付还的, 可报恩的, 应 |  | general
osteoporosis | /.ɒstiәupә'rәusis/ | n. | 骨质疏松症；骨质疏松 |  | general
impassively |  | adv. | 缺乏热情, 无表情, 冷漠, 冷淡, 无感觉 |  | general
evidential | /.evi'denʃәl/ |  | a. 证据的, 可作证据的, 提供证据的 |  | general
disengagement | /.disin'geidʒmәnt/ | n. | 分开, 空闲, 解脱；解脱(分娩) |  | general
authorial | /ɒ:'θɒ:riәl/ |  | a. 著作者的 |  | general
intranet | /'intrәnet/ | n. | 内联网；企业内部网 |  | technology
derisively | /dɪ'raɪsɪvlɪ/ | adv. | 嘲笑地, 嘲弄地 |  | general
qua | /kwei/ | prep. | 作为 |  | general
linearly | /'liniәli/ | adv. | 线, 长条形, 线状, 线性, 直线, 长度 |  | general
speakerphone | /'spi:kәfәun/ | n. | 扬声电话 |  | culture
hydroelectric | /.haidrәui'lektrik/ |  | a. 水力电气的；水电的, 水电治疗的 |  | health
contractually |  | adv. | 合约地；合同性地 |  | general
bacteriological | /bæk,tiәriә'lɔdʒikәl/ |  | a. 细菌学的, 细菌学上的；细菌学家, 细菌学者 |  | general
