# word | phonetic | pos. | meaning | example | topic
nemesis | /'nemisis/ | n. | 复仇女神, 给与惩罚的人, 天罚, 报应 |  | general
insolence | /'insәlәns/ | n. | 傲慢, 无耻, 傲慢态度；无礼, 蛮横, 侮辱性言行 |  | general
debonair | /.debә'nєә/ |  | a. 温文有礼的, 高兴的 |  | general
verbatim | /vә:'beitim/ |  | a. 逐字的, 照字面的；adv. 逐字地 |  | general
extrinsic | /ek'strinsik/ |  | a. 外在的, 外来的, 非国有的, 外表的；外部的, 体外的 |  | culture
devotional | /di'vәuʃәnl/ |  | a. 忠诚的, 信仰的, 虔诚的, 祷告的 |  | culture
scurvy | /'skә:vi/ |  | a. 下流的, 卑鄙的, 无礼的；n. 坏血病 |  | general
outmaneuver | /ajtmә'nu:vә(r)/ | v. | 对(敌手)机动制胜, 智胜, 在谋略上胜过( |  | general
aeronautics | /.єәrә'nɒ:tiks/ | n. | 航空学, 飞行术；航空学 |  | general
parquet | /pɑ:'kei/ | n. | 镶木地板, (剧场)正厅池座；vt. 铺镶木地板 |  | general
convergent | /kәn'vә:dʒәnt/ |  | a. 趋集于一点的, 会聚性的, 收敛的；会聚的, 集合的 |  | general
infinitesimal | /.infini'tesiml/ |  | a. 极小的, 极微的, 无限小的；n. 极小量, 极微量, 无限小 |  | general
diurnal | /dai'ә:nl/ |  | a. 每日的, 一日间的, 白天的；昼现的(丝虫), 昼间的 |  | general
punctilious | /pʌŋk'tiliәs/ |  | a. 精密细心的, 一丝不苟的, 拘泥形式的 |  | general
destitution | /.desti'tju:ʃәn/ | n. | 穷困, 贫穷, 缺乏 |  | general
omniscient | /ɒm'niʃәnt/ |  | a. 全知的, 无所不知的；n. 无所不知者, 上帝 |  | general
maudlin | /'mɒ:dlin/ |  | a. 容易流泪的, 感伤的, 酒后伤感的；n. 伤感 |  | general
obverse | /'ɒbvә:s/ | n. | (钱币、奖章等)正面, 主要的一面, 对立面；a. 正面的, 对应面的, 倒转的 |  | general
mutinous | /'mju:tinәs/ |  | a. 暴动的, 反抗的 |  | general
apogee | /'æpәudʒi:/ | n. | 远地点, 最高点, 极点；远地点 |  | culture
ornithology | /.ɒ:ni'θɒlәdʒi/ | n. | 鸟类学 |  | general
cronyism | /'krәjniizəm/ | n. | 任人唯亲 |  | general
putrid | /'pju:trid/ |  | a. 腐败的；腐败的, 恶臭的 |  | general
askance | /ә'skæns/ | adv. | 怀疑地, 斜眼看 |  | general
truculent | /'trʌkjulәnt/ |  | a. 野蛮的, 粗暴的, 致命的, 好斗的 |  | general
swarthy | /'swɒ:ði/ |  | a. 黑黝黝的 |  | general
nonchalance | /'nɒnʃәlәns/ | n. | 不关心, 冷淡, 无动于衷 |  | general
teetotal | /ti:'tәutl/ |  | a. 绝对戒酒的, 完全的, 绝对的；n. 绝对戒酒主义 |  | general
hubris | /'hju:bris/ | n. | 傲慢, 狂妄野心 |  | general
centrifugal | /sen'trifjugl/ |  | a. 离心的；n. 离心机, (离心机的)转筒 |  | general
obtuse | /әb'tju:s/ |  | a. 钝的, 不锋利的, 愚钝的；钝形的, 迟钝的(智力) |  | general
flammable | /'flæmәbl/ |  | a. 易燃的, 可燃性的；可燃的 |  | general
anaerobic | /.ænєә'rәubik/ |  | a. 厌氧的, 在缺氧情况下生活的；厌氧的 |  | general
opus | /'әupәs/ | n. | 作品 |  | culture
leeward | /'li:wә:d/ |  | a. 下风的, 在下风的；adv. 在下风, 在下风方向 |  | general
hedonism | /'hi:dәunizm/ | n. | 快乐论, 享乐主义；享乐主义, 欢乐主义 |  | general
bravura | /brә'vjuәrә/ | n. | 大胆的尝试；令人赞赏的演唱或演奏技巧 |  | general
podiatrist | /pәu'daiәtrist/ | n. | 脚病医生；足医 |  | general
jurisprudence | /.dʒuәris'pru:dәns/ | n. | 法律学, 法律体系；法学, 法律学 |  | society
tangential | /tæn'dʒenʃәl/ |  | a. 切线的, 相切的, 正切的, 离题的；正切的, 切线的 |  | general
surrealism | /sә'riәlizm/ | n. | 超现实主义；超现实主义 |  | culture
zesty | /'zesti/ |  | a. 强烈的兴趣, 热心, 热忱, 热情；vt. 给...加香味, 给...调味, 给 |  | general
layover | /'leiәuvә/ | n. | 中途短暂的停留 |  | education
clemency | /'klemәnsi/ | n. | 仁慈, 宽厚, 仁厚 |  | general
pharmacology | /.fɑ:mә'kɒlәdʒi/ | n. | 药理学, 药物学；药理学 |  | health
brackish | /'brækiʃ/ |  | a. 有盐味的, 令人不快的；微有碱味的 |  | general
upfront | /ˌʌpˈfrʌnt/ |  | a. 正直的, 坦率的；最前面的, 首要的 |  | general
tremulous | /'tremjulәs/ |  | a. 发抖的, 战栗的, 胆小的；震颤的 |  | general
exponentially | /ˌekspə'nenʃəlɪ/ | adv. | 以指数方式 |  | general
imitative | /'imitәtiv/ |  | a. 喜模仿的, 伪造的, 仿制的, 摹拟的 |  | general
rabies | /'reibi:z/ | n. | 狂犬病；狂犬病, 咬病 |  | health
gasification | /.ɡæsifi'keiʃәn/ | n. | 气化 |  | general
underhanded | /'ʌndә'hændid/ |  | a. 人手不足的, 秘密的, 卑劣的 |  | general
rookie | /'ruki/ | n. | 新手 |  | general
osmosis | /ɒz'mәusis/ | n. | 渗透作用, 渗透性, 潜移默化, 耳濡目染；渗透 |  | general
ineffable | /in'efәbl/ |  | a. 无法形容的, 不可言喻的, 避讳的 |  | general
balky | /'bɒ:ki/ |  | a. 停蹄不前的 |  | general
brassy | /'bræsi/ |  | a. 似黄铜的, 厚脸皮的；n. 铜头高尔夫球棍 |  | general
succor | /'sʌkә/ | n. | 救援, 援助者；vt. 救援, 援助 |  | general
stylus | /'stailәs/ | n. | 铁笔, 尖笔, 唱针；指示笔 |  | culture
vibrancy | /'vaibrәnsi/ | n. | 振动, 振响, 活力 |  | general
strangulation | /.stræŋgju'leiʃәn/ | n. | 勒杀, 绞死, 压缩；绞窄 |  | culture
expiration | /.ekspi'reiʃәn/ | n. | 终止, 满期, 呼出, 呼气；呼, 断气, 死亡 |  | general
biosphere | /'baiәsfiә/ | n. | 生物圈；生物圈, 生物层 |  | work
tinder | /'tindә/ | n. | 火绒盒 |  | culture
immanent | /'imәnәnt/ |  | a. 内在的, 固有的 |  | health
metrical | /'metrikl/ |  | a. 韵律的, 有韵律的, 测量的 |  | general
divestiture | /dai'vestitʃә/ | n. | 剥夺, 脱衣；剥夺 |  | culture
stanch | /stænʃ/ | v. | 使止血, 止住, 止血；a. 坚固的, 防水的, 忠实的 |  | general
tangy | /'tæŋi/ |  | a. 有强烈盐味的, 气味刺鼻的, 有刺激性 |  | general
dysfunctional | /dɪsˈfʌŋkʃənl/ |  | a. 功能失调的 |  | general
capitation | /kæpi'teiʃәn/ | n. | 人头税, 每人均摊费；按人计算(收费), 人头税 |  | general
satiny | /'sætini/ |  | a. 缎子似的, 柔软的, 光滑的 |  | general
bauxite | /'bɒ:ksait/ | n. | 铝矾土, 铝土矿；铝土矿 |  | general
somatic | /sәu'mætik/ |  | a. 身体的, 肉体的, 壁体的；躯体的, 体壁的 |  | general
monogamy | /mɒ'nɒgәmi/ | n. | 一夫一妻制；单配 |  | general
hemophilia | /.hi:mә'filiә/ | n. | 血友病 |  | general
preternatural | /.pri:tә'nætʃәrәl/ |  | a. 超自然的, 异常的 |  | environment
specter | /'spektә/ | n. | 幽灵, 妖怪, 凶兆 |  | health
fetus | /'fi:tәs/ | n. | 胎儿；胎, 胎儿 |  | general
overexposure | /.әuvәrik'spәuʒә/ | n. | 曝光过度；感光过度, 露光过度 |  | general
billowy | /'bilәui/ |  | a. 巨浪似的, 汹涌的 |  | general
unidimensional | /'ju:nidi'menʃәnl/ |  | 一维的 |  | general
porcine | /'pɒ:sain/ |  | a. 猪的, 猪似的；猪的 |  | general
serfdom | /'sә:fdәm/ | n. | 农权制, 农奴地位, 农奴境遇, 奴役 |  | general
cursive | /'kә:siv/ |  | a. 草书的, 草书体的；n. 草书, 草书原稿 |  | general
riffraff | /'rifræf/ | n. | 流氓；暴徒, 流氓 |  | general
analgesia | /.ænæl'dʒi:zjә/ | n. | 止痛, 痛觉缺失；痛觉缺失, 无痛法, 止痛法 |  | general
incongruent | /in'kɔŋɡruәnt/ |  | a. 不一致的；不协调的 |  | general
blandishment | /'blændiʃmәnt/ | n. | 甜言蜜语, 谄媚, 奉承 |  | general
blowhard | /'blәuhɑ:d/ | n. | 吹牛大家 |  | general
awl | /ɒ:l/ | n. | 钻子, 尖锥 |  | general
histology | /hi'stɒlәdʒi/ | n. | 组织学；组织学 |  | work
cytology | /sai'tɒlәdʒi/ | n. | 细胞学；细胞学 |  | general
rescission | /ri'siʒәn/ | n. | 废止, 取消, 使无效, 撤消；解除, 取消 |  | society
hypotenuse | /hai'pɒtnju:s/ | n. | (直角三角形之)斜边 |  | general
foreknowledge | /'fɒ:nɒlidʒ/ | n. | 预知, 先见之明 |  | general
caldron | /'kɒ:ldrәn/ | n. | 大锅 |  | general
braggadocio | /.brægә'dәutʃiәu/ | n. | 自夸, 吹牛大王 |  | general
menthol | /'menθoul/ | n. | 薄荷醇；薄荷醇 |  | general
zealotry | /'zelәtri/ | n. | 过度热心, 狂热, 狂热行为 |  | general
epicurean | /.epikju'ri:әn/ | n. | 享乐主义者, 美食家；a. 贪口福的, 享乐主义的 |  | general
abstinent | /'æbstinәnt/ |  | a. 有节制的, 禁欲的；n. 禁欲者 |  | general
pedagogue | /'pedәgɒg/ | n. | 小学教师, 教员, 学究 |  | education
numinous | /'nju:minәs/ |  | a. 精神上的, 超自然的 |  | environment
quixotic | /kwik'sɔtik/ |  | a. 堂吉诃德式的, 愚侠的, 狂热而侠义的 |  | general
piquant | /'pi:kәnt/ |  | a. 辛辣的, 开胃的, 刺激的, 活泼的 |  | general
rotund | /rәu'tʌnd/ |  | a. 圆的, 圆胖的, 洪亮的, (表现)华 |  | general
incorrigible | /in'kɒridʒәbl/ |  | a. 无药可救的, 积习难改的；n. 不可救药的人 |  | general
ignominy | /'ignәmini/ | n. | 耻辱, 无耻行为, 不体面；无耻行为, 丑行, 耻辱 |  | general
belligerence | /bi'lidʒәrәns/ | n. | 交战, 好战性, 斗争性 |  | general
asunder | /ә'sʌndә/ | adv. | 分开, 散, 碎 |  | general
solicitude | /sә'lisitju:d/ | n. | 焦虑, 关心, 担心, 挂念, 渴望, 担心 |  | general
anodyne | /'ænәudain/ | n. | 止痛药, 镇痛剂；a. 止痛的 |  | general
comatose | /'kɒmәtәus/ |  | a. 昏睡的, 昏睡状态的；昏迷的 |  | general
cantankerous | /kæn'tæŋkәrәs/ |  | a. 专爱唱反调的, 爱吵架的 |  | general
unexceptional | /'ʌnik'sepʃәnl/ |  | a. 非例外的, 平常的, 不特别的, 不容 |  | general
ribald | /'ribɒ:ld/ |  | a. 说话猥亵的, 下流的, 粗俗的；n. 说下流话的人 |  | culture
pugnacious | /pʌg'neiʃәs/ |  | a. 好斗的 |  | general
emblematic | /,embli'mætik/ |  | a. 象征的, 典型的 |  | general
salubrious | /sә'lu:briәs/ |  | a. 有益健康的, 健康的；增进健康的, 适于卫生的 |  | health
felicitous | /fә'lisitәs/ |  | a. 巧妙的, 极为适当的, 善于措辞的 |  | general
bedlam | /'bedlәm/ | n. | 混乱, 喧闹, 疯人院；精神病院, 精神病 |  | health
villainous | /'vilәnәs/ |  | a. 坏人似的, 恶棍的, 罪恶的, 极坏的；歹徒的:邪恶的, 恶的 |  | general
indecipherable | /.indi'saifәrәbl/ |  | a. 辨读不出的, 破译不出的, 无法解释的 |  | general
dross | /drɒs/ | n. | 浮渣, 碎屑, 渣滓；浮渣 |  | general
buxom | /'bʌksәm/ |  | a. (妇女)丰满的, 健美的 |  | health
acerbic | /ә'sә:bik/ |  | a. 酸的, 尖刻的 |  | general
parsimony | /'pɑ:simәni/ | n. | 过度节俭, 吝啬, 惜墨如金 |  | general
fulcrum | /'fʌlkrәm/ | n. | 杠杆支点, 支点；支点 |  | general
infernal | /in'fә:nl/ |  | a. 阴间的, 恶魔的 |  | general
impecunious | /.impi'kju:njәs/ |  | a. 没有钱的, 身无分文的, 贫穷的 |  | general
shopworn | /'ʃɒpwә:n/ |  | a. 陈旧的 |  | general
tempestuous | /tem'pestʃuәs/ |  | a. 有暴风雨的, 暴乱的 |  | general
taciturn | /'tæsitә:n/ |  | a. 沉默寡言的, 不太说话的, 无言的 |  | general
sobriety | /sә'braiiti/ | n. | 节制饮酒, 戒酒, 节制, 一本正经, 庄重 |  | health
parlous | /'pɑ:lәs/ |  | a. 危险的, 不易对付的, 精明的, 麻烦；adv. 非常地, 极度地 |  | general
meritorious | /.meri'tɒ:riәs/ |  | a. 有功绩的, 有价值的, 可称赞的；有功的, 值得称赞的, 善意的 |  | general
iniquitous | /i'nikwәtәs/ |  | a. 不公正的, 邪恶的 |  | general
espousal | /i'spauzl/ | n. | 拥护, 订婚, 婚礼 |  | general
inviolable | /in'vaiәlәbl/ |  | a. 不可亵渎的, 不可侵犯的, 神圣的；不可侵犯的, 神圣的 |  | general
gossamer | /'gɒsәmә/ | n. | 小蜘蛛网, 蛛丝, 薄纱；a. 薄弱的, 轻飘飘的 |  | general
bestial | /'bestjәl/ |  | a. 似野兽的, 残忍的, 卑劣的 |  | general
officious | /ә'fiʃәs/ |  | a. 多管闲事的, 非官方的；非官方的, 非正式的 |  | general
insincerity | /.insin'seriti/ | n. | 不诚实, 无诚意, 伪善；不诚实 |  | general
prudish | /'pru:diʃ/ |  | a. 拘守礼仪的, 过分规矩的, 表面正经的 |  | general
inclement | /in'klemәnt/ |  | a. 险恶的, 严酷的 |  | environment
soporific | /.sәupә'rifik/ |  | a. 催眠的, 想睡的, 令人麻木不仁的；n. 催眠剂, 安眠药 |  | health
insularity | /.insju'læriti/ | n. | 岛屿生活状况, 孤立, 岛国性质 |  | general
numerology | /.nju:mә'rɔlәdʒi/ | n. | 命理学；数字命理学 |  | technology
fetid | /'fetid/ |  | a. 恶臭的；恶臭的 |  | general
starchy | /'stɑ:tʃi/ |  | a. 淀粉的, 浆糊的, 浆糊状的, 古板的 |  | general
deportment | /di'pɒ:tmәnt/ | n. | 行为, 举止 |  | general
chauvinistic | /.ʃәuvi'nistik/ |  | a. 本民族(或本性别)第一主义的, 沙文主 |  | general
tendentious | /ten'denʃәs/ |  | a. 有偏见的, 有倾向的, 淘气的 |  | general
voluble | /'vɒljubl/ |  | a. 流利的, 健谈的, 易旋转的, 缠绕的 |  | general
repartee | /,repɑ:'ti:/ | n. | 机敏巧妙的回答, 妙语, 机智的反驳, 巧辩 |  | general
herpetologist |  | n. | 爬虫学者 |  | general
sidereal | /sai'diәriәl/ |  | a. 星的, 恒星的, 恒星引起的, 根据星 |  | general
obdurate | /'ɒbdjurit/ |  | a. 顽固的, 执拗的, 冷酷的；执迷不悟的, 毫不悔改的, 无情的 |  | general
ingenuous | /in'dʒenjuәs/ |  | a. 坦白的, 正直的, 天真的 |  | general
effeminate | /i'feminit/ |  | a. 柔弱的, 女人气的 |  | general
contrition | /kәn'triʃәn/ | n. | 完全悔悟, 悔改, 悔罪 |  | general
blithe | /blaið/ |  | a. 愉快的, 高兴的 |  | culture
untutored | /.ʌn'tju:tәd/ |  | a. 未受教育的, 粗野的, 天真的 |  | education
sentient | /'senʃәnt/ |  | a. 有感觉力的, 意识到的；n. 有知觉的人 |  | general
reportage | /.repɒ:'tɑ:ʒ/ | n. | 新闻报道, 报告文学 |  | culture
insouciance | /in'su:sjәns/ | n. | 无忧无虑 |  | general
gangling | /'gæŋgliŋ/ |  | a. 瘦长难看的 |  | general
unimpeachable | /.ʌnim'pi:tʃәbl/ |  | a. 无懈可击的, 无可指责的, 无过失的 |  | general
wearisome | /'wiәrisәm/ |  | a. 使疲倦的, 使厌倦的, 乏味的 |  | health
vagrancy | /'veigrәnsi/ | n. | 漂泊, 流浪, 神思恍惚；流氓, 无赖 |  | general
univocal | /ju:'nivәkl/ |  | a. 单一意思的, 意义明确的 |  | general
reportorial | /.repә'tɒ:riәl/ |  | a. 记者的, 报道的 |  | general
nefarious | /ni'feәriәs/ |  | a. 恶毒的, 极坏的 |  | general
equable | /'ekwәbl/ |  | a. 平静的, 变动小的 |  | general
effete | /i'fi:t/ |  | a. 贫瘠的, 枯竭的, 衰微的 |  | general
curvaceous | /kә:'veiʃәs/ |  | a. 曲线美的, 肉体美的 |  | general
seafaring | /'si:.fєәriŋ/ | n. | 航海业, 航海；a. 航海的, 在海上工作的 |  | work
magnanimity | /.mægnә'nimiti/ | n. | 宽宏大量 |  | general
iconoclastic | /ai.kɒnәu'klæstik/ |  | a. 反对偶象崇拜的, 打破旧习的 |  | culture
eucalyptus | /.ju:kә'liptәs/ | n. | 桉(树)属植物；桉属 |  | general
despotic | /de'spɒtik/ |  | a. 专制的, 专横的, 暴虐的；专制的, 专横的 |  | general
corporeal | /kɒ:'pɒ:riәl/ |  | a. 肉体的, 有形的, 物质的；有体的, 具体的, 物质的 |  | general
reconnoiter | /.rekә'nɔitә. .ri:-/ | v. | 侦察, 勘查 |  | general
cumulus | /'kju:mjulәs/ | n. | 积云, 堆积物；丘 |  | general
sensitization | /.sensitai'zeiʃәn/ | n. | 敏感化, 致敏作用；敏化作用 |  | general
catharsis | /kә'θɑ:sis/ | n. | 陶冶, 净化, 导泻；导泻, 泻法, 精神发泄 |  | health
verbose | /vә'bәus/ |  | a. 用字多的, 冗长的, 累赘的；详述 |  | general
ticklish | /'tikliʃ/ |  | a. 易倒的, 不稳定的, 难对付的, 怕痒 |  | general
conviviality | /kәn.vivi'ælәti/ | n. | 欢宴, 欢乐, 高兴 |  | general
kaleidoscopic | /kә,laidә'skɔpik/ |  | a. 万花筒似的, 千变万化的 |  | general
gristle | /'grisl/ | n. | 软骨；软骨 |  | general
egregious | /i'gri:dʒiәs/ |  | a. 异乎寻常的, 过分的, 惊人的 |  | general
coterminous | /kәu'tә:minәs/ |  | a. 相连的, 连接的 |  | general
titular | /'titjulә/ |  | a. 享有所有权的, 名誉上的, 有名无实的；n. 只有称号的人 |  | culture
obsequious | /әb'si:kwiәs/ |  | a. 谄媚的, 奉承的, 顺从的 |  | general
measly | /'mi:zli/ |  | a. 患麻疹的；米珠的, 含囊尾蚴的 |  | general
glutinous | /'glu:tinәs/ |  | a. 粘性的；胶状的, 粘的 |  | general
serried | /'serid/ |  | a. 密集的, 林立的, 锯齿状的 |  | general
sacrilegious | /.sækri'lidʒәs/ |  | a. 冒渎的, 犯渎圣罪的 |  | general
dilatory | /'dilәtәri/ |  | a. 拖拉的；延期的, 拖延的, 慢的 |  | general
crestfallen | /'krest.fɒ:lәn/ |  | a. 垂头丧气的, 意气沮丧的, 气馁的 |  | general
hauteur | /әu'tә:/ | n. | 傲慢；自大 |  | general
crotchety | /'krɒtʃiti/ |  | a. 有怪想的, 反复无常的, 想入非非的 |  | general
appetizing | /'æpitaiziŋ/ |  | a. 开胃的, 促进食欲的, 鲜美可口的 |  | general
remunerative | /ri'mju:nәreitiv/ |  | a. 有报酬的, 有利可图的, 合算的 |  | general
gustatory | /'gʌstәtәri/ |  | a. 尝味的, 味觉的；味觉的, 味的 |  | general
pitiless | /'pitilis/ |  | a. 无情的, 冷酷的, 无怜悯心的 |  | general
offstage |  | n. | 台后, 幕内；a. 台后的, 幕内的 |  | general
libelous | /'laibәlәs/ |  | a. 诽谤的, 败坏名誉的, 爱诽谤的, 诽 |  | general
rakish | /'reikiʃ/ |  | a. 轻快的, 潇洒的, 放荡的 |  | general
languor | /'læŋgә/ | n. | 怠惰, 疲倦, 无气力；疲倦, 无力 |  | general
finicky | /'finiki/ |  | a. 过分注意的, 过分周到的, 过分讲究的 |  | general
bellicose | /'belikәus/ |  | a. 好战的, 好斗的；好战的 |  | general
myopia | /mai'әupiә/ | n. | 近视；近视 |  | general
providential | /.prɒvi'denʃәl/ |  | a. 天意的, 根据神意的, 天佑的, 幸运 |  | general
bilious | /'biljәs/ |  | a. 患胆(或肝)病的, 胆汁质的, 坏脾气；胆汁的, 胆汁质的 |  | general
verbiage | /'vә:biidʒ/ | n. | 罗嗦, 冗词, 措辞 |  | general
sepulchral | /si'pʌkrәl/ |  | a. 坟墓的, 埋葬的 |  | general
hedonic | /hi:'dɒnik/ |  | a. 快乐的, 快乐论的；n. 快乐论 |  | general
quintessence | /kwin'tesns/ | n. | 精萃, 精华, 典范；浓浸膏, 精华 |  | culture
carafe | /kә'ræf/ | n. | 卡拉夫瓶 |  | general
artless | /'ɑ:tlis/ |  | a. 无虚饰的, 单纯的, 自然的 |  | environment
willowy | /'wilәji/ |  | a. 柳树多的, 易弯的, 苗条的, 优雅的 |  | general
unprepossessing | /ʌnpri:pә'zesiŋ/ |  | a. 不讨人喜欢的, 不吸引人的 |  | general
querulous | /'kwerulәs/ |  | a. 抱怨的, 爱发牢骚的, 易怒的 |  | general
peaky | /'pi:ki/ |  | a. 有峰的, 多峰的, 尖的, 消瘦的 |  | general
nihilism | /'naiilizm/ | n. | 虚无主义, 无政府主义；虚无妄想 |  | society
inchoate | /in'kәueit/ |  | a. 刚开始的, 不成熟的, 未发达的；不完整 |  | culture
ersatz | /eә'zɑ:tz/ | n. | 代用品 |  | culture
faddish | /'fædiʃ/ |  | a. 趋于时尚的, 风行的, 流行的 |  | general
proximate | /'prɒksimeit/ |  | a. 最近的, 将临的, 近似的；近接的, 邻近的 |  | general
draftsmanship | /'drɑ:ftsmәnʃip; 'dræft-/ | n. | 制图术 |  | culture
usury | /'ju:ʒuri/ | n. | 高利贷；高利贷, 高利 |  | society
isthmus | /'ismәs/ | n. | 地峡, 峡部；峡 |  | culture
hermetic | /hә:'metik/ |  | a. 奥妙的, 密封的, 不透气的, 不漏气；全密封的 |  | general
alimentary | /.æli'mentәri/ |  | a. 饮食的, 供养的；营养的 |  | health
skittish | /'skitiʃ/ |  | a. 易惊的, 轻佻的, 三心二意的, 不可 |  | general
unexceptionable | /.ʌnik'sepʃәnәbl/ |  | a. 无懈可击的, 极好的, 完美无缺的 |  | general
serendipity | /,serәn'dipiti/ | n. | 偶然发现珍宝的运气/才能, 易遇奇缘的运气 |  | general
odium | /'әudiәm/ | n. | 憎恶, 讨厌, 臭名 |  | general
lassitude | /'læsitju:d/ | n. | 疲倦, 疲乏, 无精神；倦怠 |  | health
protean | /'prәutiәn/ |  | a. 千变万化的, 变化不定的, (海神)普；┚(音田) |  | general
obsolescent | /.ɒbsә'lesәnt/ |  | a. 在逐步废弃的 |  | environment
amity | /'æmiti/ | n. | 友好, 亲善关系 |  | general
agape | /ә'geip/ |  | a. 张口发呆的, 目瞪口呆的；adv. 张口发呆地, 目瞪口呆地 |  | culture
detestable | /di'testәbl/ |  | a. 可憎的, 可恶的 |  | general
agog | /ә'gɒg/ |  | a. 兴奋着的, 急切的；adv. 急切地, 渴望 |  | general
repugnance | /ri'pʌgnәns/ | n. | 反感, 厌恶, 不一致, 矛盾, 抵触；不一致, 矛盾, 不一致之处 |  | general
unbidden | /.ʌn'bidn/ |  | a. 未奉命的, 未受指使的, 自发的, 未 |  | general
unctuous | /'ʌŋktjuәs/ |  | a. 油的, 油质的, 油腻的, 虚情假意的；油滑的, 油样的 |  | general
loquacious | /lәu'kweiʃәs/ |  | a. 多嘴的, 好辩的, 吵闹的, 潺潺的 |  | general
elephantine | /.eli'fæntain/ |  | a. 象的, 巨大的, 粗笨的 |  | general
sere | /siә/ |  | a. 干枯的；n. 演替系列 |  | general
hidebound | /'haidbaund/ |  | a. 思想偏狭顽固的, 死板的, 量小的；绷紧的, 包紧的(皮肤) |  | general
evanescent | /.i:vә'nesnt/ |  | a. 逐渐消失的, 容易消散的, 短暂的；易消灭的, 渐消失的, 挥发性的 |  | general
offbeat | /'ɒfbi:t/ |  | a. 不平常的, 离奇的, 不落俗套的；n. 弱拍 |  | general
necropolis | /ne'krɒpәlis/ | n. | 大墓地, 史前坟场 |  | general
hippopotamus | /.hipә'pɒtәmәs/ | n. | 河马 |  | general
friable | /'fraiәbl/ |  | a. 易碎的, 易成粉末的, 脆弱的；易碎的, 脆的 |  | general
elocution | /.elә'kju:ʃәn/ | n. | 雄辩术, 演说法 |  | general
befuddlement |  |  | 迷惘, 迷糊 |  | general
slipshod | /'slipʃɒd/ |  | a. 破烂的, 马虎的, 潦草的 |  | general
febrile | /'fi:brail/ |  | a. 发热的, 热病的, 热性的；热性的, 发热的 |  | general
substratum | /'sʌb'strɑ:tәm, 'sʌb'streitәm/ | n. | 基础, 根据, 下层, 基层, 基质, 培养；基底 |  | society
megalomania | /.megәlә'meiniә/ | n. | 夸大狂；夸大狂 |  | general
ostracism | /'ɒstrәsizm/ | n. | 流放, 放逐, 排斥；流放, 放逐, 排斥 |  | society
unenlightened | /.ʌnin'laitnd/ |  | a. 愚昧无知的, 未受启发的 |  | general
stinginess |  | n. | 吝啬 |  | culture
transience | /'trænziәns/ | n. | 顷刻, 无常, 短暂 |  | general
