# word | phonetic | pos. | meaning | example | topic
lithosphere | /'liθәu.sfiә/ | n. | 岩石圈, 陆界；岩石圈 |  | culture
fragility | /frә'dʒiliti/ | n. | 脆弱, 虚弱；易碎性 |  | general
unwieldy | /.ʌn'wi:ldi/ |  | a. 难处理的, 笨大难使用的, 笨拙的 |  | work
unimaginable | /.ʌni'mædʒinәbl/ |  | a. 不能想象的, 不可思议的 |  | general
laboriously |  | adv. | 辛苦地；费力地 |  | work
hospitable | /'hɒspitәbl/ |  | a. 好客的, 招待周到的 |  | general
diligently |  | adv. | 勤奋地；勤勉地 |  | general
incisive | /in'saisiv/ |  | a. 敏锐的, 机敏的, 激烈的, 切入的；切牙的, 切的 |  | general
acrimonious | /ækri'mәunjәs/ |  | a. 尖刻的, 讥讽的, 激烈的 |  | general
gratuitous | /grә'tju:itәs/ |  | a. 免费的, 无理由的；无代价的 |  | general
strenuously |  | adv. | 勤奋地；费力地 |  | general
innermost | /'inәmәust/ |  | a. 内心的, 秘密的, 最深处的 |  | culture
frenetic | /fri'netik/ |  | a. 发狂的, 狂热的；n. 发狂者 |  | general
fortuitous | /fɒ:'tju:itәs/ |  | a. 偶然的；偶然的, 机会的 |  | general
unevenly |  | adv. | 不平坦地；不均衡地 |  | culture
undaunted | /.ʌn'dɒ:ntid/ |  | a. 大无畏的, 勇敢的 |  | general
bondage | /'bɒndidʒ/ | n. | 奴役, 束缚；束缚, 监禁, 奴隶 |  | culture
paucity | /'pɒ:sәti/ | n. | 少数, 少量, 缺乏 |  | general
uninhabited | /'ʌnin'hæbitid/ |  | a. 无人居住的, 杳无人迹的 |  | general
tedium | /'ti:diәm/ | n. | 单调乏味, 沉闷 |  | general
indigestion | /.indi'dʒestʃәn/ | n. | 消化不良；消化不良, 不消化 |  | culture
homesick | /'hәumsik/ |  | a. 思家的, 思乡病的 |  | general
capricious | /kә'priʃәs/ |  | a. 反复无常的, 多变的, 任性的 |  | general
acumen | /ә'kju:men/ | n. | 敏锐, 聪明 |  | general
eloquence | /'elәkwәns/ | n. | 口才, 雄辩术, 雄辩；善辩, 口才 |  | culture
insurmountable | /.insә'mauntәbl/ |  | a. 难以克服的, 不能超越的 |  | general
unexplored | /'ʌniks'plɔ:d/ |  | a. 未勘查过的 |  | general
impunity | /im'pju:niti/ | n. | 不受惩罚, 无事, 无患；不受刑罚, 免罚, 免罪 |  | general
windswept | /'windswept/ |  | a. 风刮的, 被风吹扫的, 暴露在风中的 |  | general
tasteless | /'teistlis/ |  | a. 没味道的, 无鉴赏力的 |  | society
zenith | /'zeniθ. 'zi:-/ | n. | 顶点；最高点 |  | general
irregularly |  | adv. | 不规则, 不整齐, 不合法 |  | general
springtime | /'spriŋtaim/ | n. | 春天, 春季, 初期 |  | general
deferential | /.defә'renʃәl/ |  | a. 恭敬的；输精管的 |  | general
ceaseless | /'si:slis/ |  | a. 不停的, 不断的 |  | general
predictability | /pri.diktә'biliti/ | n. | 可预言；可预测性 |  | general
magnificence | /mæg'nifisns/ | n. | 富丽堂皇, 华丽, 宏大 |  | general
merciless | /'mә:silis/ |  | a. 无慈悲心的, 残忍的 |  | general
facile | /'fæsil/ |  | a. 容易的, 灵巧的, 温和的 |  | general
irrevocable | /i'revәkәbl/ |  | a. 不能挽回的, 不能取消的, 不能变更的；不能撤销的, 不能恢复的 |  | general
inordinate | /i'nɒ:dinәt/ |  | a. 过度的, 紊乱的, 过分的 |  | general
apathetic | /.æpә'θetik/ |  | a. 缺乏感情的, 无动于衷的, 缺乏兴趣的；无情的, 淡漠的 |  | general
unpromising | /'ʌn'prɔmisiŋ/ |  | a. 没有希望的, 没有前途的, 结果未必良 |  | general
florid | /'flɒrid/ |  | a. 华丽的, 红润的；鲜红的 |  | health
eventful | /i'ventful/ |  | a. 变故多的, 多事的, 重要的 |  | general
auspicious | /ɒ:'spiʃәs/ |  | a. 吉兆的, 幸运的 |  | general
populous | /'pɒpjulәs/ |  | a. 人口多的, 人口稠密的 |  | society
perseverance | /pә:si'viәrәns/ | n. | 毅力, 忍耐, 锲而不舍, 不屈不挠 |  | general
moribund | /'mɒ:ribʌnd/ |  | a. 垂死的；n. 垂死的人 |  | general
jovial | /'dʒәuviәl/ |  | a. 快活的, 高兴的, 愉快的；国际算法语言的朱尔斯文本 |  | technology
scornful | /'skɒ:nful/ |  | a. 轻蔑的 |  | general
shellfish | /'ʃelfiʃ/ | n. | 贝, 甲壳类水生物；牡蛎 |  | general
conversant | /kәn'vә:sәnt/ |  | a. 熟悉的, 亲近的, 有交情的 |  | general
repulsive | /ri'pʌlsiv/ |  | a. 排斥的, 可恶的, 击退的 |  | general
impassioned | /im'pæʃәnd/ |  | a. 充满激情的, 狂热的, 热烈的 |  | general
anesthetic | /.ænis'θetik/ | n. | 麻醉剂, 麻药；a. 麻醉的 |  | health
zealous | /'zelәs/ |  | a. 热衷的, 热诚的, 热心的, 热情的 |  | general
sufficiency | /sә'fiʃәnsi/ | n. | 充足, 充分的数量, 自负 |  | general
raucous | /'rɒ:kәs/ |  | a. 沙哑的, 粗声的, 喧闹的 |  | general
avoidable | /ә'vɒidәbl/ |  | a. 可避免的；可作为无效的, 可回避的, 可避免的 |  | general
methodically | /mi'θɒdikәli/ | adv. | 有系统地, 有方法地 |  | technology
spotless | /'spɒtlis/ |  | a. 无脏污的, 无缺点的, 无可挑剔的 |  | general
lethargic | /le'θɑ:dʒik/ |  | a. 昏睡的, 无生气的, 泠漠的, 冷淡的；昏睡的, 嗜眠的 |  | general
irrepressible | /.iri'presәbl/ |  | a. 约束不住的, 抑制不住的 |  | general
audacious | /ɒ:'deiʃәs/ |  | a. 大胆的, 鲁莽的, 胆大妄为的 |  | general
forcible | /'fɒ:sәbl/ |  | a. 强制的, 强迫的, 有气力的；强制的, 强迫的, 有势力的 |  | general
homemade | /'hәum'meid/ |  | a. 自制的, 国产的 |  | general
unrestrained | /.ʌnri'streind/ |  | a. 未克制的, 无限制的, 放纵的；无拘束的, 无限制的:自由的, 过度的 |  | general
affable | /'æfәbl/ |  | a. 和蔼可亲的, 友善的, 亲切的, 慈祥 |  | general
rancor | /'ræŋkә/ | n. | 敌意, 深仇 |  | general
lethargy | /'leθәdʒi/ | n. | 昏睡, 瞌睡, 无力气；昏睡, 嗜眠 |  | general
distinctively | /dɪ'stɪŋktɪvlɪ/ | adv. | 区别地, 特殊地 |  | general
despicable | /'despikәbl/ |  | a. 可鄙的, 卑劣的 |  | general
merciful | /'mә:siful/ |  | a. 仁慈的, 慈悲的 |  | general
marshy | /'mɑ:ʃi/ |  | a. 多沼地的, 湿地的, 沼地的 |  | general
transitory | /'trænsitәri/ |  | a. 暂时的, 短暂的, 昙花一现的；临时性诉讼, 可选择管辖区的诉讼 |  | general
attrition | /ә'triʃәn/ | n. | 摩擦, 磨损；擦除术 |  | general
legible | /'ledʒәbl/ |  | a. 清晰的, 易读的 |  | general
insular | /'insjulә/ |  | a. 岛的, 岛民的, 与世隔绝的, 孤立的；岛的, 胰岛的, 脑岛的 |  | general
fraternal | /frә'tә:nl/ |  | a. 兄弟的, 兄弟似的, 友爱的 |  | society
eastward | /'i:stwәd/ | n. | 朝东方向；a. 向东方的 |  | general
influenza | /.influ'enzә/ | n. | 流行性感冒；流行性感冒, 流感 |  | health
gregarious | /gre'gєәriәs/ |  | a. 社交的, 群居的 |  | environment
unsubstantiated | /'ʌnsәb'stænʃieitid/ |  | 未经证实的, 不能肯定的 |  | general
shameless | /'ʃeimlis/ |  | a. 不知羞耻的 |  | general
cogent | /'kәudʒәnt/ |  | a. 使人首肯的, 使人信服的, 中肯切题的；有说服力的, 无法反驳的 |  | general
headlong | /'hedlɒŋ/ |  | a. 头向前的, 仓猝而用力的, 轻率的；adv. 头向前地, 猛然地, 用力地 |  | general
faultless | /'fɒ:ltlis/ |  | a. 完美的, 无缺点的；无故障的 |  | general
acrimony | /'ækrimәni/ | n. | 严厉, 尖刻；辛辣 |  | general
wistful | /'wistful/ |  | a. 渴望的, 想望的 |  | general
urbane | /ә:'bein/ |  | a. 彬彬有礼的 |  | society
prodigal | /'prɒdigl/ | n. | 浪费者；a. 浪费的, 挥霍的, 丰富的 |  | general
dizziness | /'dizinis/ | n. | 头昏眼花；头晕, 头昏 |  | general
organically | /ɒ:'gænikli/ | adv. | 有机性地, 器官上地, 有组织地 |  | environment
tactile | /'tæktail/ |  | a. 触觉的, 有触觉的；触觉的 |  | general
mournful | /'mɒ:nful/ |  | a. 悲恸的, 悲哀的, 令人惋惜的 |  | general
esthetic | /es'θetik/ |  | a. 审美的；感觉的 |  | general
ambient | /'æmbiәnt/ |  | a. 周围的；n. 周围环境 |  | environment
sinuous | /'sinjuәs/ |  | a. 弯弯曲曲的, 迂回的, 运动柔软的；纡曲的 |  | general
unsophisticated | /.ʌnsә'fistikeitid/ |  | a. 不懂世故的, 单纯的, 不精细的, 纯 |  | general
minutely | /mai'nju:tli/ | adv. | 详细地, 精密地 |  | general
introspective | /.intrәu'spektiv/ |  | a. 内省的；内省的 |  | general
courteously |  | adv. | 亲切地；有礼貌地 |  | general
unbiased | /.ʌn'baiәst/ |  | a. 没有偏见的；无偏见的, 大公无私的, 公平的 |  | general
thoughtless | /'θɒ:tlis/ |  | a. 欠考虑的, 无深虑的, 轻率的 |  | general
listless | /'listlis/ |  | a. 倦怠的, 无精打采的；交易清淡的 |  | general
disreputable | /dis'repjutәbl/ |  | a. 名誉不好的, 不光彩的, 声名狼藉的 |  | general
circumspect | /'sә:kәmspekt/ |  | a. 细心的, 慎重的 |  | general
elliptical | /i'liptikәl/ |  | a. 椭圆的；椭圆形的 |  | economy
deceitful | /di'si:tful/ |  | a. 欺诈的 |  | general
convivial | /kәn'viviәl/ |  | a. 酒宴的, 欢宴的, 欢乐的 |  | general
jubilant | /'dʒu:bilәnt/ |  | a. 欢呼的, 喜洋洋的 |  | general
fanaticism | /fә'nætisizm/ | n. | 狂热, 入迷 |  | general
acrid | /'ækrid/ |  | a. 苦味的, 辛辣的, 讥讽的, 刻薄的；辛辣的 |  | general
transcendental | /.trænsen'dentl/ |  | a. 卓越的, 超凡的, 先验的 |  | general
sunlit | /'sʌnlit/ |  | a. 阳光照射的 |  | general
stardom | /'stɑ:dәm/ | n. | 明星身分, 明星们 |  | general
invariable | /in'vєәriәbl/ | n. | 不变的东西, 常数；a. 不变的, 常数的 |  | general
philanthropic | /fi'lænθrәpic/ |  | a. 慈善(事业)的, 博爱的, 乐善好施的；博爱的, 仁慈的, 慈善事业的 |  | general
uncouth | /.ʌn'ku:θ/ |  | a. 笨拙的, 粗野的, 荒凉的 |  | general
uncharted | /.ʌn'tʃɑ:tid/ |  | a. 图上未标明的, 未知的；无人探险过的, 未知的, 海图上未载明的 |  | economy
boundless | /'baundlis/ |  | a. 无限的, 无边无际的；无限的 |  | general
tepid | /'tepid/ |  | a. 微温的, 温热的, 不太热烈的；微温的 |  | general
dehydration | /.di:hai'dreiʃәn/ | n. | 脱水；脱水 |  | general
ardor | /'ɑ:dә/ | n. | 热忱, 热情, 情欲, 激情, 灼热；灼热 |  | general
northward | /'nɒ:θwәd/ | n. | 北方, 北；a. 向北的 |  | general
hateful | /'heitful/ |  | a. 憎恨的, 可恨的, 可恶的 |  | general
courtly | /'kɒ:tli/ |  | a. 谦恭的, 礼让的, 有教养的 |  | general
needlework | /'ni:dlwә:k/ | n. | 刺绣, 缝纫 |  | general
indefatigable | /.indi'fætigәbl/ |  | a. 不知疲倦的, 有耐性的, 不屈不挠的 |  | general
erratically | /i'rætikәli/ | adv. | 不规律地, 不定地 |  | general
irreparable | /i'repәrәbl/ |  | a. 不能修补的, 不能挽回的；不可弥补的, 不可挽回的 |  | general
decadence | /'dekәdәns/ | n. | 颓废 |  | health
refrigeration | /ri.fridʒә'reiʃәn/ | n. | 冷却, 冷藏, 冷冻；致冷 |  | health
categorical | /.kæti'gɒrikl/ |  | a. 范畴的, 绝对的, 明确的 |  | general
venomous | /'venәmәs/ |  | a. 有毒的, 恶毒的, 分泌毒液的, 有毒；毒的, 有毒的 |  | general
indomitable | /in'dɒmitәbl/ |  | a. 不屈服的, 不屈不挠的 |  | general
immobility | /.imәu'biliti/ | n. | 不动性, 不动, 固定；不动 |  | general
abhorrent | /әb'hɒrәnt/ |  | a. 令人憎恨的, 可恶的, 厌恶的, 相抵 |  | general
presumptuous | /pri'zʌmptʃuәs/ |  | a. 放肆的, 冒昧的, 傲慢的 |  | general
erudite | /'eru:dait/ |  | a. 博学的；n. 博学者 |  | general
unselfish | /.ʌn'selfiʃ/ |  | a. 不自私的, 无我的, 不谋私利的 |  | society
undifferentiated | /'ʌn,difә'renʃieitid/ |  | a. 无差别的, 一致的, 尚未显出差别的 |  | general
subjection | /sәb'dʒekʃәn/ | n. | 征服, 服从, 隶属；隶属, 服从, 屈从 |  | general
illegible | /i'ledʒәbl/ |  | a. 难辨认的, 字迹模糊的 |  | general
calculus | /'kælkjulәs/ | n. | 结石；微积分学 |  | general
veracity | /vә'ræsiti/ | n. | 说话老实, 老实, 诚实 |  | general
voracious | /vә'reiʃәs/ |  | a. 贪吃的, 狼吞虎咽的, 贪婪的 |  | general
unmatched | /.ʌn'mætʃt/ |  | a. 无比的, 无匹敌的, 不相配的；不匹配的 |  | general
precipitous | /pri'sipitәs/ |  | a. 陡峭的, 轻率的 |  | general
hilarity | /hi'læriti/ | n. | 欢喜, 高兴 |  | general
infertile | /in'fә:tail/ |  | a. 不肥沃的, 不毛的, 不结果实的 |  | general
colloquial | /kә'lәukwiәl/ |  | a. 会话的, 口语的, 口语体的 |  | culture
assiduous | /ә'sidjuәs/ |  | a. 勤勉的, 刻苦的 |  | general
prairie | /'prєәri/ | n. | 大草原, 草甸 |  | general
idiotic | /.idi'ɒtik/ |  | a. 白痴的, 愚蠢的, 呆头呆脑的 |  | health
stubbornness |  | n. | 倔强；顽强 |  | general
prohibitively |  | adv. | 禁止, 起阻止作用, 抑制 |  | general
probity | /'prәubәti/ | n. | 诚实, 正直 |  | general
opulence | /'ɒpjulәns/ | n. | 富裕, 丰富, 大量 |  | general
fractious | /'frækʃәs/ |  | a. 易怒的, 倔强的, 脾气不好的 |  | general
fittingly | /'fɪtɪŋlɪ/ | adv. | 适切地, 适合地 |  | general
sporadically |  | adv. | 偶发地；零星地 |  | general
contemptible | /kәn'temptibl/ |  | a. 卑鄙的, 可轻蔑的, 不足挂齿的 |  | general
extraneous | /ek'streiniәs/ |  | a. 外来的, 非必要的, 无关的；体外的 |  | general
ajar | /ә'dʒɑ:/ |  | a. 微开的, 半开的, 不和谐的；adv. 微开, 半开, 不协调地 |  | general
frigid | /'frigid/ |  | a. 寒冷的, 严寒的, 冷淡的；寒冷的, 冷淡的, 性感缺失的 |  | general
automotive | /.ɒ:tәu'mәutiv/ |  | a. 汽车的 |  | general
primordial | /prai'mɒ:diәl/ |  | a. 原始的, 自原始时代的；原始的 |  | general
deleterious | /.deli'tiәriәs/ |  | a. 有害的, 造成伤害的；有害的 |  | general
fulsome | /'fulsәm/ |  | a. 过度的, 过分的, 令人生厌的 |  | general
snobbish | /'snɒbiʃ/ |  | a. 自命不凡的, 势利的 |  | society
rashly | /'ræʃli/ | adv. | 轻率地 |  | general
glib | /glib/ |  | a. 能说善道的, 流畅的 |  | culture
thrall | /θrɒ:l/ | n. | 奴隶, 束缚, 奴役 |  | general
luxuriant | /lʌg'zjuәriәnt/ |  | a. 繁茂的, 丰富的, 肥沃的, 华丽的；过盛的, 过多的 |  | general
burdensome | /'bә:dnsәm/ |  | a. 累赘的, 恼人的, 繁重的；难于负担的, 压抑的, 累赘的 |  | general
azure | /'æʒә/ | n. | 天蓝色, 碧空；a. 蔚蓝的 |  | general
asymmetrical |  |  | a. 不对称的, 偏位的；非对称的, 不对称的 |  | culture
aural | /'ɒ:rәl/ |  | a. 耳的, 听觉的, 气氛的, 气味的；耳的 |  | general
unblemished | /.ʌn'blemiʃt/ |  | a. 无瑕疵的, 无缺点的, 无污点的, 清 |  | general
customarily | /'kʌstәmәrili/ | adv. | 照例, 通常, 习惯上 |  | general
unseemly | /.ʌn'si:mli/ |  | a. 不合适的, 不适宜的, 不得体的 |  | society
injurious | /in'dʒuәriәs/ |  | a. 有害的, 不公正的；伤害的, 有害的, 不公平的 |  | general
impetuous | /im'petʃuәs/ |  | a. 冲动的, 猛烈的, 轻率的, 狂暴的 |  | general
topographical | /,tɔpә'^ræfikәl/ |  | a. 地形的, 地形学的, 地形测量的 |  | general
lithe | /laið/ |  | a. 柔软的 |  | general
thrifty | /'θrifti/ |  | a. 节俭的, 兴旺的, 繁茂的 |  | general
diction | /'dikʃәn/ | n. | 措辞, 发音, 用语 |  | culture
ingeniously | /ɪn'dʒi:nɪəslɪ/ | adv. | 有才能地, 贤明地 |  | general
impartially | /ˌɪmˌpɑ:ʃəlɪ/ | adv. | 公平地, 无私地；秉公 |  | culture
assuredly | /ә'ʃuәridli/ | adv. | 确实地, 无疑地, 确信地 |  | general
unquestioning | /ʌn'kwestʃәniŋ/ |  | a. 不提出疑问的, 不提出质询的, 不犹豫；不问是非的, 盲目的 |  | general
undeserved | /.ʌndi'zә:vd/ |  | a. (赏、罚等)不该受的, 不应得的 |  | general
impertinent | /im'pә:tinәnt/ |  | a. 不切题的, 鲁莽的, 无礼的, 粗鲁的 |  | general
ignominious | /.ignәu'miniәs/ |  | a. 可耻的, 不名誉的, 下流的 |  | general
aggressiveness |  | n. | (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为 |  | general
gymnastics | /dʒim'næstiks/ | n. | 体操, 体育；体操, 体育 |  | general
quiescent | /kwai'esnt/ |  | a. 静止的, 不活动的, 寂静的；静息的, 静止的 |  | general
inoffensive | /.inә'fensiv/ |  | a. 无害的, 不触犯人的, 不讨厌的 |  | general
counterclockwise | /.kauntә'klɒkwaiz/ |  | a. 反时针方向的；adv. 反时针方向 |  | general
intricately | /'ɪntrɪkətlɪ/ | adv. | 杂乱地, 复杂地；难懂地 |  | work
fitful | /'fitful/ |  | a. 断断续续的, 一阵阵的, 间歇的 |  | culture
alchemy | /'ælkimi/ | n. | 炼金术, 魔力；炼丹术 |  | general
glassware | /'glɑ:swєә/ | n. | 玻璃器具；玻璃器皿 |  | culture
phlegmatic | /fle^'mætik/ |  | a. 粘液质的, (正式)平静的, 不动情的；粘液质的, 迟钝的 |  | general
lustrous | /'lʌstrәs/ |  | a. 有光泽的, 光辉的 |  | general
bigoted | /'bigәtid/ |  | a. 盲从的, 固执己见的, 执迷的, 顽固 |  | general
pensive | /'pensiv/ |  | a. 沉思的, 哀思的, 忧郁的 |  | general
gauche | /gәuʃ/ |  | a. 缺乏社经验的, 笨拙的, 粗鲁的, 无 |  | society
fatalism | /'feitәlizm/ | n. | 宿命论 |  | health
carnal | /'kɑ:nl/ |  | a. 肉体的, 肉欲的；肉的, 肉欲的 |  | general
hibernation | /.haibә'neiʃәn/ | n. | 过冬, 冬眠, 避寒；冬眠, 冬蛰 |  | general
deciduous | /di'sidjuәs/ |  | a. 每年落叶的, 非永久性的；脱落的 |  | general
veneration | /.venә'reiʃәn/ | n. | 尊敬, 崇敬, 崇拜 |  | culture
heredity | /hi'rediti/ | n. | 遗传, 形质遗传；遗传 |  | general
slovenly | /'slʌvәnli/ |  | a. 邋遢的, 不修边幅的, 不整洁的, 懒；adv. 邋遢地, 不修边幅地, 不整洁地 |  | general
fallacious | /fә'leiʃәs/ |  | a. 使人误解的, 谬误的, 不合理的, 骗 |  | general
unadorned | /'ʌnә'dɔ:nd/ |  | a. 无装饰的, 未装饰的, 不加渲染的 |  | general
reverently |  | adv. | 虔诚地, 恭敬地 |  | general
circuitous | /sә'kju:itәs/ |  | a. 迂回的, 间接的, 绕行的 |  | general
capacious | /kә'peiʃәs/ |  | a. 容积大的, 广阔的, 宽敞的 |  | general
unspoiled | /ʌn'spɔild/ |  | a. 未损坏的；未宠坏的 |  | general
torpor | /'tɒ:pә/ | n. | 麻木, 无感觉, 迟钝；迟钝, 不活泼 |  | health
ravenous | /'rævinәs/ |  | a. 贪婪的, 饿极的, 狼吞虎咽的 |  | general
driftwood | /'driftwud/ | n. | 漂流木, 浮木 |  | general
impure | /im'pjuә/ |  | a. 不纯的, 肮脏的, 掺杂的, 混合的；不纯的 |  | general
ethically |  | adv. | 伦理上 |  | general
transcendent | /træn'sendәnt/ |  | a. 卓越的, 出类拔萃的, 超常的；n. 卓越的人, 超绝物 |  | general
untamed | /.ʌn'teimd/ |  | a. 未经驯服的, 不能抑制的, 难控驭的 |  | general
solicitous | /sә'lisitәs/ |  | a. 关心的, 渴望的, 热切期望的, 十分 |  | general
waxy | /'wæksi/ |  | a. 蜡制的, 像蜡的, 蜡色的, 苍白的；蜡状的, 蜡的 |  | general
sorrowful | /'sɒrәuful/ |  | a. 悲伤的 |  | general
dentistry | /'dentistri/ | n. | 牙科；牙科学, 牙科技术 |  | technology
carnivorous | /kɑ:'nivәrәs/ |  | a. 食肉的；食肉的 |  | general
acquisitive | /ә'kwizitiv/ |  | a. 渴望获得的, 贪婪的；取得的, 获得的, 贪得无厌的 |  | general
cannibalism | /'kænibәlizm/ | n. | 嗜食同类, 食人, 嗜血成性 |  | general
sculptural | /'skʌlptʃәrәl/ |  | a. 雕刻的, 雕刻般的 |  | general
atheism | /'eiθiizm/ | n. | 无神论 |  | general
demography | /di:'mɒgrәfi/ | n. | 人口统计学；人口学, 人口统计学 |  | society
disrespectful | /.disri'spektful/ |  | a. 失礼的, 无礼的, 不尊敬的 |  | general
congratulation | /kәn.grætʃә'leiʃәn/ | n. | 祝贺, 恭喜 |  | general
gentility | /dʒen'tiliti/ | n. | 出身高贵, 绅士们, 上流阶层, 斯文, 有 |  | general
exultant | /ig'zʌltәnt/ |  | a. 非常高兴的, 欢欣的 |  | general
gasoline | /'gæsәli:n/ | n. | 汽油；汽油 |  | environment
rubbery | /'rʌbәri/ |  | a. 橡胶似的, 有弹力的 |  | general
permeable | /'pә:miәbl/ |  | a. 有渗透性的, 能透过的；渗透性的 |  | general
utilization | /.ju:tilai'zeiʃәn/ | n. | 利用；利用 |  | general
curative | /'kjurәtiv/ |  | a. 治病的, 有疗效的；n. 药物, 治疗法 |  | health
gaseous | /'gæsiәs/ |  | a. 气体的, 气态的, 无实质的；气的 |  | general
boardinghouse | /'bɔ:diŋhajs/ | n. | 寄宿处 |  | general
limpid | /'limpid/ |  | a. 清澈的, 透明的, 平静的 |  | culture
contrite | /'kɒntrait/ |  | a. 悔悟了的, 后悔的, 痛悔的 |  | general
culpable | /'kʌlpәbl/ |  | a. 该责备的, 有罪的；应受处罚, 有罪 |  | general
armory | /'ɑ:mәri/ | n. | 纹章, 纹章学, 军械库, 兵工厂；军械库 |  | general
rhythmical | /'riðmikəl,'riθ-/ |  | a. 有韵律的, 有节奏的；节律的 |  | general
urbanization | /.ә:bәnai'zeiʃәn/ | n. | 都市化；都市化, 人口城市集中 |  | society
inborn | /'inbɔ:n/ |  | a. 天生的；先天的 |  | general
horsepower | /'hɒ:spauә/ | n. | 马力；马力 |  | general
intoxication | /in.tɒksi'keiʃәn/ | n. | 使醉, 沉醉状态；中毒, 醉 |  | general
imprudent | /im'pru:dәnt/ |  | a. 轻率的, 鲁莽的 |  | general
symbiotic | /.simbai'ɒtik/ |  | a. 共栖的, 共生的；共生的 |  | environment
facetious | /fә'si:ʃәs/ |  | a. 滑稽的, 爱开玩笑的 |  | general
downcast | /'daunkɑ:st/ |  | a. 气馁的, 沮丧的 |  | general
doleful | /'dәulful/ |  | a. 悲哀的, 忧郁的, 阴沉的 |  | general
sulky | /'sʌlki/ |  | a. 生气的, 阴沉的 |  | general
faithfulness | /'feiθfulnis/ | n. | 忠诚, 诚实, 正确 |  | general
inversely |  | adv. | 相反地；反的, 反对 |  | general
kerosene | /'kerәsi:n/ | n. | 煤油, 火油, 灯油；煤油 |  | environment
mockingbird | /'mɒkiŋbә:d/ | n. | 嘲鸫 |  | general
pronghorn | /'prɒŋhɒ:n/ | n. | 叉角羚 |  | general
stellar | /'stelә/ |  | a. 星的, 似星的, 星球的, 主要的 |  | general
rhinoceros | /rai'nɒsәrәs/ | n. | 犀牛 |  | general
tensile | /'tensail/ |  | a. 可拉长的, 可伸长的, 张力的, 拉力；拉的 |  | general
odorless | /'әudәlis/ |  | a. 无嗅的, 没有气味的 |  | general
locomotion | /.lәukә'mәuʃәn/ | n. | 运动, 移动, 旅行；行动, 运动 |  | general
humanistic | /.hju:mә'nistik/ |  | a. 人本主义的, 人道主义的；人道主义的, 人文主义的, 人本主义的 |  | general
acoustical | /ә'ku:stikәl/ |  | a. 听觉的, 声学的 |  | general
larynx | /'læriŋks/ | n. | 喉头；喉 |  | culture
threateningly | /'θretnɪŋlɪ/ | adv. | 威胁地, 胁迫地, 危险地 |  | general
antisocial | /.ænti'sәuʃәl/ |  | 不爱社交的, 反社会的, 有害于公众利益的；不喜社交的 |  | society
outermost | /'autәmәust/ |  | a. 最外面的, 最远离中心的 |  | culture
virtuosity | /.vә:tju'ɒsiti/ | n. | 精湛技巧, 对古董等的爱好 |  | general
scuba | /'skju:bә/ | n. | 自携式水中呼吸器 |  | economy
glandular | /'^lændjulә/ |  | a. 腺的, 含腺的, 天生的, 固有的；腺的 |  | general
untie | /.ʌn'tai/ | v. | 解开；vi. 松开 |  | general
volleyball | /'vɒlibɒ:l/ | n. | 排球 |  | general
fecundity | /fi'kʌnditi/ | n. | 多产, 丰饶, 肥沃, 繁殖力；生殖能, 生殖力 |  | general
spiny | /'spaini/ |  | a. 多刺的, 尽是尖刺的, 尖刺状的, 麻 |  | general
