# word | phonetic | pos. | meaning | example | topic
gop |  | abbr. | 大老党（美国共和党的别称）（Grand Ol；地面观测站（Ground Observati |  | culture
reportedly | /ri'pɒ:tidli/ | adv. | 根据传说, 根据传闻, 据报道 |  | general
genuinely |  | adv. | 真诚地；诚实地 |  | general
colorful | /'kʌlәful/ |  | a. 华美的, 富有色彩的, 有趣的 |  | general
accurately | /'ækjurәtli/ | adv. | 正确地, 精确地 |  | general
honestly | /'ɒnistli/ | adv. | 真诚地, 公正地 |  | general
independently | /.indi'pendәntli/ | adv. | 独立地, 自立地 |  | culture
thou | /θau/ | pron. | 汝, 你, 尔 |  | general
thompson | /'tɔmpsn/ | n. | 汤普森（姓） |  | culture
importantly |  | adv. | 重要地；大量地 |  | general
neatly | /'ni:tli/ | adv. | 整洁地, 干净地, 匀称地 |  | general
philosophical | /.filә'sɒfikl/ |  | a. 哲学的, 冷静的, 达观的, 哲学上的 |  | general
les | /lei/ | abbr. | 发射脱离系统（Launch Escape S |  | technology
ron |  | abbr. | 研究法辛烷值（Research Octane |  | culture
explicitly |  | adv. | 明确地；明白地 |  | general
maxwell | /'mækswәl/ | n. | 麦克斯韦；麦克斯韦(磁通量单位) |  | general
semantic | /si'mæntik/ |  | a. 语义的；语义 |  | general
privately |  | adv. | 秘密地；私下地 |  | general
legally | /'li:gәli/ | adv. | 法律上, 合法地；法律上, 合法地, 法定地 |  | society
openly | /'әjpәnli/ | adv. | 公开地, 坦率地, 直率地, 公然地 |  | general
unaware | /.ʌnә'wєә/ |  | a. 未认识到的, 不知道的；不知道的, 不察觉的, 无意的 |  | general
beautifully | /'bju:tifuli/ | adv. | 美好地, 漂亮地 |  | general
swiftly | /'swiftli/ | adv. | 很快地, 即刻 |  | general
los | /lɔ:s/ | abbr. | 月球轨道航天器（Lunar Orbiter；视线（Line of Sight） |  | general
unacceptable | /.ʌnәk'septәbl/ |  | a. 无法接受的, 不受欢迎的；不能接受的, 不受欢迎的, 难以承认的 |  | general
bradford | /'brædfәd/ | n. | 布拉德福德（英格兰北部城市） |  | society
santa | /'sæntә/ | n. | 圣诞老人（等于Santa Claus） |  | general
abruptly | /ә'brʌptli/ | adv. | 突然地, 唐突地 |  | general
gothic | /'gɒθik/ | n. | 哥特风格；a. 哥特式的, 野蛮的 |  | culture
fertility | /fә'tiliti/ | n. | 肥沃, 丰饶, 生产力；生育力 |  | work
silently | /'sailәntli/ | adv. | 默默地, 静静地 |  | general
individually | /.indi'vidʒuәli/ | adv. | 以个人身分, 各个地, 独特地 |  | culture
adequately | /'ædikwәtli/ | adv. | 足够地, 适当地 |  | general
delightful | /di'laitful/ |  | a. 令人愉快的, 可爱的 |  | general
colourful | /'kʌlәful/ |  | a. 颜色丰富的, 鲜艳的, 艳丽的, 多色；有色的 |  | general
teenage | /'ti:nidʒ/ |  | a. 十三岁到十九岁的 |  | general
bitterly | /'bitәli/ | adv. | 怨恨地, 悲痛地, 残酷地 |  | general
unchanged | /.ʌn'tʃeindʒd/ |  | a. 无变化的；持稳的 |  | general
jointly | /'dʒɒintli/ | adv. | 共同地, 连带地 |  | work
dominance | /'dɔminәns/ | n. | 优势, 显性, 统治, 控制, 支配；控制, 扰势 |  | general
disciplinary | /'disiplinәri/ |  | a. 训练的, 纪律的, 训诫的；纪律的, 惩戒性的 |  | education
angrily | /'æŋgrili/ | adv. | 愤怒地 |  | general
technically | /'teknikli/ | adv. | 技术上, 学术上, 专门地 |  | education
sexually |  | adv. | 性别地；两性之间地 |  | general
nicely | /'naisli/ | adv. | 漂亮地, 谨慎地, 恰好地 |  | general
frankly | /'fræŋkli/ | adv. | 坦白地 |  | general
reluctantly | /rɪ'lʌktəntlɪ/ | adv. | 不情愿地, 勉强地 |  | general
vaguely | /'veigli/ | adv. | 含糊地, 暧昧地 |  | general
reluctance | /ri'lʌktәns/ | n. | 不情愿, 勉强；磁阻 |  | general
wartime | /'wɒ:taim/ | n. | 战时 |  | general
unclear | /.ʌn'kliә/ |  | a. 不易了解的, 不清楚的, 含混的 |  | general
credibility | /.kredi'biliti/ | n. | 可信用, 确实性, 可靠；证据能力, 可信程度, 确实性 |  | general
indirectly |  | adv. | 间接, 曲折, 迂回, 不直截了当, 不诚实；间接地 |  | general
strangely | /'streindʒli/ | adv. | 奇妙地, 奇怪地, 不可思议地 |  | general
constructive | /kәn'strʌktiv/ |  | a. 建设性的, 构造上的；构成的 |  | general
nelson | /'nelsn/ | n. | (摔跤用语)肩下握颈 |  | general
richmond |  | n. | 里士满（美国弗吉尼亚首府） |  | culture
ma'am | /mæm, mɑ:m, mәm/ | n. | 夫人, 女王, 公主 |  | general
telecom | /'telәkɔm/ |  | telecommunication 电信 |  | technology
dan | /dæn/ | n. | 段(柔道、围棋运动员的等级)；小车, 空中吊运车, 杓 |  | general
murphy | /'mә:fi/ | n. | 马铃薯 |  | general
allegedly | /ә'ledʒidli/ | adv. | 依其申述 |  | general
ministerial | /.mini'stiәriәl/ |  | a. 部长的, 内阁的, 执政的；部长的, 部的, 公使的 |  | society
keynes | /keinz/ | n. | 凯恩斯（英国经济学家） |  | economy
wembley |  |  | 文布利 |  | culture
behavioural | /bi'heivjәrәl/ |  | a. 行为的 |  | general
organisational |  |  | a. organise的变形 |  | work
geological | /.dʒiәu'lɒdʒikәl/ |  | a. 地质学的, 地质的 |  | general
franco | /'fræŋkәu/ |  | a. 免费的；全部费用在内价, 运费准免的 |  | general
bosnia | /'bɔzniә/ | n. | 波斯尼亚；波士尼亚 |  | culture
melissa | /mә'lisә/ |  | │蜜蜂花, 蜜里萨香草 |  | general
colitis | /kәu'laitis/ | n. | 结肠炎；结肠炎 |  | general
continuously | /kәn'tinjuәsli/ | adv. | 不断地, 连续地；连续地 |  | general
financially |  | adv. | 金融上；财政上 |  | economy
comfortably | /'kʌmfәtәbli/ | adv. | 安乐地, 舒服地, 宽裕地 |  | health
unexpectedly |  | adv. | 想不到的, 突然的, 意外的, 出乎意料的 |  | general
urgently |  | adv. | 急切地；迫切地 |  | general
fiercely | /'fiәsli/ | adv. | 猛烈地, 厉害地 |  | general
non | /nɔn/ | adv. | 非, 不 |  | general
curiously | /'kjuәriәsli/ | adv. | 好奇地 |  | general
appropriately |  | adv. | 适当的, 恰如其分的, 恰当的, 合适的 |  | general
watercolor |  | n. | 水彩颜料, 水彩画 |  | culture
manpower | /'mænpauә/ | n. | 人力；人力 |  | general
fundamentally | /fʌndә'mentәli/ | adv. | 基础, 首要, 主要, 十分重要, 基本 |  | general
extensively |  | adv. | 广大, 广延, 外延, 大面积(耕种), 粗 |  | general
powell | /'pәuәl, 'pauәl/ | n. | 鲍威尔（英国物理学家） |  | culture
hastily | /'heistili/ | adv. | 匆忙地, 急速地, 急躁地 |  | general
unlawful | /.ʌn'lɒ:ful/ |  | a. 非法的, 不正当的；不法, 不法的, 非法的 |  | society
nationally | /'næʃәnәli/ | adv. | 作为整个民族, 举国一致地, 全国性地 |  | general
mains |  | n. | 电源, 网路, 干线；输电干线 |  | work
palmer | /'pɑ:mә/ | n. | 朝圣者；变戏法的人 |  | general
lotus | /'lәjtәs/ | n. | 莲, 莲花, 荷花, 荷；LOTUS, 莲花公司 |  | economy
contractual | /kәn'træktʃuәl/ |  | a. 契约的；契约的, 契约性的 |  | culture
organizational | /.ɒ:gәnai'zeiʃәnәl/ |  | a. 组织的；组织的, 编制的, 机构的 |  | work
ukraine | /ju(:)'krein/ | n. | 乌克兰（原苏联一加盟共和国, 现已独立） |  | general
nina | /'ni:nә/ | n. | 尼娜（女名） |  | general
saddam |  | n. | 萨达姆（伊拉克前总统） |  | work
dos | /du:z/ |  | 磁盘操作系统；磁盘操作系统 |  | technology
multimedia | /.mʌlti'mi:diә/ | n. | 多媒体；多媒体 |  | culture
understandable | /.ʌndә'stændәbl/ |  | a. 可以理解的 |  | general
poorly | /'puәli/ | adv. | 贫穷地, 不充分地, 贫乏地；a. 身体不舒服的 |  | health
vigorously |  | adv. | 朝气蓬勃, 精力充沛, 壮健, 茁壮, 健壮 |  | general
preferably | /'prefәrәbli/ | adv. | 更可取地, 更好地, 更合意地 |  | general
incredibly | /in'kredәbli/ | adv. | 不能相信地 |  | general
unwanted | /.ʌn'wɒntid/ |  | a. 没人要的, 不需要的, 多余的 |  | general
enormously | /i'nɒ:mәsli/ | adv. | 非常地, 巨大地 |  | general
supportive | /sә'pɔ:tiv/ |  | a. 支撑, 支承, 资助, 赞助, 支援 |  | general
globalization | /,^lәjbәlai'zeiʃәn;-li'z-/ |  | 全球化, 普及到世界范围 |  | general
surgical | /'sә:dʒikl/ |  | a. 外科的, 外科医生的, 手术上的；n. 外科病例, 外科病房, 外科手术 |  | health
unfamiliar | /.ʌnfә'miljә/ |  | a. 不熟悉的 |  | general
urine | /'juәrin/ | n. | 小便, 尿；尿 |  | general
statewide | /'steitwaid/ |  | a. 全州的, 遍及全州的 |  | general
politely | /pә'laitli/ | adv. | 有礼貌地, 文雅地, 客气地 |  | general
biblical | /'biblikәl/ |  | a. 圣经的 |  | general
brightly | /'braitli/ | adv. | 生辉地, 明亮地, 鲜明地 |  | general
wildly |  | adv. | 狂暴地, 激动地, 狂热地, 鲁莽地, 轻率 |  | general
calmly | /'kɑ:mli/ | adv. | 平静地, 安静地, 冷静地 |  | general
honorary | /'ɒnәrәri/ |  | a. 荣誉的, 无报酬的, 道义上的；名誉的, 荣誉的 |  | general
progressively |  | adv. | 进步, 先进, 向前进, 不断前进, 累进 |  | general
historically | /his'tɔrikәli/ | adv. | 历史上地；从历史观点上说 |  | culture
vii |  | num. | 罗马数字 7 |  | technology
casually | /'kæʒjuәli/ | adv. | 偶然地, 临时地, 随便地 |  | general
ecclesiastical | /i.kli:zi'æstikәl/ |  | a. 教会的, 神职的, 牧师的 |  | general
modeling | /'mɔdliŋ/ | n. | 模特儿职业, 立体感；建模, 模型化, 模拟 |  | work
accountancy | /ә'kauntәnsi/ | n. | 会计工作, 会计学；会计工作, 会计学术, 会计职业 |  | education
creativity | /.kri:ei'tiviti/ | n. | 创造力, 创造性 |  | general
sociological | /.sәusiә'lɒdʒikl/ |  | a. 社会的, 社会学的 |  | society
consultative | /kәn'sʌltәtiv/ |  | a. 商议的, 协议的, 咨询的；咨询的, 商议的, 协议的 |  | general
stella |  |  | 星状绷法；星 |  | general
papal | /'peipl/ |  | a. 罗马教皇的, 教皇制度的 |  | society
rosa | /'rәuzә/ |  | 蔷薇, 玫瑰 |  | general
vietnamese | /'vjetnә'mi:z/ | n. | 越南人；越南语 |  | culture
intestinal | /in'testinәl/ |  | a. 肠的, 肠内的；肠的 |  | general
dexter | /'dekstә/ |  | a. 右侧的, 右边的, 幸运的, 吉利的；右的 |  | culture
ulcerative |  |  | a. (使)形成溃疡, (使)溃烂, (使)；溃疡的, 溃疡性的 |  | general
oesophageal | /i:,sɔfә'dʒi(:)әl/ |  | a. 食道；食管的 |  | general
halfway | /'hɑ:f'wei/ |  | a. 中途的, 不彻底的, 部分的；adv. 半路地, 在中途, 在半途 |  | general
downwards | /'daunwәdz/ | adv. | 向下 |  | general
luckily | /'lʌkili/ | adv. | 幸运地, 幸亏, 侥幸 |  | general
narrowly | /'nærәuli/ | adv. | 狭窄地, 严密地, 仔细地, 几乎不, 勉强 |  | general
suitably | /'sju:tәbli/ | adv. | 合适地, 适当地, 相配地 |  | general
meaningless | /'mi:niŋlis/ |  | a. 无意义的 |  | general
uncommon | /.ʌn'kɒmәn/ |  | a. 不寻常的, 非凡的, 罕有的；adv. 不平常地 |  | general
immensely | /i'mensli/ | adv. | 无限地, 广大地, 庞大地 |  | general
emotionally | /i'mәuʃәnәli/ | adv. | 在情绪上 |  | general
secretly | /'si:kritli/ | adv. | 秘密地, 背地里 |  | general
proudly | /'praudli/ | adv. | 傲慢地, 自大地, 得意洋洋地 |  | general
internationally | /.intә'næʃәnәli/ | adv. | 国际性地, 在国际间 |  | general
ineffective | /.ini'fektiv/ |  | a. 无效的；失效的, 无效的, 效率低的 |  | work
painfully | /'peinfuli/ | adv. | 痛苦地, 苦恼地, 费力地 |  | general
tactical | /'tæktikl/ |  | a. 战术的, 用兵上的, 策略的 |  | general
commercially |  | adv. | 商业上；通商上 |  | economy
eagerly |  | adv. | 渴望, 热衷于, 热切 |  | general
saut | /sәj/ |  | <法>n.(芭蕾舞用语)跳 |  | general
interestingly | /'intristiŋli/ | adv. | 有趣地 |  | general
accountable | /ә'kauntәbl/ |  | a. 负有责任的, 可说明的, 可解释的；负有责任的 |  | general
confidentiality |  |  | 机密性；保密 |  | general
viii |  | num. | 罗马数字8 |  | technology
terrorism | /'terәrizm/ | n. | 恐怖主义, 恐怖统治, 恐怖状态；胁迫, 暴政, 恐怖政治 |  | culture
timothy | /'timәθi/ | n. | 梯牧草；梯牧草, 牛草 |  | society
descriptive | /di'skriptiv/ |  | a. 描述的, 叙述的 |  | culture
anxiously | /'æŋʃәsli/ | adv. | 忧虑地, 不安地 |  | general
nervously |  | adv. | 焦急地；神经质地 |  | general
saunders | /'sɔ:ndәs/ |  | 檀木, 檀香 |  | general
faintly | /'feintli/ | adv. | 微弱地, 模糊地, 朦胧地 |  | general
legitimacy | /li'dʒitimәsi/ | n. | 合法, 正统, 正当；合法性, 正统性, 婚生 |  | society
sutherland | /'sʌðәlәnd(ʃiә(r))/ | n. | 萨瑟兰郡（英国苏格兰原郡名）；萨瑟兰 |  | general
auntie | /'ɑ:nti/ | n. | 阿姨, 姨妈, 舅妈, 姑妈, 伯母 |  | general
lang | /læŋ/ | abbr. | 语言（language） |  | culture
paisley | /'peizli/ |  | (苏格兰)佩斯利涡纹旋花呢(的) |  | general
cholesterol | /kә'lestәrɒl/ | n. | 胆固醇；胆固醇 |  | general
marc | /mɑ:k/ | n. | 榨渣；机器可读目录 |  | general
gloria | /'^lɔ:riә/ | n. | 地质用远程斜向声纳（Geological L |  | general
morse | /mɒ:s/ | n. | 摩尔斯电码 |  | general
thoughtfully |  | adv. | 沉思地；体贴地, 亲切地 |  | general
inflammatory | /in'flæmәtәri/ |  | a. 激动的, 煽动的, 炎症性的；炎的, 炎性的 |  | general
graphical | /'^ræfikәl/ |  | a. 图的, 记录的, 图示的, 图解的；图解式的 |  | general
relational | /ri'leiʃәnәl/ |  | a. 有关系的, 有联系的, 亲属的, 有亲；相关的, 关系的 |  | general
dana |  | n. | 美国德纳（美国汽车公司） |  | economy
duodenal | /.dju:ә'di:nl/ |  | a. 十二指肠的；十二指肠的 |  | general
mucosal |  |  | 粘膜的 |  | general
wrongly |  | adv. | 错误地, 不恰当地, 不正确地, 不正直地 |  | general
critically | /'kritikәli/ | adv. | 批评性地, 审慎地, 精密地 |  | general
mildly | /'maildli/ | adv. | 柔和地, 和善地, 适度地 |  | general
unsure | /.ʌn'ʃuә/ |  | a. 不肯定的, 不确定的, 没有自信的 |  | general
unpopular | /'ʌn'pɔpjulә/ |  | a. 不得人心的, 不受欢迎的, 不流行的 |  | general
conveniently |  |  | a. 方便, 合宜 |  | general
seriousness | /'siәriәsnis/ | n. | 严肃, 认真, 严重性 |  | general
warmly | /'wɒ:mli/ | adv. | 亲切地, 温暖地, 热心地 |  | general
reminiscent | /.remi'nisnt/ |  | a. 回忆的, 怀旧的；n. 往事叙述者, 回忆录作者 |  | general
mutually | /'mju:tʃuәli/ | adv. | 互相地, 互助 |  | general
dangerously |  | adv. | 危险, 不安全 |  | general
logically | /'lɔdʒikәli/ | adv. | 逻辑, 合乎逻辑, 符合逻辑, 逻辑上, 有 |  | general
inning | /'iniŋ/ | n. | 一局, 挨次轮换, 执政期, 围垦 |  | general
intensely | /ɪn'tenslɪ/ | adv. | 强烈地；极度 |  | general
drunken | /'drʌŋkәn/ |  | a. 酒醉的 |  | general
blog |  | n. | 博客；部落格 |  | general
unrealistic | /.ʌnriә'listik/ |  | a. 不切实际的, 幻想的 |  | general
internally | /in'tәnәli/ |  | 内部的 |  | general
centrally | /'sentrәli/ | adv. | 在中心, 在中央 |  | general
arguably | /'ɑ:ɡjuәbli/ | adv. | 可论证地；可争辩地 |  | general
morally | /'mɒrәli/ | adv. | 道德上, 德性上, 有道德地 |  | general
