# word | phonetic | pos. | meaning | example | topic
sales |  |  | a. 销售的；销售 |  | economy
luck | /lʌk/ | n. | 运气, 幸运, 好运, 侥幸；vi. 靠好运成功 |  | general
guidance | /'gaidns/ | n. | 指导, 领导；导 |  | education
statistics | /stә'tistiks/ | n. | 统计学, 统计资料；统计信息 |  | society
distinct | /dis'tiŋkt/ |  | a. 清楚的, 显著的, 不同的 |  | general
nervous | /'nә:vәs/ |  | a. 神经紧张的, 不安的, 神经的；神经的 |  | general
conscious | /'kɒnʃәs/ |  | a. 有意识的, 知觉的, 觉察的；有意识的, 清醒的 |  | general
awful | /'ɒ:ful/ |  | a. 可怕的, 庄严的, 虔敬的 |  | general
impressive | /im'presiv/ |  | a. 给人深刻印象的, 威严的 |  | general
strategic | /strә'ti:dʒik/ |  | a. 战略的, 战略上的；战略的 |  | culture
theoretical | /θiә'retikәl/ |  | a. 理论的, 理论上的, 假设的, 推理的；理论的 |  | general
alongside | /ә'lɒŋ'said/ | adv. | 在旁边, 靠拢着；prep. 在...旁边, 与...在一起 |  | general
accurate | /'ækjurәt/ |  | a. 正确的, 精确的；准确的, 精确的 |  | general
visible | /'vizәbl/ |  | a. 看得见的, 明显的, 显然的；n. 可见物 |  | general
precise | /pri'sais/ |  | a. 精确的, 严谨的, 明确的；精密的, 正确的 |  | general
economics | /.i:kә'nɒmiks/ | n. | 经济学；经济学 |  | economy
ultimately | /'ʌltimәtli/ | adv. | 最后, 最终；最后, 终究, 总之 |  | general
percent | /pә'sent/ | n. | 百分比, 百分数, 部分；百分率 |  | general
violent | /'vaiәlәnt/ |  | a. 暴力的, 猛烈的, 激烈的, 极端的 |  | general
sensible | /'sensәbl/ |  | a. 有感觉的, 敏感的, 明智的；可感觉的 |  | general
psychological | /.saikә'lɒdʒikәl/ |  | a. 心理学的, 精神上的, 心灵的；心理上的, 心理学的 |  | health
tennis | /'tenis/ | n. | 网球 |  | general
readily | /'redili/ | adv. | 迅速地, 轻易地, 乐意地 |  | general
monetary | /'mʌnitәri/ |  | a. 货币的, 金钱的；货币的, 金融的 |  | economy
thereby | /'ðєәbai/ | adv. | 因此 |  | general
pacific | /pә'sifik/ | n. | 太平洋；a. 太平洋的, 太平洋沿岸的, 爱好和平的 |  | general
structural | /'strʌktʃәrәl/ |  | a. 结构的, 建筑的；结构的 |  | health
desperate | /'despәrәt/ |  | a. 不顾一切的, 危急的, 令人绝望的 |  | general
overseas | /'әuvә'si:z/ |  | a. 海外的, 国外的；adv. 在海外, 在国外 |  | general
vulnerable | /'vʌlnәrәbl/ |  | a. 易受伤害的, 有弱点的, 易受影响的；易损的 |  | general
publicity | /pʌb'lisiti/ | n. | 名声, 宣传, 公开场合；宣传, 广告 |  | general
medieval | /.medi'i:vl/ |  | a. 中古的, 中世纪的 |  | general
judicial | /dʒu:'diʃәl/ |  | a. 法庭的, 公正的, 审判上的, 司法的；司法的, 审判上的, 法官的 |  | general
nowhere | /'nәuhwєә/ | adv. | 无处, 到处都无 |  | general
undoubtedly | /ʌn'dajtidli/ | adv. | 无疑, 必定, 确实地 |  | general
imperial | /im'piәriәl/ |  | a. 帝王的, 宗主国的, 至尊的, 壮丽的；n. 特等品 |  | general
experimental | /ik.speri'mentәl/ |  | a. 实验的, 根据实验的；实验的 |  | general
modest | /'mɒdist/ |  | a. 谦逊的, 羞怯的, 端庄的, 适度的；适当的 |  | general
generous | /'dʒenәrәs/ |  | a. 慷慨的, 有雅量的, 大量的, 丰富的 |  | general
barely | /'bєәli/ | adv. | 几乎不 |  | general
intense | /in'tens/ |  | a. 非常的, 强烈的, 紧张的, 热情的；强的 |  | general
historic | /hi'stɒrik/ |  | a. 历史上著名的, 有历史性的 |  | culture
rational | /'ræʃәnl/ |  | a. 理性的, 合理的；n. 有理数 |  | general
reliable | /ri'laiәbl/ |  | a. 可靠的, 可信赖的；可靠的, 可信赖的, 确实的 |  | general
identical | /ai'dentikәl/ |  | a. 同一的, 恒等的, 完全相同的；同一的, 同等的 |  | general
pregnant | /'pregnәnt/ |  | a. 怀孕的, 充满的, 思想丰富的, 成果；妊娠的, 有孕的 |  | general
liable | /'laiәbl/ |  | a. 有义务的, 应负责的, 有...倾向的；有责任的, 可受处理的, 应受罚的 |  | general
namely | /'neimli/ | adv. | 即, 就是, 换句话说 |  | general
superb | /sju'pә:b/ |  | a. 极度的, 华丽的, 极好的 |  | general
desirable | /di'zairәbl/ |  | a. 令人想望的, 可取的 |  | general
physically | /'fizikli/ | adv. | 按自然规律, 完全地, 实际上, 真正地 |  | environment
straightforward | /streit'fɒ:wәd/ |  | a. 笔直的, 率直的, 明确的, 简单的 |  | general
convenient | /kәn'vi:njәnt/ |  | a. 方便的, 合宜的；适当的, 合理而可行的, 方便的 |  | general
tremendous | /tri'mendәs/ |  | a. 巨大的, 非常的, 可怕的 |  | technology
naked | /'neikid/ |  | a. 裸体的, 无装饰的, 无保护的, 赤贫；裸露的 |  | work
literally | /'litәrәli/ | adv. | 逐字地, 按照字面上地, 不夸张地 |  | general
magnificent | /mæg'nifisnt/ |  | a. 华丽的, 高尚的, 宏伟的 |  | general
chemistry | /'kemistri/ | n. | 化学, 化学过程；化学 |  | general
diplomatic | /.diplә'mætik/ |  | a. 外交的, 老练的；外交的, 外交上的, 文献上的 |  | general
whereby | /(h)weә'bai/ | adv. | 靠什么, 如何, 为何, 靠那个, 因此；因此, 由是 |  | general
mathematics | /.mæθә'mætiks/ | n. | 数学；数学 |  | general
intelligent | /in'telidʒәnt/ |  | a. 聪明的, 智能的, 了解的 |  | general
ridiculous | /ri'dikjulәs/ |  | a. 荒谬的, 可笑的 |  | general
aggressive | /ә'gresiv/ |  | a. 侵略的, 挑畔的, 进取的；侵略的, 爱挑衅的, 行为过火的 |  | general
decent | /'di:sәnt/ |  | a. 有分寸的, 得体的, 大方的 |  | society
explicit | /ik'splisit/ |  | a. 详述的, 清楚的, 直言的 |  | general
comparable | /'kɒmpәrәbl/ |  | a. 可比较的, 比得上的 |  | general
delicate | /'delikәt/ |  | a. 细致优雅的, 微妙的, 美味的；柔弱的 |  | general
subtle | /'sʌtl/ |  | a. 敏锐的, 精细的, 狡猾的, 稀薄的；锐敏的 |  | general
random | /'rændәm/ | n. | 随意, 随机；a. 任意的, 随便的, 胡乱的, 随机的 |  | general
intensive | /in'tensiv/ |  | a. 加强的, 内涵的, 集中的；n. 加强器 |  | work
elegant | /'eligәnt/ |  | a. 优雅的, 端庄的, 高雅的 |  | general
commonwealth | /'kɔmәnwelθ/ | n. | 共和国；联邦 |  | work
consensus | /kәn'sensәs/ | n. | 合意, 一致, 同感；合意 |  | general
genetic | /dʒi'netik/ |  | a. 创始的, 遗传的, 起源的, 遗传学的；生殖的, 遗传的 |  | general
splendid | /'spendid/ |  | a. 光亮的, 了不起的, 灿烂的, 壮丽的 |  | general
exclusively | /ik'sklu:sivli/ | adv. | 排他地, 仅仅, 专门, 只, 仅, 唯一地 |  | general
enroll | /in'rәul/ | v. | 登记, 使加入；vi. 参军, 注册 |  | culture
scarcely | /'skɑ:sli/ | adv. | 简直不, 一定不, 仅仅 |  | general
occupational | /.ɒkju'peiʃәnl/ |  | a. 职业的, 军事占领的；职业的 |  | economy
horrible | /'hɒrәbl/ |  | a. 可怕的, 遭透的, 极讨厌的 |  | general
equilibrium | /.i:kwi'libriәm/ | n. | 平衡, 平静, 均衡；平衡 |  | general
chaos | /'keiɒs/ | n. | 大混乱, 混沌；混沌 |  | general
awkward | /'ɒ:kwәd/ |  | a. 笨拙的, 棘手的 |  | work
invariably | /in'vєәriәbli/ | adv. | 不变化地, 恒定地, 始终如一地 |  | general
precious | /'preʃәs/ |  | a. 宝贵的, 珍贵的, 过于精致的, 珍爱 |  | economy
forthcoming | /'fɒ:θ'kʌmɑŋ/ |  | a. 即将来临的；n. 来临 |  | general
artistic | /ɑ:'tistik/ |  | a. 艺术的, 艺术家的, 富有艺术性的 |  | culture
accessible | /әk'sesәbl/ |  | a. 易接近的, 可进入的, 可使用的, 易 |  | general
jewelry | /'dʒu:әlri/ | n. | 珠宝, 珠宝类 |  | general
hitherto | /.hiðә'tu:/ | adv. | 迄今, 至今 |  | general
dynamic | /dai'næmik/ |  | a. 动态的, 有活力的, 有力的, 动力的；n. 动力, 动态 |  | general
worthwhile | /'wә:θ'hwail/ |  | a. 值得花时间的, 值得做的, 有真实价值 |  | economy
sympathetic | /.simpә'θetik/ |  | a. 有同情心的, 合意的, 赞成的；n. 交感神经, 容易感受的人 |  | culture
regardless | /ri'gɑ:dlis/ |  | a. 不管, 不注意, 不顾 |  | general
ambitious | /æm'biʃәs/ |  | a. 有野心的, 抱负不凡的, 雄心勃勃的 |  | general
integrity | /in'tegriti/ | n. | 正直, 廉正, 完整；完整性 |  | general
naval | /'neivl/ |  | a. 海军的, 军舰的, 有舰队的；海军的, 军舰的, 船的 |  | general
electronics | /.ilek'trɒniks/ | n. | 电子学；电子学 |  | environment
practically | /'præktikli/ | adv. | 几乎, 差不多, 事实上 |  | general
enthusiastic | /in.θju:zi'æstik/ |  | a. 狂热的, 热心的, 热烈的 |  | general
loyal | /'lɒiәl/ |  | a. 忠诚的, 忠实的, 忠贞的 |  | general
suspicious | /sә'spiʃәs/ |  | a. 可疑的, 多疑的, 怀疑的；怀疑的, 令人怀疑的, 可疑的 |  | general
fatal | /'feitәl/ |  | a. 致命的, 重大的, 命运注定的, 粗心；致命的, 致死的 |  | general
uncomfortable | /.ʌn'kʌmfәtәbl/ |  | a. 不舒服的, 不自在的, 不安的 |  | health
rigid | /'ridʒid/ |  | a. 坚硬的, 刚性的, 严格的, 精密的 |  | general
immense | /i'mens/ |  | a. 极广大的, 无边的, 非常好的 |  | general
minimal | /'miniml/ |  | a. 最小的, 极微的, 最小限度的；最小的, 最低的 |  | general
productive | /prә'dʌktiv/ |  | a. 能生产的, 有生产价值的, 多产的；产出性的, 产生性的 |  | work
dreadful | /'dredful/ |  | a. 可怕的 |  | general
coastal | /'kәustәl/ |  | a. 海岸的, 沿海的, 沿岸的；海岸的, 沿海的 |  | general
doubtful | /'dautful/ |  | a. 可疑的, 疑心的, 不明确的；怀疑的, 有疑问的, 未确的 |  | general
useless | /'ju:slis/ |  | a. 无用的, 无效的, 无益的；无用, 无价值, 无效 |  | general
behalf | /bi'hɑ:f/ | n. | 利益, 方面 |  | culture
sacred | /'seikrid/ |  | a. 神圣的, 献给上帝的, 庄严的, 祭祀；神圣的, 不可侵犯的 |  | culture
utterly | /'ʌtәli/ | adv. | 完全地, 全然, 绝对 |  | general
furious | /'fjuәriәs/ |  | a. 狂怒的, 激烈的, 吵闹的 |  | general
sunlight | /'sʌnlait/ | n. | 日光；日光, 太阳光 |  | general
surplus | /'sә:plәs/ | n. | 剩余, 过剩, 盈余；a. 过剩的, 剩余的 |  | general
negligence | /'neglidʒәns/ | n. | 疏忽, 粗心大意, 忽视；疏忽, 过失 |  | general
parental | /pә'rentәl/ |  | a. 父母亲的, 做双亲的, 作为渊源的；父母的, 双亲的 |  | work
inherent | /in'hiәrәnt/ |  | a. 固有的, 与生俱来的；固有的, 生来的 |  | general
linear | /'liniә/ |  | a. 线的, 直线的, 线状的；线性 |  | general
calcium | /'kælsiәm/ | n. | 钙；钙Ca |  | culture
incredible | /in'kredәbl/ |  | a. 难以置信的 |  | general
fantastic | /fæn'tæstik/ |  | a. 奇妙的, 稀奇的, 空想的 |  | general
website |  | n. | 网站（全球资讯网的主机站） |  | technology
intact | /in'tækt/ |  | a. 尚未被人碰过的, 原封不动的, 完整的；完整的, 无伤的 |  | general
redundant | /ri'dʌndәnt/ |  | a. 多余的, 过多的, 冗长的；过多的, 多余的 |  | general
seemingly | /'si:miŋli/ | adv. | 看来似乎, 表面上看来 |  | general
humanity | /hju:'mæniti/ | n. | 人性, 人类, 博爱 |  | general
likewise | /'laikwaiz/ | adv. | 同样地, 也 |  | general
miserable | /'mizәrәbl/ |  | a. 悲惨的；痛苦的 |  | general
unconscious | /.ʌn'kɒnʃәs/ |  | a. 未意识到的, 无意识的, 无知觉的；人事不省的, 神志丧失的 |  | general
fame | /feim/ | n. | 名望, 名声, 传说 |  | general
cheerful | /'tʃiәful/ |  | a. 快活的, 高兴的, 兴高采烈的 |  | general
orthodox | /'ɒ:θәdɒks/ |  | a. 正统的, 传统的, 惯常的 |  | culture
propaganda | /.prɒpә'gændә/ | n. | 宣传, 宣传活动；宣传 |  | general
inland | /'inlәnd/ |  | a. 内陆的, 国内的；n. 内地 |  | general
implicit | /im'plisit/ |  | a. 暗示的, 含蓄的, 固有的, 绝对的；不讲明的, 含蓄的 |  | general
corps | /kɒ:/ | n. | 军, 队, 部队, 兵种；对, 团 |  | general
subjective | /sәb'dʒektiv/ |  | a. 主观的, 个人的；主观的, 自觉的 |  | general
spatial | /'speiʃәl/ |  | a. 空间的, 受空间条件限制的, 占地位的；隙的, 间隙的, 腔的 |  | general
cautious | /'kɒ:ʃәs/ |  | a. 谨慎的, 小心的 |  | general
incidentally | /.insi'dentәli/ | adv. | 伴随地, 偶然, 顺便 |  | general
confidential | /.kɒnfi'denʃәl/ |  | a. 机密的, 获他人信赖的, 易于信任他人；秘密件 |  | general
thorough | /'θʌrә/ |  | a. 十分的, 彻底的 |  | general
ignorance | /'ignәrәns/ | n. | 无知, 愚味；无知, 不知情, 愚昧 |  | education
glorious | /'glɒ:riәs/ |  | a. 光荣的 |  | general
coherent | /kәu'hiәrәnt/ |  | a. 互相耦合的, 清晰的, 明了的，凝聚性 |  | culture
ashamed | /ә'ʃeimd/ |  | a. 惭愧的, 羞耻的 |  | general
bizarre | /bi'zɑ:/ |  | a. 奇异的 |  | general
apparatus | /.æpә'reitәs/ | n. | 装置, 器具, 器官；仪器 |  | culture
wicked | /'wikid/ |  | a. 坏的, 邪恶的, 缺德的, 刻毒的 |  | general
arbitrary | /'ɑ:bitrәri/ |  | a. 任意的, 武断的, 专治的, 霸道的 |  | economy
formidable | /'fɒ:midәbl/ |  | a. 巨大的, 优秀的, 可怕的, 艰难的 |  | general
amid | /ә'mid/ | prep. | 在其间, 在其中；在...中 |  | general
biology | /bai'ɒlәdʒi/ | n. | 生物学；生物 |  | work
adjacent | /ә'dʒeisәnt/ |  | a. 毗连的, 邻近的, 连接的；相邻的, 邻位的, 交界的 |  | culture
weird | /wiәd/ |  | a. 怪异的, 超自然的, 不可思议的；n. 命运, 预言, 符咒 |  | environment
renaissance | /ri'neisәns/ | n. | 复活, 复兴, 文艺复兴；a. 文艺复兴的 |  | culture
delicious | /di'liʃәs/ |  | a. 美味的 |  | general
vivid | /'vivid/ |  | a. 生动的, 鲜明的, 鲜艳的, 活泼的 |  | culture
vigorous | /'vigәrәs/ |  | a. 精力充沛的, 元气旺盛的, 茁壮的 |  | health
duly | /'dju:li/ | adv. | 恰当地, 充分地, 适当地, 及时地 |  | general
uneasy | /.ʌn'i:zi/ |  | a. 心神不安的, 不自在的, 不稳定的 |  | general
spontaneous | /spɒn'teiniәs/ |  | a. 自然的, 自发的, 未经琢磨的；自发的, 特发的, 自生的 |  | environment
momentum | /mәu'mentәm/ | n. | 动力, 动量；动量 |  | general
imaginative | /i'mædʒinәtiv/ |  | a. 想像的, 虚构的 |  | culture
outset | /'autset/ | n. | 着手, 开头, 最初 |  | general
prestige | /pre'sti:ʒ/ | n. | 声望, 威望, 威信；商誉, 声誉 |  | general
jealous | /'dʒelәs/ |  | a. 嫉妒的, 羡慕的, 留心的, 戒备的 |  | general
sydney | /'sidni/ | n. | 悉尼（澳大利亚港市） |  | general
axis | /'æksis/ | n. | 轴；坐标轴 |  | culture
mandatory | /'mændәtәri/ |  | a. 命令的, 托管的；受托者, 命令者 |  | general
optional | /'ɒpʃәnl/ |  | a. 可选择的, 随意的；选购的 |  | general
vegetation | /.vedʒi'teiʃәn/ | n. | 植物；贽生物, 贽疣, 增殖体 |  | culture
forestry | /'fɒristri/ | n. | 林学, 森林地；林地, 林学, 林业 |  | environment
aviation | /.eivi'eiʃәn/ | n. | 航空, 航空学, 飞行术；航空, 飞行, 飞行术 |  | culture
vicious | /'viʃәs/ |  | a. 邪恶的, 堕落的, 品性不端的, 恶毒；缺点的, 恶的 |  | general
supposedly | /sә'pәuzidli/ | adv. | 想象上, 看上去像, 被认为是, 恐怕, 按 |  | general
fragile | /'frædʒail/ |  | a. 易碎的, 脆的；脆弱的, 脆的 |  | general
predictable | /pri'diktәbl/ |  | a. 可预言的 |  | general
dense | /dens/ |  | a. 密集的, 浓厚的 |  | general
notorious | /nәu'tɒ:riәs/ |  | a. 声名狼藉的, 臭名昭著的, 众人皆知的 |  | general
doubtless | /'dautlis/ |  | a. 无疑的, 确定的；adv. 无疑地, 确定地 |  | general
eternal | /i'tә:nl/ |  | a. 永恒的, 永远的, 不灭的 |  | general
infinite | /'infinit/ | n. | 无限, 神；a. 无穷的, 无限的, 极大的 |  | culture
livestock | /'laivstɒk/ | n. | 家畜；牲畜, 家畜 |  | general
departmental | /.di:pɑ:t'mentәl/ |  | a. 部门的, 各部的, 分科的 |  | culture
archaeological | /.ɑ:kiә'lɒdʒikl/ |  | a. 考古学的, 考古学上的 |  | general
quantitative | /'kwɒntitәtiv/ |  | a. 数量的, 定量的；定量的, 数量的 |  | general
prone | /prәun/ |  | a. 俯伏的, 面向下的, 有...倾向的；旋前的, 伏的, 俯的 |  | general
cynical | /'sinikәl/ |  | a. 愤世嫉俗的, 讽刺的, 冷嘲的 |  | general
enrollment | /in'rәulmәnt/ | n. | 登记, 注册, 入伍；登记, 注册 |  | education
gratitude | /'grætitju:d/ | n. | 感激之情 |  | general
destructive | /di'strʌktiv/ |  | a. 毁灭性的, 破坏的, 有害的；破坏的, 毁坏的 |  | general
potent | /'pәutnt/ |  | a. 有力的, 有说服力的, 有效的；有力的, 有性交能力的 |  | general
sceptical | /'skeptikl/ |  | a. 怀疑论的, 怀疑的 |  | culture
debris | /'deibri:/ | n. | 碎片, 残骸；碎屑 |  | general
ambiguous | /æm'bigjuәs/ |  | a. 不明确的, 模棱两可的；意思含糊的, 模棱两可的, 暧昧的 |  | work
customary | /'kʌstәmәri/ |  | a. 习惯的, 惯常的；通常的, 习惯的 |  | general
harmful | /'hɑ:mful/ |  | a. 有害的, 伤害的 |  | general
onset | /'ɒnset/ | n. | 开始, 攻击, 进攻；起始, 开始 |  | general
superficial | /.sju:pә'fiʃәl/ | n. | 表面, 外表；a. 表面的, 肤浅的, 面积的 |  | general
plausible | /'plɒ:zibl/ |  | a. 貌似真实的, 貌似合理的, 说得煞有其；花言巧语的, 似乎有理的 |  | general
hygiene | /'haidʒi:n/ | n. | 卫生保健, 卫生学, 保健法；卫生, 卫生学 |  | health
optimism | /'ɒptimizm/ | n. | 乐观主义, 乐观, 乐天；乐观主义, 乐观 |  | general
conspicuous | /kәn'spikjuәs/ |  | a. 显著的, 显眼的, 出众的 |  | general
kin | /kin/ | n. | 亲戚, 同族, 血缘关系, 家族；a. 有亲属关系的, 性质类似的, 同类的 |  | general
analytical | /.ænә'litikl/ |  | a. 分析的, 善于分析的, 解析的；分析的 |  | health
conversely | /'kɔnv\\\\:sli/ | adv. | 相反, 逆, 颠倒, 反题, 反 |  | general
pragmatic | /præ^'mætik/ |  | a. 忙碌的, 爱管闲事的, 自负的, 固执；闲断的, 固执己见的, 实用主义的 |  | general
sulphur | /'sʌlfә/ | n. | 硫, 硫磺；硫 |  | general
linguistics | /liŋ'gwistiks/ | n. | 语言学 |  | culture
beforehand | /bi'fɒ:hænd/ | adv. | 预先 |  | general
dubious | /'dju:biәs/ |  | a. 可疑的, 不确定的 |  | general
marital | /'mæritәl/ |  | a. 丈夫的, 婚姻的, 夫妇间的；婚姻的 |  | general
graphic | /'græfik/ |  | a. 生动的, 轮廓分明的, 绘画似的, 图；图形的 |  | technology
marvelous | /'mɑ:vәlәs/ |  | a. 令人惊异的, 了不起的, 不平常的 |  | general
impetus | /'impitәs/ | n. | 动力, 推动力, 动量；冲动, 动能, 起始(病) |  | general
renowned | /ri'naund/ |  | a. 有名的, 有声誉的 |  | general
uneven | /.ʌn'i:vәn/ |  | a. 不平坦的, 不均等的, 奇数的 |  | general
hazardous | /'hæzәdәs/ |  | a. 危险的, 冒险的, 碰运气的；危险的, 冒险的, 碰运气的 |  | general
terrific | /tә'rifik/ |  | a. 非常好的, 极端的, 可怕的 |  | general
spacious | /'speiʃәs/ |  | a. 广大的, 宽广的 |  | general
rigorous | /'rigәrәs/ |  | a. 严厉的, 严酷的, 严格的, 苛刻的 |  | general
restless | /'restlis/ |  | a. 不安静的, 慌张的, 休息不充分的；不安静的, 不宁的 |  | health
fabulous | /'fæbjulәs/ |  | a. 传说的, 寓言般的, 难以置信的 |  | culture
lens | /lenz/ | n. | 透镜, 镜头, 镜片, 晶状体；vt. 给...摄影 |  | general
elementary | /.eli'mentәri/ |  | a. 初步的, 基本的；元素的, 基础的, 初级的 |  | education
ongoing | /'ɒngәuiŋ/ |  | a. 前进的, 进行的, 不间断的；n. 前进, 发展 |  | general
consecutive | /kәn'sekjutiv/ |  | a. 连续的, 联贯的；连续的 |  | general
prestigious | /pre'stidʒiәs/ |  | a. 享有声望的 |  | general
maternal | /mә'tә:nl/ |  | a. 母亲的, 母系的, 母方的；属母的, 母的, 母性的 |  | general
resistant | /ri'zistәnt/ | n. | 抵抗者, 反抗者；a. 抵抗的, 反抗的, 耐...的 |  | general
cumulative | /'kju:mjulәtiv/ |  | a. 累积的；蓄积的, 累积的 |  | general
latent | /'leitnt/ |  | a. 潜伏性的, 隐藏的；n. 隐约指纹 |  | general
cocaine | /kә'kein/ | n. | 可卡因, 古柯碱；可卡因 |  | general
numerical | /nju:'merikl/ |  | a. 数字的, 数值的, 以数字表示的, 擅；数字的, 用数字表示的 |  | technology
offshore | /ɒ:f'ʃɒ:/ |  | a. 海面的, 吹向海面的, 近海的；adv. 向海面 |  | general
