# word | phonetic | pos. | meaning | example | topic
radon | /'reidɒn/ | n. | 氡；氡Rn |  | health
unholy | /.ʌn'hәuli/ |  | a. 不神圣的, 不虔诚的, 邪恶的 |  | general
uneconomic |  |  | a. 不经济的, 浪费的；不经济的, 不实用的 |  | environment
undefined | /.ʌndi'faind/ |  | a. 不明确的, 未下定义的；未阐明的, 未解释的, 不确定的, 不明确的 |  | general
melodramatic | /.melәdrә'mætik/ |  | a. 传奇剧风格的, 戏剧似的, 夸张的 |  | general
hurtful | /'hә:tful/ |  | a. 造成损害的, 伤感情的, 伤害的 |  | general
frankness | /'fræŋknis/ | n. | 率直, 坦白 |  | general
audacity | /ɒ:'dæsiti/ | n. | 大胆, 厚颜无耻 |  | general
attainable | /ә'teinәbl/ |  | a. 可到达的, 可得到的 |  | general
unofficially |  | adv. | 非公认地；非正式地 |  | general
inappropriately |  | adv. | 不恰当, 不适当, 不适宜, 不合时宜, 不 |  | general
rockfish | /'rɒkfiʃ/ | n. | 岩鱼 |  | economy
cowardice | /'kauәdis/ | n. | 懦弱 |  | general
persuasively |  | adv. | 口才好地；令人信服地 |  | general
unwary | /.ʌn'wєәri/ |  | a. 不谨慎的, 不注意的, 粗心的, 易上 |  | general
unfavourably | /ʌnˈfeɪvrəblɪ/ | adv. | 不适宜地；不利地 |  | general
nonsignificant | /'nɔnsi^'nifikәnt/ |  | a. 无足轻重的, 无意义的, 不足道的 |  | general
undiscovered | /.ʌndi'skʌvәd/ |  | a. 未发现的, 未被发觉的, 尚不为人所知 |  | general
undeterred | /ʌndi'tә:d/ |  | a. 未被吓住的 |  | general
steadfastly | /'stedfɑ:stlɪ/ | adv. | 踏实地, 不变地；岿然 |  | general
sensitively |  | adv. | 易感知地；敏感地 |  | general
apace | /ә'peis/ | adv. | 快速地, 急速地 |  | general
unwillingly | /ʌn'wɪlɪŋlɪ/ | adv. | 不情愿地, 勉强地；勉勉强强 |  | general
unsuited | /.ʌn'sju:tid/ |  | a. 不适宜的, 不适合的, 不适当的 |  | general
unsavoury | /,ʌn'seivәri/ |  | a. 没有味道的, 没有香味的, 难吃的 |  | general
tirelessly |  | adv. | 不知疲倦地；不屈不挠地 |  | general
mammography | /mә'mɔ^rәfi/ | n. | 早期胸部肿瘤X射线测定法；乳房X线照相术 |  | general
rudely | /'ru:dli/ | adv. | 无礼地, 粗鲁地, 粗陋地 |  | general
inexplicably | /in'eksplikәbli/ | adv. | 说不清 |  | general
avidly |  | adv. | 贪心地；热心地 |  | general
uncharacteristic |  |  | a. 无典型特征的；不典型的 |  | general
indulgent | /in'dʌldʒәnt/ |  | a. 纵容的, 任性的, 宽容的 |  | general
eloquently |  | adv. | 善辩地；富于表现力地 |  | general
sacrificial | /.sækri'fiʃәl/ |  | a. 牺牲的, 献祭的, 亏本的 |  | general
appallingly | /ә'pɔ:liŋli/ | adv. | 令人毛骨悚然地 |  | general
uninformed | /'ʌnin'fɔ:md/ |  | a. 没有得到通知的, 未被告知的, 无知的；未被告知的, 未得通知的, 无知的 |  | general
fortnightly | /'fɒ:tnaitli/ |  | a. 每两星期一次的, 隔周发行的；n. 双周刊 |  | general
disappointingly | /,disə'pɔintiŋli/ | adv. | 令人失望地 |  | general
upmarket | /ˌʌpˈmɑ:kɪt/ |  | a. 高级的, 高档的, 高端的 |  | economy
unintentionally | /ˌʌnɪn'tenʃənəlɪ/ | adv. | 非故意地, 非存心地；无意之中 |  | general
unharmed | /'ʌn'hɑ:md/ |  | a. 没有受伤的, 没有受害的, 无恙的 |  | general
eternally | /i't\\\\:nәli/ | adv. | 永恒地, 常常 |  | general
cowardly | /'kauәdli/ |  | a. 怯懦的, 懦弱的；胆小的 |  | culture
clockwork | /'klɒkwә:k/ | n. | 钟表装置, 发条装置；时钟开关 |  | general
childlike | /'tʃaillaik/ |  | a. 孩子似的, 天真烂漫的 |  | general
boldness | /'boәldlinis/ | n. | 大胆, 勇敢, 冒失；醒目程度 |  | general
disenchantment | /ˌdɪsɪn'tʃɑ:ntmənt/ | n. | 觉醒, 清醒 |  | general
uncaring | /.ʌn'kεәriŋ/ |  | a. 心不在焉的, 不注意的 |  | general
twofold | /'tu:'fәuld/ |  | a. 两倍的, 两重的；adv. 两倍地, 两重地 |  | general
disuse | /dis'ju:s/ | n. | 不被使用, 废弃；vt. 停止使用, 废止 |  | environment
cynically |  | adv. | 爱嘲笑地；冷笑地 |  | general
unusable |  |  | 不可用的 |  | general
unabated | /.ʌnә'beitid/ |  | a. 不衰退的, 不减弱的 |  | general
brotherly | /'brʌðәli/ |  | a. 兄弟的, 亲兄弟似的, 亲切的 |  | general
roundly | /'raundli/ | adv. | 圆圆地, 直率地, 严厉地, 全面地 |  | general
refreshingly | /rɪ'freʃɪŋlɪ/ | adv. | 清爽地, 有精神地 |  | health
intolerant | /in'tɔlәrәnt/ |  | a. 不容忍的, 不容异说的, 偏执的, 偏 |  | general
inbuilt | /'in'bilt/ |  | a. 内藏的；嵌入的 |  | general
foolhardy | /'fu:lhɑ:di/ |  | a. 愚勇的, 有勇无谋的 |  | general
expectant | /iks'pektәnt/ | n. | 预期者, 期待者, 候选人；a. 预期的, 期待的 |  | general
demonstrably | /'demәnstrәbli/ | adv. | 可论证地, 明确地, 凭论证 |  | general
anesthesiologist | /,ænis,θizi'ɔlәdʒist/ | n. | 麻醉学者；麻醉学家 |  | general
unsupported | /'ʌnsә'pɔ:tid/ |  | a. 未经证实的, 未得到支持的, 未得到赞；无赞助的, 无支持的, 未经证实的 |  | general
uneducated | /.ʌn'edjukeitid/ |  | a. 未受教育的, 无知的 |  | education
rheumatism | /'ru:mәtizm/ | n. | 风湿病；风湿病 |  | general
restful | /'restful/ |  | a. 给人休息的, 素雅的, 安静的 |  | health
narrowness | /'nærәunis/ | n. | 狭小, 小气 |  | general
mercilessly | /'mɜ:sɪləslɪ/ | adv. | 无情地, 残忍地 |  | general
impeccably | /-bli/ |  | 完美地；毋庸置疑地 |  | society
chowder | /'tʃaudә/ | n. | 杂烩 |  | general
omnibus | /'ɒmnibәs/ | n. | 公共汽车, 公共马车, 精选集, 汇编；a. 综合性的, 总括的, 作多种用途的 |  | society
doggedly |  | adv. | 顽强地；固执地 |  | general
meaningfully | /'mi:niŋfuli/ | adv. | 意味深长地 |  | general
humbly | /'hʌmbli/ | adv. | 谦逊地, 卑贱地, 低声下气地 |  | general
constructively |  | adv. | 建设性地 |  | general
indestructible | /.indi'strʌktәbl/ |  | a. 不能破坏的, 不可毁灭的 |  | general
godsend | /'^ɔdsend/ | n. | 意外的幸运机会, 意外地来得正好的事物, 天 |  | general
futuristic | /.fju:tʃә'ristik/ |  | a. 未来派的 |  | general
flowery | /'flauәri/ |  | a. 多花的, 绚丽的, 华丽的 |  | work
coincidental | /kәuinsi'dentәl/ |  | a. 一致的, 符合的, 巧合的 |  | general
vagueness | /'veignis/ | n. | 含糊, 暧昧 |  | general
uneventful | /.ʌni'ventful/ |  | a. 太平无事的, 平静无事的 |  | general
unconsciousness | /.ʌn'kɒnʃәsnis/ | n. | 无意识, 意识不清, 人事不省；人事不省, 神志丧失 |  | environment
frat | /fræt/ | n. | 大学生联谊会, 大学生联谊会会员 |  | education
galore | /gә'lɒ:/ | adv. | 丰富地；n. 丰富, 大量 |  | general
featureless | /'fi:tʃәlis/ |  | a. 无特色的, 平凡的 |  | general
unworkable | /.ʌn'wә:kәbl/ |  | a. 难运转的, 不能实行的 |  | general
undamaged |  |  | 未损坏的, 完好的 |  | general
thereabouts | /'ðeәrәbauts/ | adv. | 在那附近, 大约, 上下, 左右 |  | general
tasteful | /'teistful/ |  | a. 有鉴赏力的, 趣味高雅的, 雅观的 |  | general
preventative | /pri'ventәtiv/ |  | a. 预防的, 防止的；n. 预防法, 预防措施, 预防物, 预防药 |  | education
ahold | /ә'hәjld/ | n. | 抓, 握；adv. 迎风航驶 |  | general
famously | /'feimәsli/ | adv. | 极好地, 非常令人满意地 |  | general
restlessness |  | n. | 坐立不安；不安定 |  | general
unsolicited | /'ʌnsә'lisitid/ |  | a. 未经请求的, 主动提供的；任意型的 |  | general
officialdom | /ә'fiʃәldәm/ | n. | 官场, 官僚圈子, 公务员, 官僚主义；官场, 公务员界, 官吏 |  | society
magically |  | adv. | 用魔法地；如魔法般地 |  | general
unending | /.ʌn'endiŋ/ |  | a. 无穷尽的, 无止境的, 不停的 |  | general
incalculable | /in'kælkjulәbl/ |  | a. 无法计数的, 无数的, 不可预料的 |  | general
undignified | /.ʌn'dignifaid/ |  | a. 不庄严的, 无尊严的 |  | general
incessantly | /ɪn'sesntlɪ/ | adv. | 不断地, 不停地；接连不断 |  | general
imperceptible | /.impә'septibl/ |  | a. 不能感知的, 微细的 |  | general
astride | /ә'straid/ | adv. | 跨着 |  | culture
wondrous | /'wʌndrәs/ |  | a. 令人惊奇的 |  | general
tightness | /'taitnis/ | n. | 坚固, 紧密；紧度 |  | general
oncoming | /'ɒnkʌmiŋ/ |  | a. 接近的, 即将到来的, 新兴的；n. 来临 |  | general
laziness | /'leizinis/ | n. | 怠惰, 无精打采 |  | general
laughable | /'lɑ:fәbl/ |  | a. 可笑的, 有趣的 |  | general
tux | /tʌks/ | n. | 夜小礼服, 无尾夜常礼服 |  | general
intransigence | /in'trænsidʒәns/ | n. | 不妥协, 强硬, 不让步 |  | general
indefensible | /.indi'fensәbl/ |  | a. 不能防卫的, 无辩护余地的 |  | general
incomparable | /in'kɒmpәrәbl/ |  | a. 无比的, 不能比较的 |  | general
imperfectly | /im'pә:fiktli/ | adv. | 不完全地, 有缺点地, 不完备地 |  | general
immaculately |  | adv. | 纯洁, 无斑点, 无瑕疵, 无缺点, 无过失 |  | general
amorous | /'æmәrәs/ |  | a. 多情的, 表示爱情的, 恋爱的 |  | general
precautionary | /pri'kɒ:ʃәnәri/ |  | a. 预先警戒的, 预防的, 留心的 |  | general
unquestioned | /ʌn'kwestʃәnd/ |  | a. 未经审问的, 未经调查的, 无异议的；不成问题的, 无疑的, 未被调查的 |  | general
shrift | /ʃrift/ | n. | 忏悔, 临终忏悔, 招认, 承认；忏悔, 赦免, 临终忏悔 |  | general
romantically | /rәu'mæntikli/ | adv. | 浪漫地, 小说般地, 空想地 |  | general
passable | /'pæsәbl/ |  | a. 可通行的, 可渡过的, 尚可的, 可流 |  | general
imperceptibly | /.impә'septibli/ | adv. | 不感觉地, 微细地, 极微地 |  | general
haphazardly | /.hæp'hæzәdli/ | adv. | 偶然地, 随意地；杂乱地 |  | general
gentlemanly | /'dʒentlmәnli/ |  | a. 绅士的, 绅士派头的 |  | general
embarrassingly | /im'bærәsiŋli/ | adv. | 使人尴尬地, 使人为难地, 使人难堪地 |  | general
domestically | /dәu'mestikli/ | adv. | 家庭式地, 国内地 |  | society
approachable | /ә'prәutʃәbl/ |  | a. 可接近的, 可亲近的；可接近的, 可进入的, 可亲近的 |  | economy
amicably | /'æmikәbli/ | adv. | 友善地 |  | general
afoot | /ә'fut/ |  | a. 徒步的, 在进行中的, 活动中的；adv. 徒步, 在进行中 |  | general
wintry | /'wintri/ |  | a. 如冬的, 寒冷的, 冬的, 冷淡的 |  | general
caloric | /kә'lɒrik/ |  | a. 热的, 热量的, (热)卡的；热的 |  | general
uncritical | /.ʌn'kritikl/ |  | a. 不加批判的, 无批判力的 |  | general
talkative | /'tɒ:kәtiv/ |  | a. 喜欢说话的, 饶舌的, 多嘴的 |  | general
inhospitable | /in'hɒspitәbl/ |  | a. 冷淡的, 不适于居住的, 不相容的 |  | general
disloyal | /dis'lɒiәl/ |  | a. 不实的, 不义的, 不忠的 |  | general
demonic | /di'mɒnik/ |  | a. 恶魔的, 有魔力的 |  | general
charmingly |  | adv. | 迷人地；快乐地 |  | general
unintentional | /.ʌnin'tenʃәnl/ |  | a. 无心的, 不是故意的；非故意的, 无意的, 无心的 |  | general
unbeatable | /.ʌn'bi:tәbl/ |  | a. 无敌的, 无与伦比的 |  | general
crappie | /'kræpi/ | n. | 刺盖太阳鱼属(Pomoxis)鱼 |  | general
straightaway | /'streitә.wei/ | n. | 直道；a. 直线行进的, 通俗易懂的, 立刻的 |  | education
regretfully | /rɪˈgretfəli/ | adv. | 懊悔地, 抱歉地 |  | general
howdy | /'haudi/ | int. | 您好(招呼用语) |  | general
lacklustre | /'læklʌstә/ |  | a. 无光泽的, 无生气的；n. 无光泽, 无生气 |  | general
graciously |  | adv. | 和蔼地；仁慈地 |  | general
fractionally |  | adv. | 稍许, 一点点 |  | general
creatively |  | adv. | 创造性地；有创造力地 |  | general
countdown | /'kauntdaun/ | n. | 倒计数；指示串联中的操作数固定的记录减少 |  | general
competitively |  | adv. | 好竞争地；有竞争力地 |  | general
aforementioned | /ә'fɒ:.menʃәnd/ |  | a. 上述的, 前述的；前面提到过的, 前述的 |  | general
ecclesial | /i'kli:ziәl/ |  | a. 教会(机构)的 |  | general
unstructured | /.ʌn'strʌktʃәd/ |  | a. 无特定结构的, 非系统组成的 |  | technology
parentage | /'perәntidʒ/ | n. | 出身, 血统, 门第, 起源；来历, 出身, 家系 |  | general
bloodless | /'blʌdlis/ |  | a. 无血色的, 不流血的, 没精神的；无血的 |  | health
unrelenting | /.ʌnri'lentiŋ/ |  | a. 不怜悯的, 无情的, 冷酷的 |  | general
uninhibited | /'ʌnin'hibitid/ |  | a. 不受禁令约束的, 不受拘束的, 自由自；不受禁令约束的, 无拘束的 |  | general
unattainable | /.ʌnә'teinәbl/ |  | a. 难到达的, 不可得到的 |  | general
unattached | /.ʌnә'tætʃt/ |  | a. 无关系的, 无隶属的, 独立的, 未婚；未被逮捕的, 未被扣押的, 未订婚的 |  | general
sacrosanct | /'sækrәusæŋkt/ |  | a. 极神圣的 |  | general
prudently |  | adv. | 谨慎地；慎重地 |  | general
disloyalty | /dis'lɒiәlti/ | n. | 不忠实, 不忠行为, 不义 |  | general
covertly |  | adv. | 偷偷摸摸地；秘密地 |  | general
vainly | /'veinli/ | adv. | 枉然地, 无益地, 徒然 |  | general
unplanned | /'ʌn'plænd/ |  | a. 无计划的, 未经筹划的, 意外的, 在 |  | general
oxymoron | /.ɒksi'mәurɒn/ | n. | 矛盾修饰法, 逆喻 |  | general
undistinguished | /.ʌndis'tiŋgwiʃt/ |  | a. 未经区分的, 未被注意到的, 普通的 |  | general
unawares | /.ʌnә'wєәz/ | adv. | 出其不意地, 没想到, 不料, 不知不觉地 |  | general
surreal | /sә'riәl/ |  | a. 超现实主义的；离奇的 |  | general
subservient | /sәb'sә:viәnt/ |  | a. 有帮助的, 有用的, 奉承的 |  | general
rapturous | /'ræptʃәrәs/ |  | a. 兴高采烈的, 狂喜的, 欢天喜地的 |  | general
globally |  |  | 全局地 |  | general
foetal | /'fi:tl/ |  | a. 似胎儿的, 胎儿的 |  | general
farcical | /'fɑ:sikәl/ |  | a. 笑剧的, 滑稽的, 笑剧性的 |  | general
disturbingly | /dis'tә:biŋli/ | adv. | 动摇地；令人不安地 |  | general
brisket | /'briskit/ | n. | 动物的胸部, 动物的胸肉 |  | general
