# word | phonetic | pos. | meaning | example | topic
buckboard | /'bʌkbɒ:d/ | n. | 平板马车 |  | general
frostbite | /'frɒstbait/ | n. | 冻伤, 冻疮；vt. 被霜伤害, 使冻伤 |  | general
factually |  | adv. | 真实地；确实地 |  | general
jurisprudential | /-'denʃәl/ |  | a. 法律学的, 法律学上的；法学上的, 法理学的 |  | society
brimstone | /'brimstәun/ | n. | 硫磺；硫黄 |  | general
bedridden | /'bedridn/ |  | a. 卧床不起的；卧床不起的 |  | health
trillium | /'triliәm/ | n. | 延龄草 |  | general
poky | /'pәuki/ |  | a. 迟钝的, 狭小的, 破旧的, 单调的 |  | society
wildcatter | /'waild,kætә(r)/ | n. | 冒险性企业的发起人 |  | work
northernmost | /'nɒ:ðәnmәust/ |  | a. 最北的 |  | culture
manoeuvrability | /mә,nu:vrә'biliti/ | n. | 机动性, 操纵的灵敏性 |  | general
imprimatur | /,impri'meitә/ | n. | 出版许可, 赞许；出版许可, 出版许可, 批准 |  | general
toweling | /'tauәliŋ/ | n. | 毛巾料；巾擦法 |  | general
iffy | /'ifi/ |  | a. 富于偶然性的, 可怀疑的, 未确定的 |  | general
gangland | /'^æŋlænd/ | n. | 黑社会, 强盗世界；黑社会, 强盗世界 |  | society
zirconium | /zә:'kәuniәm/ | n. | 锆；锆Zr |  | general
unsystematic | /.ʌnsisti'mætik/ |  | a. 无体系的, 无系统的, 无组织的 |  | technology
articular | /ɑ:'tikjulә/ |  | a. 关节的；关节的 |  | general
sportsmanship | /'spɒ:tsmәnʃip/ | n. | 运动员精神 |  | health
curmudgeonly |  |  | a. 坏脾气的 |  | general
obliteration | /ә.blitә'reiʃәn/ | n. | 抹消, 灭迹, 忘却；消灭, 消失, 闭塞(管腔) |  | general
genuineness |  | n. | 真诚, 真挚；真实, 真正 |  | general
encyclopaedic | /en,saiklәu'pi:dik/ |  | a. 百科全书的, 包含各种学科的, 广博的 |  | education
cartilaginous | /,kɑ:ti'lædʒinәs/ |  | a. 软骨的, 软骨质的 |  | culture
moronic | /mɒ:'rɒnik/ |  | a. 低能的, 迟钝的 |  | health
osteomyelitis | /,ɔstiәu,maiә'laitis/ | n. | 骨髓炎；骨髓炎 |  | general
creaky | /'kri:ki/ |  | a. 嘎吱嘎吱的 |  | general
awestruck | /'ɔ:strʌk/ |  | a. 敬畏的, 畏惧的 |  | general
jokester | /'dʒәjkstә(r)/ | n. | 喜欢开玩笑者 |  | general
windless | /'windlis/ |  | a. 无风的, 平静的 |  | general
unjustifiably | /ʌn'dʒʌstifaiəbli/ | adv. | 无理地 |  | general
unglamorous | /,ʌn'^læmәrәs/ |  | a. 没有魅力的,无浪漫色彩的,乏味的,单调 |  | general
geophysics | /.dʒi:әu'fiziks/ | n. | 地球物理学；地球物理 |  | culture
stogie |  | n. | 价廉的细长雪茄烟, 笨重而制作粗糙的鞋, 笨 |  | general
quickness | /'kwiknis/ | n. | 急速, 迅速, 速度 |  | general
overbuild | /.әuvә'bild/ | v. | 建造过多, 建造在...上面, 超额建设 |  | general
prescient | /'presiәnt/ |  | a. 预知的, 有先见之明的 |  | general
astronautics | /.æstrә'nɒ:tiks/ | n. | 航天学, 宇宙航行 |  | general
inconveniently | /ˌɪnkən'vi:nɪəntlɪ/ | adv. | 不方便地 |  | general
forethought | /'fɒ:θɒ:t/ | n. | 事先的考虑, 事先的筹划, 深虑, 先见；预谋 |  | general
egotism | /'egәutizm/ | n. | 自我中心癖, 自负；利己主义, 唯我主义 |  | general
upcountry | /'ʌp'kʌntri/ |  | a. 内地的, 土里土气的；adv. 向内地, 在内陆 |  | general
dependability | /di.pendә'biliti/ | n. | 可信任性, 可靠性 |  | general
ragweed | /'ræ^wi:d/ | n. | 豚草；豚草, 豕草 |  | general
congratulatory | /kәn'grætʃәlәtәri/ |  | a. 庆祝的, 祝贺的 |  | general
religionist | /ri'lidʒәnist/ | n. | 笃信宗教者, 宗教狂者 |  | culture
aright | /ә'rait/ | adv. | 正确地 |  | general
witless | /'witlis/ |  | a. 无才智的, 不机敏的, 愚蠢的, 糊涂 |  | general
uncontaminated | /'ʌnkәn'tæmineitid/ |  | a. 没有被污染的, 未沾染的 |  | environment
unbelieving | /.ʌnbi'li:viŋ/ |  | a. 不相信的, 不信教的, 多疑的 |  | culture
unambitious | /.ʌnæm'biʃәs/ |  | a. 无名利心的, 无野心的, 谦虚的 |  | general
acculturative |  |  | 文化适应的 |  | culture
signally | /'signәli/ | adv. | 显著地, 显眼地 |  | general
rearward | /'riәwәd/ | adv. | 在背后, 向后方；n. 后方, 后部, 背后 |  | general
invitingly | /ɪn'vaɪtɪŋlɪ/ | adv. | 吸引人地, 诱人地；动人地 |  | general
redbud | /'redbʌd/ | n. | 紫荆, 美国紫荆 |  | general
rima | /'ri:mә/ |  | 裂 |  | culture
insanitary | /in'sænitәri/ |  | a. 不卫生的, 有碍健康的；不卫生的 |  | health
implacably | /im'plækәbli/ | adv. | 难宽恕地, 无法和解地, 执拗地 |  | general
ventriloquism | /ven'trilәkwiz(ә)m/ | n. | 口技, 腹语口技 |  | culture
gamely | /'geimli/ | adv. | 不屈地, 勇敢地 |  | general
xeric | /'ziәrik/ |  | a. 干旱的, 环境干燥的, 耐旱的, 沙漠 |  | environment
fruitfully |  | adv. | 产量多地；肥沃地 |  | general
enslavement | /in'sleivmәnt/ | n. | 使做奴隶, 使受制, 制服, 束缚, 征服；奴役, 征服, 盲从 |  | general
shiatsu | /ʃiˈætsu:/ | n. | <日>指压, 指压按摩疗法 |  | health
disdainfully | /dis'deinfuli/ | adv. | 轻蔑地 |  | general
diagrammatically | /,daiəgrə'mætikəli/ | adv. | 图表似地；概略地 |  | general
influent | /'influәnt/ |  | a. 流入的；n. 支流 |  | general
facially |  | adv. | 从脸部 |  | general
seagrass |  |  | 海草 |  | general
breathlessness | /'breθləsnəs/ |  | 气绝 |  | general
pneumococcal |  |  | 肺炎球菌的 |  | general
frontally |  |  | 前面地；（前）额地 |  | general
musicianship | /mju:'ziʃәnʃip/ | n. | 音乐技巧,音乐感,音乐才能,音乐修养, 音乐 |  | culture
sudsy | /'sʌdzi/ |  | a. 肥皂一般的, 起着泡沫的 |  | general
fatherhood | /'fɑ:ðәhud/ | n. | 父亲的身分, 父性, 父权, 父道 |  | culture
transshipment |  | n. | 转船运输, 转载 |  | general
chamois | /'ʃæmwɑ:/ | n. | (产于欧洲和高加索地区的山羊般的)小羚羊；麂皮, 油鞣革 |  | general
cathartic | /kә'θɑ:tik/ | n. | 泻药, 通便药；a. 通便的, 导泻的 |  | culture
buttery | /'bʌtәri/ | n. | 配膳室；a. 涂用黄油的, 谄媚的 |  | education
boneless | /'bәjnlis/ |  | a. 无骨的 |  | general
glop | /^lɔp/ | n. | 粘糊糊的东西 |  | general
annoyingly | /ә'nɒiiŋli/ | adv. | 恼人地, 讨厌地 |  | general
ageless | /'eidʒlis/ |  | a. 不老的, 永恒的 |  | general
aneurin | /ә'naiәrin/ |  | 硫胺, 维生素B-1 |  | general
sensationalistic |  |  | a. sensationalist的变形 |  | general
persuasiveness | /pə'sweɪsɪvnəs/ |  | 说服力 |  | education
ecstatically | /ik'stætikli/ | adv. | 心醉神迷地, 入神地 |  | general
crabgrass | /'kræbgrɑ:s/ | n. | 马唐(一种杂草) |  | society
humanely | /hju:'meɪnlɪ/ | adv. | 仁慈地；人道地 |  | general
nonskid | /nɒn'skid/ |  | a. 不滑的 |  | general
exclusiveness | /ik'sklu:sivnis/ | n. | 排外性；排他性 |  | general
communally |  | adv. | 社区地；公有地 |  | society
decriminalization | /di:,kriminәlai'zeiʃən; -li'z-/ |  | 非刑事化, 非罪刑化, 合法化 |  | general
dozer | /'dәuzә/ | n. | 打瞌睡的人, 推土机 |  | general
aftercare | /'ɑ:ftәkєә/ | n. | 病后的照顾调养, 释放后的安置 |  | general
hyperlink |  |  | 超级链接 |  | culture
disinvestment | /disin'vestmәnt/ | n. | 蚀本, 投资减缩；负投资, 停止投资, 减少投资 |  | economy
unturned | /.ʌn'tә:nd/ |  | a. 未翻转的 |  | general
unromantic | /ʌnrә'mæntik/ |  | a. 平淡无奇的, 平庸的 |  | general
turbid | /'tә:bid/ |  | a. 浑浊的, 污浊的, 混乱的, 雾重的；混浊的 |  | general
scantily | /ˈskæntɪlɪ/ | adv. | 缺乏地；不充足地 |  | general
satisfyingly | /'sætis,faiiŋli/ | adv. | 使人满意地 |  | general
prosaically | /prәu'zeiikli/ | adv. | 散文式地, 平凡地 |  | general
plainness | /'pleinnis/ | n. | 平坦, 明白, 正直；平坦度 |  | general
peremptorily | /pә'remptәrili/ | adv. | 断然地, 不容置疑地, 紧急地, 独断地 |  | general
noncritical |  |  | 非紧急的；非临界的 |  | general
incurably | /in'kjuәrәbli/ | adv. | 治不好地, 不能矫正地 |  | general
characterless | /'kærәktәrlis/ |  | a. 无特征的, 无特点的, 无个性的 |  | general
fissionable | /'fiʃәnәbl/ |  | a. 可分裂的, 可裂变的；n. 可裂变物质 |  | general
snooty | /'snu:ti/ |  | a. 傲慢的, 自大自满的, 鄙视别人的 |  | general
sensationalism | /sen'seiʃәnәliz(ә)m/ | n. | 故意使用的煽情手段, 耸人听闻的题材, 耸人 |  | general
secondarily | /'sekәndәrili/ | adv. | 在第二, 在其次, 在第二位 |  | general
replaceable | /ri'pleisәbl/ |  | a. 可替换的, 可代替的, 可放在原处的；可归原处的, 可替换的, 可撤换的 |  | general
murderess | /'mә:dәris/ | n. | 女杀手 |  | general
wormlike | /'w\\\\:mlaik/ |  | a. 象虫一样的 |  | general
longtime | /'lɔŋtaim;'lɔ:ŋ-/ |  | a. (已持续)长时间的,为时甚久的；adv. 长久 |  | general
immunologic |  |  | a. 免疫学的 |  | health
largish | /'lɑ:dʒiʃ/ |  | a. 稍大的 |  | general
intolerably | /in'tɒlәrәbli/ | adv. | 到难耐的程度, 无法忍受 |  | general
inoperative | /in'ɒpәrәtiv/ |  | a. 不起作用的, 无效力的 |  | general
incomparably |  | adv. | 无比地, 无与伦比地, 无可比拟地, 无双地 |  | general
geometrically | /dʒiә'metrikli/ | adv. | 用几何学, 几何学上 |  | general
theistic | /θi:'istik/ |  | a. 有神论的 |  | general
bellybutton | /'belɪ,bʌtn/ | n. | 肚脐 |  | general
laryngoscope | /lә'riŋgәskәup/ | n. | 喉镜；喉镜 |  | health
flamboyance | /flæm'bɒiәns/ | n. | 华丽, 火焰 |  | work
effectual | /i'fektʃuәl/ |  | a. 有效果的, 会应验的, 有法律效力的 |  | society
mezzo | /'metsәu. 'meddzɔ:/ |  | a. （意）一半的；中央的 |  | general
coarseness | /'kɒ:snis/ | n. | 粗糙, 劣等, 粗 |  | culture
bafflement |  | n. | 使困惑, 阻碍, 使挫折, 难倒, 迷惑 |  | general
drongo | /'drɔŋ^әj/ | n. | 燕卷尾 |  | general
apologia | /.æpә'lәudʒiә/ | n. | 辩解, 自辩；自辩书, 辩解书 |  | general
elastin | /i'læstin/ | n. | 弹性蛋白；弹性蛋白 |  | culture
ammo | /'æmәu/ | n. | 军火, 弹药 |  | general
toolshed | /'tu:lʃed/ | n. | (园艺工具等的)工具房,工具室 |  | general
unrealized | /ˌʌnˈri:əlaɪzd/ |  | a. 没有实现的, 没能实现的；未实现 |  | general
mastoidectomy | /,mæstɔi'dektәmi/ |  | 乳突切除术 |  | general
uninhabitable | /'ʌnin'hæbitәbl/ |  | a. 不可居住的, 不适宜居住的 |  | general
undefended | /.ʌndi'fendid/ |  | a. 无防御的, 无论据证实的, 无辩护人的 |  | general
unchallengeable |  |  | 无可置辩的, 不必回避的, 不可挑战的 |  | general
ubiquity | /ju:'bikwәti/ | n. | 到处存在, 普遍存在 |  | general
vibratory | /'vaibrәtәri/ |  | a. 振动的, 振动性的；振动的, 震动的 |  | general
rumbustious | /rʌm'bʌstʃәs/ |  | a. 喧闹的 |  | general
practicability | /.præktikә'biliti/ | n. | 可行性, 实用性 |  | general
dispositive | /dis'pɔzәtiv/ |  | a. (事件、行为等)决定性的 |  | general
parsimonious | /,pɑ:si'mәunjәs, -niәs/ |  | a. 过度节俭的, 吝啬小气的 |  | general
morn | /mɒ:n/ | n. | 早晨, 明天 |  | general
expedience | /ik'spi:djәns/ | n. | 权宜, 方便, 私利 |  | general
mesmeric | /mes'merik/ |  | a. 催眠术的；催眠术的 |  | general
menagerie | /mi'nædʒәri/ | n. | 动物园, 野生动物 |  | general
interdepartmental | /,intә(:)di,pɑ:t'mentl/ |  | a. 各部间的 |  | culture
gravelly | /'grævәli/ |  | a. 多碎石的, 铺有碎石的, 碎石构成的 |  | general
daintily | /'deintili/ | adv. | 优美, 美味, 讲究 |  | general
retinoid | /'retinɔid/ |  | 视网膜样的, 树脂样的 |  | general
abacus | /'æbәkәs/ | n. | 算盘；算盘 |  | general
incapacitation | /'inkә.pæsi'teiʃәn/ | n. | 无能力, 无资格 |  | general
ramjet | /'ræmdʒet/ | n. | 冲压式喷气发动机 |  | general
unforeseeable |  |  | 不能预见的, 预料不到的 |  | general
unapproachable | /.ʌnә'prәutʃәbl/ |  | a. 不易接近的, 不可亲的, 无与伦比的 |  | general
twee | /'twi:/ |  | a. 矫饰的, 过分艳丽的 |  | general
treatable |  |  | a. 好对付的, 能处理的, 能治疗的 |  | health
photometry | /fәu'tɒmitri/ | n. | 光度学, 光度测定, 测光法；光度学 |  | general
linearity | /.lini'ærәti/ | n. | 线性, 直线性；直线性 |  | general
fierceness | /fɪəsnəs/ | n. | 凶猛, 猛烈 |  | general
denigration |  | n. | 弄黑, 诋毁, 贬低, 抹黑, 变黑；涂黑, 变黑 |  | general
expressionistic | /ik,spreʃә'nistik/ |  | a. 表现主义的, 有表现派作风的 |  | general
gladiolus | /.glædi'әulәs/ | n. | 唐菖蒲属植物；胸骨体 |  | culture
cogently | /'kəʊdʒəntlɪ/ | adv. | 痛切地, 中肯地 |  | general
suasion | /'sweiʒәn/ | n. | 说服, 劝告；劝告, 劝说 |  | general
bristly | /'brisli/ |  | a. 有刚毛的, 如刚毛的, 易怒的 |  | general
metaphysically |  | adv. | metaphysical的变形 |  | general
vegetarianism | /vedʒi'teәriәniz(ә)m/ | n. | 素食主义；素食主义 |  | general
unerringly |  | adv. | 没有偏差, 准确, 没有过错, 正确 |  | general
unendurable | /'ʌnin'djuәrәbl/ |  | a. 无法忍受的, 不能忍耐的,不能持久的 |  | general
fiberboard | /bɒrd/ | n. | 纤维板 |  | general
amaretto | /,æmә'retәj/ | n. | 意大利苦杏酒 |  | general
phallus | /'fælәs/ | n. | 阳物形象, 阴茎, 阴蒂, 交接器原基；阴茎 |  | general
paralytic | /.pærә'litik/ |  | a. 麻痹的, 患麻痹的, 中风的；n. 麻痹患者, 中风患者 |  | general
injudicious | /.indʒu:'diʃәs/ |  | a. 欠思考的, 不聪明的；判决不当的 |  | general
paraplegia | /.pærә'pli:dʒiә/ | n. | 下身麻痹, 截瘫；截瘫, 下身麻痹 |  | general
innately |  | adv. | 天赋地；与生俱来的 |  | general
probiotic | /prә,bai'ɔtik/ |  | 前生命期的 |  | health
inoperable | /in'ɒpәrәbl/ |  | a. 不能动手术的；不能手术的, 不宜手术的 |  | health
honeyed | /'hʌnid/ |  | a. 加了蜜的, 甜如蜜的, 多蜜的 |  | general
triceratops | /trai'serәtɔps/ | n. | 三角恐龙 |  | general
malnourished | /mæl'næriʃt/ |  | a. 营养失调的, 营养不良的 |  | health
initiatory | /i'niʃiәtәri/ |  | a. 入会的, 最初的, 初步的 |  | general
shallowness | /'ʃæləunis/ | n. | 浅；肤浅 |  | general
pretentiousness |  | n. | 自负, 做作, 狂妄, 自命不凡 |  | general
ineptness | /i'neptnis/ | n. | 拙劣；荒谬 |  | general
kamikaze | /.kɑ:mi'kɑ:zi/ | n. | 神风对队员；神风特攻队 |  | general
inglorious | /in'glɒ:riәs/ |  | a. 不名誉的, 可耻的, 不出名的 |  | general
youthfulness |  | n. | 少壮 |  | general
wittily | /'witili/ | adv. | 机智地, 机敏地, 俏皮地 |  | general
vindictiveness | /vɪn'dɪktɪvnɪs/ | n. | 恶毒；怀恨在心 |  | general
vilification | /.vilifi'keiʃәn/ | n. | 诽谤；诋毁, 诽谤, 损害名誉 |  | general
unquestioningly |  | adv. | 无条件地, 不犹豫地, 绝对地 |  | general
unluckily | /.ʌn'lʌkili/ | adv. | 不幸地, 偏巧, 偏偏 |  | general
unconvincingly |  |  | 缺乏说服力地；无法令人信服地 |  | general
unconcern | /.ʌnkәn'sә:n/ | n. | 漫不经心, 不关心, 冷淡 |  | general
pegboard | /'peɡbɔ:d/ | n. | （玩游戏用的）小钉板；木栓板 |  | general
sycophantic | /.sikә'fæntik/ |  | a. 说奉承话的, 阿谀的 |  | general
disingenuously | /ˌdɪsɪn'dʒenjʊəslɪ/ | adv. | 不诚实地, 不坦白地 |  | general
sturdily | /'stә:dili/ | adv. | 强壮地, 坚强地, 坚毅地 |  | general
risible | /'rizibl/ |  | a. 能笑的, 善笑的, 爱笑的 |  | general
repentant | /ri'pentәnt/ |  | a. 后悔的, 悔改的 |  | general
purposeless | /'pә:pәslis/ |  | a. 无目的的, 无意义的 |  | general
insupportable | /.insә'pɒ:tәbl/ |  | a. 忍耐不住的, 不合理的 |  | general
inopportune | /in'ɒpәtju:n/ |  | a. 不合时机的, 不巧的 |  | general
indubitably |  | adv. | 不容置疑地, 明确地, 无疑地 |  | general
menarche | /me'nɑ:ki/ | n. | 初潮；经初期 |  | general
incautious | /in'kɒ:ʃәs/ |  | a. 不小心的, 轻率的, 不注意的 |  | general
groggy | /'grɒgi/ |  | a. 酒醉的, 东歪西倒的, 摇摇晃晃的 |  | general
flagrantly | /'fleɪɡrəntlɪ/ | adv. | 罪恶昭彰地；千真万确地, 极恶地 |  | general
fifthly | /'fifθli/ | adv. | 第五, 第五地 |  | general
muteness | /'mju:tnis/ | n. | 哑, 无言 |  | general
falsetto | /fɒ:l'setәu/ | n. | 假音, 假声歌手 |  | culture
discoloration | /dis,kʌlә'reiʃәn/ | n. | 变色, 污染 |  | environment
brawn | /brɒ:n/ | n. | 发达的肌肉, 膂力, 体力, 熟腌肉；肌质, 肌肉 |  | general
ambitiously |  | adv. | 雄心勃勃地；劲头十足地 |  | general
carabiner | /kærә'binә/ |  | (提花机的)竖钩 |  | general
acquiescent | /.ækwi'eәsnt/ |  | a. 默许的, 默认的, 默从的；默许的, 默认的, 勉强顺从的 |  | general
unhygienic |  |  | 不卫生的 |  | health
timelessness | /'taɪmləsnəs/ | n. | 无时间限制 |  | culture
