# word | phonetic | pos. | meaning | example | topic
whitetail | /'waitteil/ | n. | 白尾鹿 |  | general
fondly | /'fɒndli/ | adv. | 溺爱地, 怜爱地, 情柔地 |  | general
misstep | /.mis'step/ | n. | 踏错, 错误, 失策；失足, 过失, 失策 |  | general
structurally |  |  | 结构地 |  | general
stagnation | /stæg'neiʃәn/ | n. | 淤塞, 停滞；停滞, 滞留, 郁积 |  | economy
pedophile | /'pi:dəʊfaɪl/ | n. | 恋童癖者 |  | general
notoriety | /.nәutә'raiәti/ | n. | 恶名, 臭名, 声名狼藉 |  | general
helpfully |  | adv. | 有用地；有益地 |  | general
dutifully |  | adv. | 忠实地；忠贞地 |  | general
chronically | /'krɒnikli/ | adv. | 慢性地, 长期地, 习惯性地 |  | general
attractively | /ә'træktivli/ | adv. | 动人地, 迷人地 |  | general
conclusively |  | adv. | 最后, 释疑, 确定性, 结论性 |  | general
mismanagement |  | n. | 管理不善；处置失当 |  | work
directional | /di'rekʃәnәl/ |  | a. 方向的 |  | general
romanticism | /rәu'mæntisizm/ | n. | 浪漫主义精神, 浪漫主义 |  | health
popularly | /'pɒpjulәli/ | adv. | 通俗地, 平易地, 通过民众 |  | general
unbelievably | /ˌʌnbɪˈli:vəblɪ/ | adv. | 难以置信地, 不可信地 |  | general
greenery | /'gri:nәri/ | n. | 绿叶, 绿树, 装饰用的绿树枝或叶 |  | general
furore | /fju:'rɔ:ri/ | n. | 轰动, 勃然大怒, 公众的骚动, 狂热 |  | general
colourless | /'kʌlәlis/ |  | a. 无色的, 无血色的, 无趣味的, 无特 |  | general
carefree | /'kєәfri:/ |  | a. 无忧无虑的, 不负责的 |  | general
unrivalled |  |  | a. 无敌的, 无双的, 无可匹敌的, 无比 |  | general
unpopularity | /'ʌn.pɒpju'læriti/ | n. | 不受欢迎, 失人心 |  | general
strikeout | /'straikaut/ | n. | 三击未中出局, 失败 |  | general
barefoot | /'bєәfut/ |  | a. 赤脚的 |  | general
appropriateness | /ə'prəupriətnis/ | n. | 适当；适合 |  | general
illustrative | /'ilәstrәtiv/ |  | a. 说明的, 解说的, 作例证的 |  | general
foolishly | /'fu:liʃli/ | adv. | 愚笨地, 无聊地 |  | general
fervently | /'fɜ:vəntlɪ/ | adv. | 热烈地, 热情地, 强烈地 |  | general
antagonistic | /æn.tægә'nistik/ |  | a. 对抗的, 敌对的；拮抗药 |  | general
foetus | /'fi:tәs/ | n. | 胚胎, 胎儿；胎, 胎儿 |  | general
arguable | /'ɑ:gjuәbl/ |  | a. 可辩论的, 可论证的；可争辩的, 可论证的 |  | general
metaphorical | /metә'fɒ:rikl/ |  | a. 隐喻性的, 比喻性的 |  | general
hundredth | /'hʌndrәdθ/ |  | a. 第一百的 |  | general
sherlock | /'ʃә:lɔk/ |  | 私家侦探 |  | economy
polenta | /pәu'lentә/ | n. | 大麦片粥, 玉米糊 |  | general
unimpressed | /'ʌnim'prest/ |  | a. 无印记的, 没有印象的, 未受感动的 |  | general
unchanging | /ʌn'tʃeindʒiŋ/ |  | a. 不变的 |  | education
inspirational | /.inspә'reiʃәnәl/ |  | a. 凭灵感的, 鼓舞人心的, 神感的 |  | culture
exquisitely | /'ekskwizitli/ | adv. | 精巧地, 敏锐地 |  | general
transformative | /træns'fɔ:mәtiv/ |  | a. 有改革能力的, 起改造作用的 |  | general
wicker | /'wikә/ | n. | 柳条；a. 柳条编的 |  | general
underfoot | /.ʌndә'fut/ | adv. | 在脚下, 碍事地；少计总额 |  | general
marketable | /'mɑ:kitәbl/ |  | a. 可销售的, 销路好的, 市场的；有销路的, 可销售的 |  | economy
expertly |  | adv. | 熟练地；巧妙地 |  | general
measles | /'mi:zlz/ | n. | 麻疹, 风疹, 家畜囊尾蚴病, 米珠；麻疹, 囊尾蚴病(家畜) |  | health
terminally | /'tә:minәli/ | adv. | 在末端, 末尾, 每期 |  | general
bluegrass | /'blu:græs/ | n. | 六月禾, 早熟禾熟植物 |  | culture
implacable | /im'plækәbl/ |  | a. 不能安抚的, 难和解的, 不变的 |  | general
versatility | /.vә:sә'tiliti/ | n. | 多用途, 多才多艺, 易变 |  | general
nameless | /'neimlis/ |  | a. 无名的, 匿名的, 不可名状的 |  | general
pursuant | /pә'sju:әnt/ |  | a. 依据的, 按照的, 追赶的；adv. 相符地, 一致地 |  | general
nightfall | /'naitfɒ:l/ | n. | 傍晚, 黄昏, 日暮 |  | culture
immortality | /.imɒ:'tæliti/ | n. | 不朽, 不灭的声望 |  | general
diseased | /di'zi:zd/ |  | a. 害病的, 病态的, 不健全的 |  | health
conical | /'kɔnikәl/ |  | a. 圆锥形的, 圆锥的；圆锥的 |  | general
successively |  | adv. | 接连着地；相继地 |  | general
pointedly |  | adv. | 指向地；尖锐地 |  | general
individualistic | /,indi,vidjuә'listik/ |  | a. 个人主义的, 独特的 |  | economy
savagery | /'sævidʒәri/ | n. | 兽性, 原始状态, 野蛮人 |  | general
proportionate | /prә'pɒ:ʃәnit/ |  | a. 相称的, 成比例的, 适当的；vt. 使相称, 使成比例 |  | general
respectfully | /ri'spektfuli/ | adv. | 尊敬地 |  | general
tactful | /'tæktful/ |  | a. 机智的, 老练的 |  | general
purposefully |  | adv. | 自觉地；有目的地 |  | general
craftsmanship |  | n. | 技术, 技艺 |  | technology
unwritten | /.ʌn'ritn/ |  | a. 非书面的, 没有写的, 没有记录的；习惯, 不成文的, 未记诸文字的 |  | general
speechless | /'spi:tʃlis/ |  | a. 不会说话的, 哑的, 说不出话的, 无 |  | general
mediaeval | /.medi'i:vl/ |  | a. 中古的, 中世纪的 |  | general
mathematically | /ˌmæθə'mætɪklɪ/ | adv. | 算术地 |  | general
impracticable | /im'præktikәbl/ |  | a. 不能实施的, 难办的, 不能通行的 |  | general
unaccustomed | /.ʌnә'kʌstәmd/ |  | a. 不习惯的, 不惯的, 异乎惯例的, 不 |  | general
impartiality | /'im.pɑ:ʃi'æliti/ | n. | 公平, 无私, 不偏；公正无私, 公平, 公正 |  | general
buoyancy | /'bɔiәnsi/ | n. | 浮力, 弹性, 快活, 轻快, (股票市场)；浮力 |  | economy
unambiguously | /ˌʌnæm'bɪɡjʊəslɪ/ | adv. | 明白地, 不含糊地 |  | general
retrospectively | /ˌretrə'spektɪvlɪ/ | adv. | 回顾地 |  | general
deftly |  | adv. | 灵巧地；熟练地 |  | general
righteousness | /'raitʃәsnis/ | n. | 正义, 公正, 正直 |  | general
parenthood | /'perәnthud/ | n. | 父母身分 |  | general
ideologically |  | adv. | 思想上, 思想体系, 意识形态, 观念形态 |  | general
viz | /vɪz/ | adv. | <正, 书, 尤英>即, 就是 |  | general
longstanding | /'lɔŋ'stændiŋ;'lɔ:ŋ-/ |  | a. 长期间的, 长期存在的 |  | general
prudential | /pru:'denʃәl/ |  | a. 审慎的, 精明的, 起咨询作用的 |  | economy
hanover |  | n. | 汉诺威市（位于德国） |  | general
numerically |  | adv. | 数字, 数值, 用数字表示 |  | technology
orally |  | adv. | 口头, 口语, 口述, 口, 用口发声, 口 |  | health
meteorological |  |  | a. 气象的, 气象学的 |  | general
whiteness | /'hwaitnis/ | n. | 白, 苍白, 洁白；白度 |  | general
primeval | /prai'mi:vl/ |  | a. 初期的, 原始的, 远古的 |  | general
sclerosis | /skliә'rәusis/ | n. | 硬化症, 硬化, 僵化；硬化 |  | general
epilepsy | /'epilepsi/ | n. | 癫痫症；癫痫(羊痫疯) |  | general
abnormally |  | adv. | 不正常, 异常, (贬)不同寻常, 不规则 |  | general
fecal | /'fi:kәl/ |  | a. 排泄物的, 渣滓的；粪便的 |  | general
bronchitis | /brɒŋ'kaitis/ | n. | 支气管炎；支气管炎 |  | general
mysticism | /'mistisizm/ | n. | 神秘, 神秘教, 模糊思想 |  | culture
xiv |  | num. | 罗马数字 14 |  | technology
biologically |  | adv. | 生物学, 生态学 |  | environment
pragmatism | /'prægmәtizm/ | n. | 实用主义；实用主义, 干涉主义, 独断 |  | general
boyish | /'bɒiiʃ/ |  | a. 男孩的, 像男孩的 |  | general
tactfully | /'tæktfəlɪ/ | adv. | 言行得体地, 不得罪人地, 能赢得好感地 |  | general
pornographic | /.pɒ:nә'græfik/ |  | a. 淫秽作品的, 色情的；色情画的, 色情文字的 |  | general
sinful | /'sinful/ |  | a. 有罪的, 罪孽深重的；有罪, 充满罪恶的 |  | general
streetcar | /'stri:tkɑ:/ | n. | 有轨电车 |  | general
ritz | /rits/ | n. | 豪华旅馆 |  | general
unsteady | /'ʌn'stedi/ |  | a. 不稳固的, 摇摆的, 不稳定的, 易变；vt. 使不稳定, 使不安定, 动摇 |  | general
waltz | /wɒ:lts/ | n. | 华尔兹舞, 圆舞曲；a. 华尔兹舞的, 圆舞曲的 |  | culture
menopause | /'menәupɒ:z/ | n. | 绝经期；绝经 |  | general
seniority | /.si:ni'ɒriti/ | n. | 长辈, 老资格；资历, 服务年限 |  | general
involuntarily | /in'vɒlәntәrili/ | adv. | 不知不觉地, 无意识地 |  | general
unspoilt |  |  | a. 未受损害的, 未受破坏的, 未宠坏的 |  | general
salaried | /'sælәrid/ |  | a. 拿薪水的, 拿薪金的, 有薪金的, 有；有薪金的, 拿薪金的 |  | general
obstructive | /әb'strʌktiv/ |  | a. 引起阻塞的, 阻碍的, 妨碍的；n. 妨碍物 |  | general
info | /'infәu/ | n. | 信息；信息 |  | general
untreated | /'ʌn'tri:tid/ |  | 未经处理的 |  | health
subconscious | /.sʌb'kɒnʃәs/ | n. | 潜在意识, 下意识；a. 下意识的, 潜意识的 |  | general
tenderloin | /'tendәlɒin/ | n. | 腰部嫩肉, 里脊肉 |  | general
unmistakably | /ˌʌnmɪ'steɪkəblɪ/ | adv. | 显而易见地；不会弄错地 |  | general
democratically | /.demә'krætikli/ | adv. | 民主地, 民主主义地 |  | general
chemically | /'kemikli/ | adv. | 用化学, 以化学方法 |  | general
acton | /'æktәn/ | n. | 铠衣 |  | general
constitutionally | /,kɔnsti'tju:ʃәnәli/ | adv. | 本质地, 天生, 体质上 |  | general
determinedly | /dɪ'tɜ:mɪndlɪ/ | adv. | 坚定地；坚决地 |  | general
deafness | /'defnis/ | n. | 聋, 不听；聋 |  | culture
hancock | /'hænkɔk/ | n. | 全民超人（电影名）；汉考克 |  | culture
undisclosed | /'ʌndis'klәuzd/ |  | a. 未泄露的, 保持秘密的, 不露真名的；身份不明的, 隐名的, 未透露的 |  | general
mucus | /'mju:kәs/ | n. | 粘液；粘液 |  | general
blogger |  | n. | 写博客的人；博客使用者 |  | general
weaponry | /'wepәnri/ | n. | 武器, 军备, 武器设计研制学 |  | general
defenseless | /di'fenslis/ |  | a. 无防备的 |  | general
meekly | /'mi:kli/ | adv. | 温顺地, 柔和地, 忠厚地 |  | general
gentleness | /'dʒentlnis/ | n. | 温顺, 柔和, 亲切 |  | general
pretrial | /'pri:'traiәl/ |  | a. 审判前的；n. 审前预备会议 |  | society
flemish | /'flemiʃ/ |  | a. 佛兰德人的；佛兰德的 |  | culture
counterinsurgency | /'kauntәrin'sә:dʒәnsi/ | n. | 反暴动 |  | society
nanotechnology | /ˌnænəʊtekˈnɒlədʒi/ | n. | 纳米技术, 毫微技术；纤技术 |  | technology
unilaterally |  |  | 单侧地 |  | culture
sellout | /'selaut/ | n. | 脱销, (演出)客满, 背叛, 出卖 |  | general
homey | /'hәumi/ |  | a. 家庭似的, 自在的, 舒适的 |  | general
gynecologist | /.gaini'kɒlәdʒist/ | n. | 妇科医生；妇科学家 |  | environment
allowable | /ә'lauәbl/ |  | a. 允许的, 许可的, 容许的；允许产量 |  | society
viciously |  | adv. | 邪恶地；敌意地 |  | general
clumsily | /'klʌmzili/ | adv. | 笨拙, 粗陋, 不漂亮 |  | general
madly | /'mædli/ | adv. | 发狂地, 精神失常地, 愚蠢地 |  | health
contemptuously |  | adv. | 轻蔑地 |  | general
hookup | /'hukʌp/ | n. | 连接, 接线图, 联播；勾住 |  | culture
transferable | /træns'fә:rәbl/ |  | a. 可转移的；可转让的, 可过户的 |  | general
militancy | /'militәnsi/ | n. | 战斗性 |  | general
coldness | /'kәuldnis/ | n. | 寒冷, 冷, 冷淡 |  | general
cinnamon | /'sinәmәn/ | n. | 肉桂, 肉桂树皮, 肉桂色；a. 肉桂色的, 浅黄褐色的 |  | general
adhd |  | abbr. | 注意力不集中症（ attention def |  | general
reinstatement |  |  | 恢复, 补足(保险), 恢复原状 |  | general
bayou | /'baiu:/ | n. | 支流 |  | general
adaptability | /ә.dæptә'biliti/ | n. | 适应性；自适应性 |  | general
classless | /'klɑ:slis/ |  | a. 无阶级的 |  | society
annexe | /'æneks/ | n. | 附加物, 附属建筑 |  | culture
shrapnel | /'ʃræpnәl/ | n. | 零钱, 榴霰弹, 弹片 |  | general
colorless | /'kʌlәrlis/ |  | a. 无色的；无色 |  | general
curbside | /'k\\\\:bsaid/ | n. | 靠近路缘的人行道部分,路边 |  | general
societal | /sә'saiәtl/ |  | a. 社会的 |  | society
reassuringly | /ˌri:ə'ʃʊərɪŋlɪ/ | adv. | 安慰地, 鼓励地 |  | general
rutherford | /'rʌðәfәd/ |  | 卢(放射物质的蜕变单位) |  | general
incredulous | /in'kredjulәs/ |  | a. 怀疑的, 不轻信的 |  | general
woodward | /'wudwɔ:d/ | n. | 森林管理员 |  | environment
cain | /kein/ | n. | 凶手；杀兄弟者 |  | general
worshiper | /'wә:ʃipә/ | n. | 参加礼拜者, 崇拜者 |  | general
tripartite | /.trai'pɑ:tait/ |  | a. 三重的, 分成三部分的 |  | culture
canola | /kə'nəʊlə/ | n. | 加拿大油菜 |  | general
interfaith | /'intә(:),feiθ/ |  | a. 不同宗教信仰者(间)的,不同宗教团体( |  | culture
admissible | /әd'misәbl/ |  | a. 可进入的, 可容许的 |  | general
pelvic | /'pelvik/ |  | a. 骨盆的；骨盆的 |  | general
largemouth | /'lɑ:dʒmajθ/ |  | bass,large-mouthed(bla |  | general
waterfront | /'wɔ:tәfrʌnt/ | n. | 水边, 滨水区, 滩, 海滨, 江边 |  | general
qualitatively | /'kwɒlɪtətɪvlɪ/ | adv. | 质量上 |  | general
predominance | /pri'dɒminәns/ | n. | 主导地位, 优势 |  | general
empirically |  | adv. | 以经验为主地 |  | general
citywide | /'siti.waid/ |  | a. 全市的, 全市性的 |  | general
mousse | /mu:s/ | n. | 奶油冻；摩丝(日化) |  | general
coercive | /kәu'ә:siv/ |  | a. 强制的, 强压的, 强迫的；强制的, 强迫的, 强行的 |  | general
beeper |  | n. | 驾驶飞机的遥控人员；报警器, 声信号装置 |  | technology
bridal | /'braidl/ |  | a. 新娘的, 婚礼的 |  | general
kodak | /'kәjdæk/ | n. | 小型照相机, 照片, 柯达(照相机)；vt.vi. 用小型照相机拍摄 |  | general
bonnie | /'bɒni/ |  | a. 漂亮的 |  | general
neurological | /.njurә'lɒdʒikl/ |  | a. 神经病学上的 |  | general
oakley | /'әukli/ | n. | 赠券（等于Annie Oakley）；奥克利眼镜 |  | general
intercollegiate | /.intәkә'li:dʒiәt/ |  | a. 大学间的, 校际的 |  | education
consumerism | /kәn'sju:mәrizm/ | n. | 保护消费者利益运动 |  | economy
methamphetamine | /,meθæ'fetәmin/ |  | 脱氧麻黄碱 |  | economy
shaggy | /'ʃægi/ |  | a. 毛发蓬乱的, 粗浓的, 草木丛生的 |  | general
militarily | /'militərili; ,mili'teәrili/ | adv. | 在军事上 |  | general
musically | /'mju:zikli/ | adv. | 音乐上 |  | culture
gloomily | /'ɡlu:mɪlɪ/ | adv. | 阴暗地；阴沉地 |  | general
standardisation | /,stændədai'zeiʃən, -di'z-/ | n. | 标准化 |  | general
indignantly | /in'dignәntli/ | adv. | 愤怒地 |  | general
entryway | /'entri,wei/ | n. | 入口通道 |  | general
unsecured | /'ʌnsi'kjuәd/ |  | a. 无担保的；无担保的 |  | economy
saul | /sɔ:l/ | n. | 索尔（男名） |  | general
xii |  | num. | 罗马数字 12 |  | technology
celibacy | /'selibәsi/ | n. | 独身；独身状态, 独身生活 |  | general
samson |  | n. | 大力士；参孙 |  | general
landless | /'lændlis/ |  | a. 无土地的, 无土地所有权的 |  | general
storied | /'stɒ:rid/ |  | a. 传说上有名的, 以历史画装饰的, 分层 |  | culture
cornstarch | /'kɒ:nstɑ:tʃ/ | n. | 玉米淀粉；玉蜀黍淀粉 |  | general
cupcake | /'kʌpkeik/ | n. | 杯形蛋糕 |  | general
unlawfully |  | adv. | 不正当地；不合法地 |  | society
oft | /ɒ:ft/ | adv. | 常常, 再三 |  | general
centralisation | /,sentrәlɑi'zeiʃәn;-li'z-/ | n. | <主英>=centralization |  | general
underwood | /'ʌndәwud/ | n. | 下木, 林下灌丛 |  | environment
reggae | /'re,^ei/ | n. | 雷盖 |  | culture
otherworldly | /'ʌðә'wә:ldli/ |  | a. 来世的, 阴间的, 空想的, 超自然的 |  | environment
tenderly |  | adv. | 温和地；体贴地 |  | general
sternly | /'stә:nli/ | adv. | 严格地, 严肃地, 严厉地 |  | general
dow | /daj/ | n. | 美国陶氏；美国陶氏化学 |  | general
paneling | /'pænәliŋ/ | n. | 镶板, 嵌板 |  | general
silken | /'silkәn/ |  | a. 丝的, 绸制的, 柔软的, 圆滑的 |  | general
smallpox | /'smɒ:lpɒks/ | n. | 天花；天花, 痘疮 |  | health
roche |  | n. | 瑞士罗氏（制药企业） |  | work
harmonisation | /ˌha:mənaɪ'zeɪʃən/ | n. | 和谐, 协调, 相称；调谐 |  | culture
unleaded | /.ʌn'ledid/ |  | a. 无铅的；不包铅的 |  | general
thereto | /.ðєә'tu:/ | adv. | 往那边, 到那 |  | general
thatcherism | /'θætʃərizəm/ | n. | 撒切尔主义 |  | society
semen | /'si:mәn/ | n. | 精液, 精子；种子 |  | general
steelhead | /'sti:l'hed/ |  | 虹鳟 |  | general
custodial | /kʌ'stәudjәl/ |  | a. 保管的, 保管人的；n. 圣物保存器 |  | general
dakota | /dә'kәutә/ | n. | 达科他（美国过去一地区名, 现分为南、北达科 |  | culture
viennese | /viә'ni:z/ |  | a. 维也纳的；维也纳人的 |  | general
hormonal | /hɒ:'mәunәl/ |  | a. 荷尔蒙的；激素的 |  | general
feces | /'fi:'si:z/ |  | pl. 粪, 屎；粪便 |  | general
invalidity | /.invә'liditi/ | n. | 无效, 无价值, 病弱；病废, 劳动能力丧失 |  | work
missus | /'misiz/ | n. | 太太（等于missis） |  | general
phosphorus | /'fɒsfәrәs/ | n. | 启明星, 金星, 磷, 磷光体；磷P |  | general
lawfully |  | adv. | 守法地；合法地 |  | society
tvs |  | abbr. | 瞬变电压抑制二极管（Transient Vo；电视观察系统（Television View |  | technology
bologna | /bә'lәunjә/ | n. | 一种大腊肠 |  | general
starboard | /'stɑ:bɒ:d/ | n. | 右舷, 右侧；adv. 向右舷 |  | general
shyly |  | adv. | 害羞地；羞怯地 |  | general
masturbation | /,mæstә'beiʃәn/ |  | 手淫 |  | general
hardball | /'hɑ:dbɔ:l/ | n. | 硬式棒球（等于baseball）；（为达到某种目的而采取的）强硬手段 |  | economy
scornfully | /'skɔ:nfəlɪ/ | adv. | 鄙视地, 轻蔑地 |  | general
observational | /,ɔbzә'veiʃәnәl/ |  | a. 观察的, 观测的；观察的 |  | general
consensual | /kәn'sensjuәl/ |  | a. 在两方愿意下成立的, 交感的；同感的, 交感的 |  | general
celery | /'selәri/ | n. | 芹菜；芹菜, 糖蒿 |  | general
mayo | /'meiәu/ | n. | 蛋黄酱（等于mayonnaise） |  | general
geordie | /'dʒɔ:di/ | n. | 基尼(英国昔金币单位), 运煤帆船 |  | general
nomenclature | /'nәumәnkleitʃә/ | n. | 命名法, 专门语, 术语；命名法 |  | culture
tam | /tæm/ | n. | 便帽（苏格兰人戴的） |  | general
recklessness |  |  | 鲁莽, 粗心大意 |  | general
distinctiveness | /dɪ'stɪŋktɪvnɪs/ |  | 特殊性 |  | general
functionally |  | adv. | 官能, 有功能, 职务, 机能, 在起作用；功能地 |  | general
interpretative | /in'tә:priteitiv/ |  | a. 作为说明的, 解释的 |  | general
postpartum | /pәust'pɑ:tәm/ |  | a. 产后的；产后的 |  | culture
