# word | phonetic | pos. | meaning | example | topic
nautilus | /'nɒ:tilәs/ | n. | 鹦鹉螺, 船蛸 |  | general
woodworking | /'wud.wә:kiŋ/ | n. | 木工活, 木工行业 |  | general
discus | /'diskәs/ | n. | 铁饼, 掷铁饼比赛；盘, 板, 片 |  | general
intertribal | /.intә'traibl/ |  | a. 部族间的 |  | general
watercraft | /'wɒtәkrɑ:ft/ | n. | 水性, 船舶, 驾船技术 |  | technology
hickey | /'hiki/ | n. | 器械；唇印 |  | general
ultramodern | /.ʌltrә'mɒdәn/ |  | a. 超现代的, 最新的, 极时髦的 |  | general
acetic | /ә'si:tik/ |  | a. 醋的, 乙酸的；醋酸的, 醋的 |  | general
ascendance | /ә'sendәns/ | n. | 优越, 权势 |  | general
dialogical | /dɪə'lɒdʒɪkəl/ |  | 对话的 |  | general
hemophiliac | /.hi:mә'filiæk/ |  | a. 血友病的；n. 血友病患者 |  | general
trilateral | /trai'lætәrәl/ |  | a. 有三边的, 三方之间的；n. 三角形 |  | culture
avionics | /,eivi'ɔniks/ |  | 航空电子学 |  | technology
aswan |  | n. | 阿斯旺（埃及一城市） |  | society
heraldry | /'herәldri/ | n. | 纹章学, 纹章, 家徽 |  | general
screwball | /'skru:bɒ:l/ | n. | 怪人, 疯子, 内曲线球；a. 怪僻的, 精神有点怪的 |  | health
legislatively | /'ledʒɪslətɪvlɪ/ | adv. | 立法地 |  | general
goiter |  | n. | 甲状腺肿；甲状腺肿 |  | general
meningioma | /,minindʒi'әumә/ |  | 脑(脊)膜瘤 |  | general
ovum | /'әuvәm/ | n. | 卵, 卵子, 卵形装饰；卵, 卵子 |  | general
ironside | /'aiәnsaid/ | n. | 勇敢的人 |  | general
endocrine | /.endәu'krain/ |  | a. 内分泌的；n. 内分泌物, 内分泌腺 |  | general
normalisation | /,nɔ:məlai'zeiʃən/ | n. | normalise的变形 |  | general
ungrammatical | /.ʌngrә'mætikl/ |  | a. 不合语法的, 不正确的 |  | general
sawhorse | /'sɒ:hɒ:s/ | n. | 锯木架 |  | general
titian | /'tiʃiәn/ | n. | 赤褐色, 橙红色 |  | education
utilitarianism | /,ju:tili'teәriәnizəm/ | n. | 功利主义；功利主义 |  | work
ergonomics | /.ә:gәu'nɒmiks/ | n. | 工效学, 人类工程学；工效学 |  | environment
epinephrine | /,epi'nefrin, -ri:n/ | n. | 肾上腺素；肾上腺素 |  | economy
dixie | /'diksi/ | n. | 美国南部各州 |  | general
gibbous | /'gibәs/ |  | a. 凸圆的, 凸状的, 驼背的；驼背的 |  | general
shrilly | /'ʃrili/ | adv. | 尖声地, 刺耳地 |  | general
damnedest | /'dæmdist/ | n. | 最大的努力 |  | general
teleological | /ˌti:lɪə'lɒdʒɪkl/ |  | a. 目的论的 |  | general
testily | /'testili/ | adv. | 易怒地, 暴躁地 |  | general
orthopedist | /,ɔ:θәj'pi:dist/ |  | 矫形外科医师 |  | general
classificatory | /'klæsifikәtәri/ |  | a. 分类上的, 类别的 |  | general
hematoma | /,hi:mә'tәumә/ | n. | 血肿；血肿 |  | general
futilely |  | adv. | futile（无用的）的变形；干 |  | general
representativeness | /'reprɪzentətɪvnəs/ |  | 典型性；代表性 |  | general
camomile | /'kæmәmail/ |  | 洋甘菊, 白花母菊 |  | general
iridium | /ai'ridiәm/ | n. | 铱；铱Ir |  | general
cheerleading | /'tʃɪəli:dɪŋ/ | n. | 带领啦啦队 |  | general
rutabaga | /.ru:tә'beigә/ | n. | 芜菁甘蓝；油菜, 芸苔 |  | general
lyricism | /'lirisizm/ | n. | 抒情风格, 抒情诗体, 抒情方式抒情 |  | general
alluvial | /ә'lu:viәl/ |  | a. 冲积的；冲积的 |  | general
unequaled |  |  | a. 不等同的, 不能比拟的, 无敌的 |  | general
multipolar | /.mʌlti'pәulә/ |  | a. 多极的；多极的 |  | general
docudrama | /'dɔkjjdrɑ:mә/ | n. | 文献电视片 |  | general
seawater | /'si:.wɒtә/ | n. | 海水；海水 |  | general
reintegration |  |  | 再整合, 重整(指精神活动) |  | health
ciprofloxacin |  |  | 环丙沙星：合成抗菌药, 对革兰氏阳性和阴性包 |  | economy
bettor | /'betә/ | n. | 打赌者；赌徒, 打赌者 |  | general
prefrontal | /pri:'frʌntl/ |  | a. 前额的；额叶前部的, 筛骨中心部 |  | general
inauthentic | /,inɔ: 'θentik/ |  | a. 不真实的, 假的,不可靠的 |  | general
delphi | /'delfai/ | n. | 特尔斐（希腊古都） |  | general
phenomenology | /fi.nɒmi'nɒlәdʒi/ | n. | 现象学, 现象论；现象学 |  | general
paradigmatic | /.pærәdig'mætik/ |  | a. 模范的, 例证的, 纵聚合的, 词形变 |  | general
loudness | /'laudnis/ | n. | 响度, 高声, 大声, 吵闹；响度 |  | general
interstitial | /.intә'stiʃәl/ |  | a. 空隙的, 裂缝的, 有空隙的；间隙的, 间质的 |  | general
metonymic | /,metә'nimik/ |  | a. 换喻的, 转喻的 |  | general
galilee | /'^ælә,li/ | n. | 加利利（巴勒斯坦北部一多山地区）；西端入口处的门廊（中古英国教堂） |  | culture
reticle | /'retikl/ | n. | 分划板, 标准片, 标线 |  | technology
playable | /'pleiәbl/ |  | a. 可玩的, 可演奏的, 宜玩的, 宜演奏 |  | general
jura | /'dʒuәrә/ |  | 法律, 法, 法律权利或权力 |  | society
gurney | /ˈgɜ:ni/ | n. | （医院中推送病人用的）轮床；邮件车 |  | health
torsion | /'tɒ:ʃәn/ | n. | 扭转, 转矩；扭转 |  | general
prospectively |  | adv. | 预期, 前瞻性, 潜在, 可能, 未来, 盼 |  | general
assessable |  |  | a. 可估价的, 可征税的, 可估计的；可估价的, 可估计的, 可评定的 |  | general
urea | /juә'riә/ | n. | 尿素；脲 |  | environment
crocus | /'krәukәs/ | n. | 番红花属, 番红花, 磨粉；番红花属 |  | general
razorback | /'reizәbæk/ | n. | 狭尖的背脊, 鳍鲸 |  | general
milliliter | /'milili:tә/ | n. | 毫升；毫升 |  | general
sulfurous | /'sʌlfәrәs/ |  | 亚硫的 |  | general
eugenics | /ju:'dʒeniks/ | n. | 优生学；优生学 |  | general
cortical | /'kɒ:tikәl/ |  | a. 皮层的；(树)皮的 |  | general
definitional |  |  | 定义的 |  | economy
boniface | /'bɔnifeis/ | n. | 旅馆老板 |  | culture
basketry | /'bɑ:kitri/ | n. | 篮子编织技艺 |  | general
unstressed | /'ʌn'strest/ |  | a. 不着重的, 不强调的, 不重读的 |  | general
democratization |  | n. | 民主化；民主化 |  | general
consular | /'kɒnsjulә/ |  | a. 领事的；领事的 |  | general
tortellini | /,tɔ:tә'li:ni/ |  | n.(意大利式)饺子 |  | general
rudd | /rʌd/ | n. | 红眼鱼 |  | general
nullification | /.nʌlifi'keiʃәn/ | n. | 无效, 废弃, 取消；无效, 废弃, 取消 |  | environment
brioche | /'bri(:)әuʃ/ | n. | <法>奶油糕点,奶油蛋卷 |  | general
ageism | /'eidʒizәm/ |  | 年龄歧视 |  | general
frittata | /fri'tɑ:tә/ | n. | 菜肉馅煎蛋饼 |  | general
larval | /'lɑ:vәl/ |  | a. 幼虫的, 幼虫状态的；幼虫的, 蚴的, 隐蔽的, 潜在的 |  | general
hybridity | /hai'briditi/ |  | 杂种状态 |  | general
wordlessly | /ˈwɜ:dlɪslɪ/ | adv. | 默默无言地, 沉默地 |  | general
radiographic | /.reidiәu'græfik/ |  | a. 射线照相术的；放射照相的 |  | general
wanly |  | adv. | 苍白地；衰弱地 |  | general
soundlessly | /'saundlisli/ | adv. | 无声地, 完全静寂地, 静悄悄地 |  | general
disbelievingly | /ˌdɪsbɪ'li:vɪŋlɪ/ | adv. | 怀疑地, 不信相地 |  | general
behaviourism | /bi'heivjәrizəm/ | n. | <英>行动主义 |  | general
dinnerware | /'dinәwєә/ | n. | 整套餐具 |  | general
microbial | /mai'krәubiәl/ |  | a. 微生物的, 由细菌引起的；微生物的 |  | general
shill | /ʃil/ | n. | 小贩的同伙, 赌棍的党羽 |  | culture
postnatal | /pәust'neitl/ |  | a. 产后的；生后的 |  | culture
lyceum | /lai'siәm/ | n. | 讲演厅, 学会 |  | general
breathable |  |  | a. 可以吸入的, 适宜于吸入的 |  | general
bipartisan | /bai,pɑ:ti'zæn/ |  | a. 两党连立的 |  | general
otorrhea | /,әutә'ri:ә/ |  | 耳液溢 |  | general
myelin | /'maiәli(:)n/ |  | 髓磷脂；髓磷脂 |  | general
etna | /'etnә/ | n. | 小酒精炉 |  | general
gruffly | /'grʌfli/ | adv. | 粗暴地, 粗声地 |  | general
convulsively | /kən'vʌlsɪvlɪ/ | adv. | 痉挛性地 |  | general
bigness | /'bignis/ | n. | 大, 伟大, 重大 |  | general
chlorination | /.klɒ:ri'neiʃәn/ | n. | 氯化, 用氯处理；氯化 |  | general
metamorphic | /.metә'mɒ:fik/ |  | a. 变化的, 变性的, 变态的；变态的 |  | general
acanthus | /ә'kænθәs/ | n. | 叶形装饰 |  | general
mendel | /'mendl/ | n. | 孟德尔（奥地利遗传学家） |  | general
noncompliant | /'nɔnkәm'plaint/ |  | 不顺从的人, 固执的人 |  | general
feminization |  |  | 女性化(指男子) |  | general
geothermal | /,dʒi(:)әu'θәmәl/ |  | a. 地温的, 地热的 |  | culture
signora | /si:'njɔ:rә/ | n. | 夫人, 太太, 已婚女子 |  | general
brainpower | /'breinpauә/ | n. | 智能, 智囊 |  | health
netherworld |  | n. | 阴间, 下层社会 |  | society
distributional |  |  | 分布的 |  | general
breadbasket | /'bred,bɑ:skit/ | n. | <俚>胃, 腹 |  | general
centralism | /'sentrәlizm/ | n. | 中央集权制；中央集权制, 中央集权主义 |  | society
butterscotch | /'bʌtәskɒtʃ/ | n. | 奶油糖果 |  | general
burqa | /'bɜ:kə/ | n. | 布卡（伊斯兰国家妇女穿的蒙面长袍） |  | general
stanhope | /'stænhәup/ | n. | 单座敞篷轻便马车 |  | general
psychoactive | /,saikәu'æktiv/ |  | a. 对神经起显著作用的, 对神经起特殊作用 |  | health
focalization | /.fәukәlai'zeiʃәn/ | n. | 集中焦点 |  | general
lemongrass | /'lemәn^rɑ:s;-^ræs/ | n. | 柠檬香草 |  | general
freestyle | /'fri:stail/ | n. | 自由式 |  | general
refueling |  | n. | 再加燃料；再加油 |  | general
crybaby | /'kraibeibi/ | n. | 爱哭的人, 软弱容易哭的人 |  | general
bonobo | /'bәunә,bәu/ | n. | (产于非洲刚果河以南的)倭黑猩猩 |  | environment
methanol | /'meθәnәul/ | n. | 甲醇；甲醇 |  | general
astrophotography | /.æstrәfәu'tɒgrәfi/ | n. | 天体摄影 |  | general
waterfowl | /'wɒtәfәul/ | n. | 水鸟 |  | general
hereinafter | /.hiәrin'ɑ:ftә/ | adv. | 以下, 在下文中 |  | culture
ethylene | /'eθili:n/ | n. | 乙烯；乙烯 |  | general
propulsive | /prә'pʌlsiv/ |  | a. 推进的, 有推进力的；有推进力的, 推进的 |  | general
helical | /'helikәl/ |  | a. 螺旋状的；螺线 |  | general
zodiacal | /zәu'daiәkәl/ |  | a. 黄道带, 十二宫图 |  | general
mustachioed |  |  | 有大鬈曲八字胡的 |  | general
evangelistic | /i.vændʒә'listik/ |  | a. 福音书作者的, 福音传道者的 |  | general
windstorm | /'windstɒ:m/ | n. | 暴风 |  | general
nonsteroidal | /'nɒnstərɔɪdl/ |  | a. 非甾类化合物的, 非类固醇的 |  | general
subcutaneous | /.sʌbkju:'teiniәs/ |  | a. 皮下的, 皮下用的；皮下的 |  | general
calcareous | /kæl'keәriәs/ | n. | 钙化软骨；石灰质的 |  | environment
nehru | /'neiru:/ | n. | 尼赫鲁（前印度总理） |  | general
icky | /'iki/ |  | a. 过粘的, 过甜的, 讨厌的；n. 令人讨厌的人 |  | general
countywide |  |  | 遍及全郡（或县）的；全郡（或县）的 |  | general
garbanzo | /^ɑ:'bænzәu/ | n. | 鹰嘴豆 |  | general
branchial | /'bræŋkiәl/ |  | a. 鳃的, 鳃状的；鳃的 |  | culture
swahili | /swɑ:'hi:li/ | n. | 斯瓦希里人；斯瓦希里语 |  | culture
underdevelopment | /,ʌndәdi'velәpmәnt/ | n. | 发展不充分, 不发达, 显影不足；显影不足 |  | general
physic | /'fizik/ | n. | 药品, 泻药, 医学；vt. 给...服药, 治愈, 使通便 |  | general
untrammeled |  |  | a. 不受限制的, 自由自在的, 不受妨碍的 |  | general
chow | /ʃu:/ | n. | 食物, 颚 |  | general
stereotypically |  | adv. | 带有成见地(stereotype的副词形式) |  | general
unbelief | /.ʌnbi'li:f/ | n. | 不信, 疑惑, 不信仰 |  | general
parr | /pɑ:/ | n. | 幼鲑 |  | general
patois | /'pætwɑ:/ | n. | 方言, 行话 |  | culture
dumbly | /'dʌmli/ | adv. | 默默地, 无言地 |  | culture
viscerally |  | adv. | visceral（内脏的；发自肺腑的）的变形 |  | general
sidelong | /'saidlɒŋ/ | adv. | 横向地, 向侧面, 斜着, 间接地；a. 横的, 斜的, 间接的 |  | general
maximization | /,mæksәmai'zeiʃәn/ |  | 极大化, 最大化 |  | general
roadbed | /'rәudbed/ | n. | 路基 |  | general
unincorporated | /'ʌnin'kɔ:pәreitid/ |  | 未组成社团的, 未被承认为自治组织的, 未包 |  | work
kinetics | /kai'netiks/ | n. | 动力学；动理学 |  | general
ephedra | /i'fedrә/ |  | 麻黄 |  | general
medicare | /'medi,keә/ | n. | 医疗照顾方案, 医疗照顾项目；公办的医疗保险制 |  | health
aspartame | /әs'pɑ:teim/ |  | 阿司帕坦；天冬甜素 |  | culture
clitoris | /'klitәris/ | n. | 阴核, 阴蒂；阴蒂 |  | general
reapportionment |  |  | 再分摊 |  | general
cliched |  |  | a. 陈腐的 |  | general
archenemy | /.ɑ:tʃ'enimi/ | n. | 魔王, 主要敌人 |  | general
monarchical | /mɔ'nɑ:kikәl/ |  | a. 君主的, 君主政体的, 君主政治的 |  | general
jem |  | abbr. | 正义与平等运动（Justice and Eq；日本通信卫星（Japan Experimen |  | work
guidepost | /'gaidpәust/ | n. | 路标, 路牌 |  | general
advisement | /әd'vaizmәnt/ | n. | 深思熟虑, 周密的考虑, 劝告 |  | general
irs |  | abbr. | 美国国税局（Internal Revenue |  | culture
heller | /'helә/ | n. | 捷克货币；昔德国之小铜币 |  | economy
refractive | /ri'fræktiv/ |  | a. 折射的, 有折射力的；折射的, 屈光的 |  | general
